field_name,field_group,source_layer,source_file,model_use_status,required_for_completion_time_model,description,legacy_replacement_for,notes
route_profile_ascent_m,route_profile_gain,route_profile_ascent_feature_patch,outputs/ib3_baseline_hiking_performance_route_profile_ascent_features_v1/activity_route_profile_ascent_features.csv,CONTRACT_REVIEW_READY,True,Route-profile-based ascent demand in meters for the normalized route/activity comparison row,calibrated_cumulative_gain_m|agg_total_gain_m,Use for route demand; not an ability score
route_profile_descent_m,route_profile_gain,route_profile_ascent_feature_patch,outputs/ib3_baseline_hiking_performance_route_profile_ascent_features_v1/activity_route_profile_ascent_features.csv,CONTRACT_REVIEW_READY,False,Route-profile-based descent demand in meters for the normalized route/activity comparison row,calibrated_cumulative_loss_m|agg_total_loss_m,Use as route demand/context if needed
route_profile_ascent_m_per_km,route_profile_gain,route_profile_ascent_feature_patch,outputs/ib3_baseline_hiking_performance_route_profile_ascent_features_v1/activity_route_profile_ascent_features.csv,CONTRACT_REVIEW_READY,True,Route-profile ascent normalized by route distance,candidate_gain_m_per_km,Use as route steepness/demand context
route_profile_ascent_rate_m_per_hour,route_profile_gain,route_profile_ascent_feature_patch,outputs/ib3_baseline_hiking_performance_route_profile_ascent_features_v1/activity_route_profile_ascent_features.csv,CONTRACT_REVIEW_READY,False,Route-profile ascent divided by activity duration,candidate_gain_rate_m_per_hour,Use only as descriptive pace-normalized context, not as ability ranking
duration_min_per_100m_route_profile_ascent,route_profile_gain,route_profile_ascent_feature_patch,outputs/ib3_baseline_hiking_performance_route_profile_ascent_features_v1/activity_route_profile_ascent_features.csv,CONTRACT_REVIEW_READY,True,Activity duration normalized by every 100m of route-profile ascent,candidate_duration_min_per_100m_gain,Use as completion-time model candidate feature after contract review
route_profile_gain_feature_status,qa_gate,route_profile_ascent_feature_patch,outputs/ib3_baseline_hiking_performance_route_profile_ascent_features_v1/activity_route_profile_ascent_features.csv,REQUIRED_GATE,True,Feature-level QA status for route-profile ascent feature use,,Rows should be ready or reviewed before model consumption
legacy_gain_features_blocked,qa_gate,route_profile_ascent_feature_patch,outputs/ib3_baseline_hiking_performance_route_profile_ascent_features_v1/activity_route_profile_ascent_features.csv,REQUIRED_GATE,True,Boolean flag indicating legacy activity-point gain fields are blocked,,Must remain True until legacy fields are formally repaired
legacy_candidate_gain_m_per_km_original,legacy_gain,route_normalized_comparison,outputs/ib3_baseline_hiking_performance_route_profile_ascent_features_v1/activity_route_profile_ascent_features.csv,BLOCKED_DO_NOT_USE,False,Original gain-per-km value based on unreliable activity-point gain,candidate_gain_m_per_km,Kept only for traceability
legacy_candidate_gain_rate_m_per_hour_original,legacy_gain,route_normalized_comparison,outputs/ib3_baseline_hiking_performance_route_profile_ascent_features_v1/activity_route_profile_ascent_features.csv,BLOCKED_DO_NOT_USE,False,Original gain-rate value based on unreliable activity-point gain,candidate_gain_rate_m_per_hour,Kept only for traceability
legacy_candidate_duration_min_per_100m_gain_original,legacy_gain,route_normalized_comparison,outputs/ib3_baseline_hiking_performance_route_profile_ascent_features_v1/activity_route_profile_ascent_features.csv,BLOCKED_DO_NOT_USE,False,Original duration-per-100m-gain based on unreliable activity-point gain,candidate_duration_min_per_100m_gain,Kept only for traceability
