field_name,field_group,overall_available_rows,overall_total_rows,overall_availability_status,primary_station_availability_status,primary_station_notes,allowed_use,current_direct_claim_allowed,proxy_allowed,required_boundary_status,next_action
temperature_c,thermal,1070449,1140566,AVAILABLE,AVAILABLE_HIGH,"466910 98.78%; 466930 98.63%; A0A460 98.35%; C0AC40 99.57%","temperature context; heat/cold proxy; dew point estimation",true,true,TEMPERATURE_AVAILABLE_PRIMARY_STATIONS,continue_use
relative_humidity_pct,humidity,1066342,1140566,AVAILABLE,AVAILABLE_HIGH,"466910 98.75%; 466930 98.58%; A0A460 98.32%; C0AC40 99.43%","humidity context; saturation proxy; drying limiter",true,true,RH_AVAILABLE_PRIMARY_STATIONS,continue_use
pressure_hpa,pressure,396718,1140566,PARTIAL,PARTIAL_BY_STATION,"466910 0%; 466930 98.53%; A0A460 0%; C0AC40 99.28%","partial pressure context; station-specific trend only",true,true,PRESSURE_PARTIAL_STATION_QA_REQUIRED,use_with_station_filter
wind_speed_ms,wind,1068731,1140566,AVAILABLE,AVAILABLE_HIGH,"466910 98.68%; 466930 98.40%; A0A460 98.25%; C0AC40 98.85%","mean wind context; wind exposure proxy; drying; wet-cold modifier",true,true,WIND_SPEED_AVAILABLE_PRIMARY_STATIONS,continue_use
wind_direction_deg,wind,1067656,1140566,AVAILABLE,AVAILABLE_HIGH,"466910 98.58%; 466930 98.40%; A0A460 98.22%; C0AC40 98.71%","wind direction context; future exposure joins",true,true,WIND_DIRECTION_AVAILABLE_PRIMARY_STATIONS,continue_use
precipitation_mm,precipitation,1062947,1140566,AVAILABLE,AVAILABLE_HIGH,"466910 91.79%; 466930 98.40%; A0A460 98.17%; C0AC40 98.71%","observed raw precipitation signal; antecedent precipitation context",true,true,PRECIPITATION_MM_AVAILABLE_PRIMARY_STATIONS,continue_use_with_semantics_warning
weather,present_weather,0,1140566,UNAVAILABLE,UNAVAILABLE_ALL_PRIMARY_STATIONS,"0% availability in overall DB and all primary stations","do not use as direct weather text; only report unavailable",false,false,WEATHER_TEXT_UNAVAILABLE_IN_CURRENT_DB,external_source_required
wind_gust_ms,wind,0,1140566,UNAVAILABLE,UNAVAILABLE_ALL_PRIMARY_STATIONS,"0% availability in overall DB and all primary stations","do not claim gust exposure; use mean wind only",false,true,WIND_GUST_UNAVAILABLE_IN_CURRENT_DB,external_or_future_db_required
precipitation_10min_mm,precipitation,0,1140566,UNAVAILABLE,UNAVAILABLE_ALL_PRIMARY_STATIONS,"0% availability in overall DB and all primary stations","do not claim 10-minute rainfall intensity",false,false,PRECIPITATION_10MIN_UNAVAILABLE_IN_CURRENT_DB,external_or_future_db_required
precipitation_1hr_mm,precipitation,0,1140566,UNAVAILABLE,UNAVAILABLE_ALL_PRIMARY_STATIONS,"0% availability in overall DB and all primary stations","do not claim 1-hour rainfall intensity",false,false,PRECIPITATION_1HR_UNAVAILABLE_IN_CURRENT_DB,external_or_future_db_required
sunshine_duration_min,sunshine,0,1140566,UNAVAILABLE,UNAVAILABLE_ALL_PRIMARY_STATIONS,"0% availability in overall DB and all primary stations","do not claim observed sunshine; do not treat missing as zero",false,true,SUNSHINE_CONTEXT_MISSING_OR_UNAVAILABLE,external_source_required
visibility_m,visibility,0,1140566,UNAVAILABLE,UNAVAILABLE_ALL_PRIMARY_STATIONS,"0% availability in overall DB and all primary stations","do not claim observed visibility",false,true,VISIBILITY_M_UNAVAILABLE_IN_CURRENT_DB,external_source_required
uv_index,solar_uv,0,1140566,UNAVAILABLE,UNAVAILABLE_ALL_PRIMARY_STATIONS,"0% availability in overall DB and all primary stations","do not claim observed UV",false,true,UV_INDEX_UNAVAILABLE_IN_CURRENT_DB,external_source_required
