field_name,policy,notes
source,required,Weather/hydro data source such as cwa or wra
station_type,required,weather or water
dataset_code,optional,Original dataset code if available; otherwise table-derived fallback
station_id,required,Station identifier
station_name,optional,Station display name
latitude,required,Station latitude
longitude,required,Station longitude
db_elevation_m,optional,Elevation already present in source DB
terrain_lookup_elevation_m,optional,Reserved for future DEM/NLSC lookup; not populated in v1
elevation_source,required,db_elevation terrain_lookup_pending unknown
elevation_lookup_status,required,DB_ELEVATION_AVAILABLE NEED_TERRAIN_LOOKUP MISSING_COORDINATE UNKNOWN
needs_terrain_lookup,required,true when station has coordinates but no db_elevation_m
metadata_source_table,required,Source SQLite table used for metadata extraction
metadata_status,required,Station metadata extraction status
notes,optional,Human-readable caveats
