relative_path,name,type,depth,size_bytes,modified_time,suffix
activity_input,activity_input,dir,1,,2026-05-31 21:57:59,
cache,cache,dir,1,,2026-05-11 22:20:59,
config,config,dir,1,,2026-05-25 07:27:36,
configs,configs,dir,1,,2026-06-01 00:30:40,
nlsc_raw,nlsc_raw,dir,1,,2026-05-26 21:53:50,
osm_raw_output,osm_raw_output,dir,1,,2026-05-31 23:40:00,
osm_raw_output_v1_1,osm_raw_output_v1_1,dir,1,,2026-05-27 06:59:32,
outputs,outputs,dir,1,,2026-06-01 20:23:18,
runs,runs,dir,1,,2026-06-01 16:47:10,
scripts,scripts,dir,1,,2026-06-02 11:33:02,
weather,weather,dir,1,,2026-06-01 12:08:38,
七星山上山,七星山上山,dir,1,,2026-05-23 16:18:33,
.DS_Store,.DS_Store,file,1,18436,2026-05-11 08:58:18,
.python-version,.python-version,file,1,13,2026-04-20 10:49:38,
CURRENT_INDEX.md,CURRENT_INDEX.md,file,1,9423,2026-06-02 16:17:59,.md
folder_inventory_depth4.csv,folder_inventory_depth4.csv,file,1,1141651,2026-06-01 20:24:00,.csv
folder_prompt.txt,folder_prompt.txt,file,1,9333,2026-06-01 17:29:48,.txt
folder_role_audit_depth4.csv,folder_role_audit_depth4.csv,file,1,124290,2026-06-01 20:24:00,.csv
tmp_qixing_manual_filter_notes_v2.txt,tmp_qixing_manual_filter_notes_v2.txt,file,1,11094,2026-05-27 17:22:08,.txt
架構prompt.txt,架構prompt.txt,file,1,6746,2026-05-23 15:35:43,.txt
activity_input/csv,csv,dir,2,,2026-05-26 13:39:58,
activity_input/fit,fit,dir,2,,2026-05-23 14:55:31,
activity_input/gpx,gpx,dir,2,,2026-05-31 23:38:54,
activity_input/manifests,manifests,dir,2,,2026-05-25 07:19:33,
configs/risk_semantics,risk_semantics,dir,2,,2026-06-01 13:32:37,
configs/route_control_points,route_control_points,dir,2,,2026-05-28 21:10:57,
configs/route_definitions,route_definitions,dir,2,,2026-06-01 00:31:39,
nlsc_raw/97233NW,97233NW,dir,2,,2026-05-12 10:21:57,
nlsc_raw/97233SW,97233SW,dir,2,,2026-05-26 21:52:50,
osm_raw_output/_archived_before_20260531_refresh,_archived_before_20260531_refresh,dir,2,,2026-05-31 23:39:55,
osm_raw_output/juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b,juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b,dir,2,,2026-05-31 23:43:20,
osm_raw_output/qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,dir,2,,2026-05-31 22:24:02,
osm_raw_output/qixing_xiaoyoukeng_joyhike_osmrefresh_v1_3b,qixing_xiaoyoukeng_joyhike_osmrefresh_v1_3b,dir,2,,2026-05-31 22:32:17,
osm_raw_output/qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,dir,2,,2026-05-31 22:35:52,
osm_raw_output/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b,zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b,dir,2,,2026-05-31 22:38:48,
osm_raw_output_v1_1/qixing_lengshuikeng_main_peak_20260523,qixing_lengshuikeng_main_peak_20260523,dir,2,,2026-05-27 07:08:17,
osm_raw_output_v1_1/qixing_xiaoyoukeng_main_peak_20260315,qixing_xiaoyoukeng_main_peak_20260315,dir,2,,2026-05-27 06:56:59,
outputs/_backup_before_forced_required_way_20260529_002457,_backup_before_forced_required_way_20260529_002457,dir,2,,2026-05-29 00:24:57,
outputs/_backup_before_forced_required_way_20260529_002835,_backup_before_forced_required_way_20260529_002835,dir,2,,2026-05-29 00:28:35,
outputs/_backup_before_forced_required_way_20260529_002919,_backup_before_forced_required_way_20260529_002919,dir,2,,2026-05-29 00:29:19,
outputs/_checkpoints,_checkpoints,dir,2,,2026-05-30 19:42:55,
outputs/activity_points_osm_nlsc_corrected_batch_summary,activity_points_osm_nlsc_corrected_batch_summary,dir,2,,2026-05-31 01:02:49,
