schema_version,activity_id_short,activity_id_full,join_status,duration_min,route_dist_covered_m,route_dist_covered_km,calibrated_speed_mps_median,moving_sec,stopped_sec,heart_rate_available,heart_rate_bpm_median,heart_rate_bpm_p75,heart_rate_bpm_p90,calibrated_cumulative_gain_m,calibrated_cumulative_loss_m,terrain_slope_pct_median,terrain_slope_pct_p75,terrain_slope_pct_p90,backend_use_analytics_ready_ratio,calibration_review_required_ratio,movement_review_required_ratio,activity_performance_quality_flag,temperature_c,relative_humidity_pct,pressure_hpa,wind_speed_ms,wind_gust_ms,precipitation_mm,sunshine_duration_min,uv_index,rain_observed,high_humidity_observed,wind_gust_observed,descriptive_tags,candidate_duration_min_per_km,candidate_median_speed_kmh,candidate_gain_m_per_km,candidate_duration_min_per_100m_gain,candidate_gain_rate_m_per_hour,candidate_hr_median_context,candidate_weather_context_flags,candidate_data_quality_gate,candidate_model_readiness_note,ability_score_generated,ability_rank_generated,thci_scoring_authorized,radar_scoring_authorized,final_hiking_risk_scoring_authorized,authorization_note
ib3_baseline_hiking_performance_model_smoke_v1,3_1,qixing_lengshuikeng_3_1,MATCHED,130.9667,4186.0,4.186,0.5169,5180.0,212.0,True,112.0,137.0,157.0,16.902,25.902,12.226,41.629,73.7138,0.742157,0.257589,0.019434,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,23.1,94,916.4,4.8,14.7,0,186,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、陣風 ≥10 m/s、日照 ≥60 分、UV ≥6,31.286837,1.86084,4.037745,774.859188,7.743342,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,6_1,qixing_lengshuikeng_6_1,MATCHED,199.1667,4185.0,4.185,0.2688,4502.0,0.0,True,93.0,119.0,150.0,17.39,32.063,20.855,47.2615,81.822,0.458995,0.533907,0.012176,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,25.8,87.6,916.6,2.5,10.4,0,354,10,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、陣風 ≥10 m/s、日照 ≥60 分、UV ≥6,47.590609,0.96768,4.155317,1145.294422,5.238828,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,REVIEW_LOW_ANALYTICS_READY_RATIO,Analytics-ready ratio 0.458995 is below the 0.5 smoke usability threshold.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,8_1,qixing_lengshuikeng_8_1,MATCHED,140.2167,4187.0,4.187,0.4147,5216.0,496.0,True,155.0,170.0,175.0,17.995,42.735,21.598,46.4985,76.1055,0.770663,0.229337,0.01589,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,25.1,88,914,1.5,7.6,0,246,9,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,33.488584,1.49292,4.297827,779.198111,7.700224,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,9_1,qixing_lengshuikeng_9_1,MATCHED,144.0333,4186.0,4.186,0.3866,5643.0,992.0,True,135.0,151.0,171.0,22.927,27.659,22.4705,43.4768,79.3201,0.584525,0.414685,0.01237,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,22,100,917.5,4.3,14.5,44.5,0,1,True,True,True,有觀測降雨、高濕 ≥90%、有陣風觀測、陣風 ≥10 m/s、累積降雨 ≥5 mm、無日照,34.408337,1.39176,5.477066,628.225673,9.550708,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|RAIN_OBSERVED|WIND_GUST_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,13_1,qixing_lengshuikeng_13_1,MATCHED,138.35,4187.0,4.187,0.4108,5066.0,488.0,True,139.0,159.0,168.0,31.707,32.761,20.058,48.24,75.9295,0.741141,0.258859,0.007327,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,25.1,88,914,1.5,7.6,0,246,9,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,33.042751,1.47888,7.572725,436.338979,13.750777,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,14_1,qixing_lengshuikeng_14_1,MATCHED,119.6667,4187.0,4.187,0.4924,4260.0,575.0,True,119.0,152.0,165.0,23.283,37.293,10.12,39.0325,72.8438,0.729103,0.26937,0.023605,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,24.8,88.8,914.1,1.4,7.6,0,198,6,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,28.580535,1.77264,5.560783,513.965984,11.673924,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,15_1,qixing_lengshuikeng_15_1,MATCHED,115.9167,4187.0,4.187,0.5324,4196.0,0.0,True,151.0,163.0,170.0,20.624,11.541,14.429,37.124,72.7916,0.57395,0.425009,0.018401,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,25.3,90.4,918.7,1.7,7.1,0,198,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,27.684906,1.91664,4.925722,562.047614,10.675252,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,16_1,qixing_lengshuikeng_16_1,MATCHED,169.75,4187.0,4.187,0.3617,5701.0,1654.0,True,131.0,147.0,161.0,31.444,40.254,21.729,61.2615,86.8063,0.801569,0.198431,0.023627,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,24.8,88.8,914.1,1.4,7.6,0,198,6,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,40.542154,1.30212,7.509912,539.84862,11.114227,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,20_1,qixing_lengshuikeng_20_1,MATCHED,149.95,4187.0,4.187,0.4611,5442.0,0.0,True,143.0,159.0,169.0,17.473,28.585,11.7335,35.6497,63.2955,0.809019,0.190179,0.028364,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,24.8,88.8,914.1,1.4,7.6,0,198,6,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,35.813231,1.65996,4.173155,858.181194,6.991531,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_model_smoke_v1,23_1,qixing_lengshuikeng_23_1,MATCHED,188.4,4187.0,4.187,0.329,6452.0,0.0,True,128.0,143.0,163.0,45.6,40.668,14.813,37.026,74.1168,0.820673,0.179327,0.035279,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,25.1,88,914,1.5,7.6,0,246,9,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,44.996417,1.1844,10.890853,413.157895,14.522293,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Join and smoke usability checks passed for descriptive comparison; this does not authorize an ability or risk score.,False,False,False,False,False,"Descriptive baseline performance smoke metrics only. No ability score, ranking, THCI score, radar score, or final hiking risk score is generated or authorized."
