schema_version,activity_id_short,activity_id_full,v0_candidate_group_id,v0_usability_gate,included_in_baseline_reference,duration_min,route_dist_covered_km,candidate_duration_min_per_km,candidate_median_speed_kmh,candidate_gain_m_per_km,candidate_duration_min_per_100m_gain,candidate_gain_rate_m_per_hour,heart_rate_bpm_median,temperature_c,relative_humidity_pct,precipitation_mm,wind_gust_ms,sunshine_duration_min,uv_index,candidate_weather_context_flags,baseline_duration_min_per_km_median,baseline_median_speed_kmh_median,baseline_gain_m_per_km_median,baseline_gain_rate_m_per_hour_median,duration_min_per_km_delta_from_median,median_speed_kmh_delta_from_median,gain_m_per_km_delta_from_median,gain_rate_m_per_hour_delta_from_median,descriptive_performance_context,descriptive_weather_context,comparison_note,ability_score_generated,ability_rank_generated,ability_class_generated,thci_scoring_authorized,radar_scoring_authorized,final_hiking_risk_scoring_authorized,authorization_note,activity_date_taiwan,activity_start_taiwan,activity_end_taiwan,observed_context_source_type,observed_variable_count,unavailable_variable_count,pressure_hpa,wind_speed_ms,wind_direction_deg,rain_observed,high_humidity_observed,wind_gust_observed,descriptive_tags,codis_selected_station_names,weather_numeric_reattach_status,candidate_weather_context_flags_reattached,gain_rate_sanity_flag,legacy_gain_features_blocked,legacy_gain_features_blocked_reason,legacy_blocked_gain_features,legacy_candidate_gain_m_per_km_original,legacy_candidate_gain_rate_m_per_hour_original,legacy_candidate_duration_min_per_100m_gain_original,route_profile_ascent_m,route_profile_descent_m,route_profile_ascent_m_per_km,route_profile_descent_m_per_km,route_profile_ascent_rate_m_per_hour,duration_min_per_100m_route_profile_ascent,route_profile_descent_rate_m_per_hour,duration_min_per_100m_route_profile_descent,route_profile_candidate_points,route_profile_candidate_source,elevation_gain_qa_status,elevation_gain_qa_flags,route_profile_gain_feature_status,route_profile_gain_feature_status_reason,route_profile_gain_feature_model_ready,feature_contract_patch_required
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,3_1,qixing_lengshuikeng_3_1,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,True,130.9667,4.186,31.286837,1.86084,4.037745,774.859188,7.743342,112.0,23.1,94,0,14.7,186,6,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,33.042751,1.4688,6.782899,11.114227,-1.755914,0.39204,-2.745154,-3.370885,OBSERVED_BELOW_MEDIAN_DURATION_PER_KM,HIGH_HUMIDITY_CONTEXT|HIGH_UV_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,DESCRIPTIVE_ONLY; below/above/near median describes this usable sample only and is not an ability judgment. Raw weather numeric fields are blank when absent from the gate input; weather flags are not penalties.,False,False,False,False,False,False,"Route-profile ascent feature patch is descriptive / feature-contract evidence only. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, or final hiking risk scores.",2024-09-17,2024-09-17 07:43,2024-09-17 09:54,OBSERVED_HISTORICAL_CODIS,9,4,916.4,4.8,173.8,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、陣風 ≥10 m/s、日照 ≥60 分、UV ≥6,鞍部,MATCHED_WEATHER_NUMERIC_ATTACHED,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,True,activity-point cumulative gain/loss underestimates ascent for 1Hz slow hiking; STEP_DISTANCE_LT_3M and related validity gates over-exclude normal uphill progression,calibrated_cumulative_gain_m|calibrated_cumulative_loss_m|agg_total_gain_m|agg_total_loss_m|candidate_gain_m_per_km|candidate_gain_rate_m_per_hour|candidate_duration_min_per_100m_gain,4.037745,7.743342,774.859188,460.629,461.465,110.040373,110.240086,211.028758,28.432144,211.411756,28.380636,3033,PROFILE_SMOOTH,GAIN_FEATURES_BLOCKED_ROUTE_PROFILE_CANDIDATE_AVAILABLE_QA_REQUIRED,AGG_TOTAL_GAIN_BELOW_50PCT_ELEVATION_RANGE|CALIBRATED_GAIN_BELOW_50PCT_ELEVATION_RANGE|POSITIVE_ELEVATION_DELTAS_MOSTLY_INVALID|STEP_DISTANCE_LT_3M_DOMINANT|ROUTE_PROFILE_ASCENT_CANDIDATE_AVAILABLE,ROUTE_PROFILE_ASCENT_FEATURE_READY_DESCRIPTIVE_CONTRACT_PATCH,use route profile ascent/descent as corrected route-demand feature; legacy activity-point gain remains blocked,False,True
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,8_1,qixing_lengshuikeng_8_1,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,True,140.2167,4.187,33.488584,1.49292,4.297827,779.198111,7.700224,155.0,25.1,88,0,7.6,246,9,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,33.042751,1.4688,6.782899,11.114227,0.445833,0.02412,-2.485072,-3.414003,OBSERVED_NEAR_MEDIAN_DURATION_PER_KM,HIGH_UV_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,DESCRIPTIVE_ONLY; below/above/near median describes this usable sample only and is not an ability judgment. Raw weather numeric fields are blank when absent from the gate input; weather flags are not penalties.,False,False,False,False,False,False,"Route-profile ascent feature patch is descriptive / feature-contract evidence only. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, or final hiking risk scores.",2024-08-11,2024-08-11 08:55,2024-08-11 11:15,OBSERVED_HISTORICAL_CODIS,9,4,914,1.5,63,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,MATCHED_WEATHER_NUMERIC_ATTACHED,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,True,activity-point cumulative gain/loss underestimates ascent for 1Hz slow hiking; STEP_DISTANCE_LT_3M and related validity gates over-exclude normal uphill progression,calibrated_cumulative_gain_m|calibrated_cumulative_loss_m|agg_total_gain_m|agg_total_loss_m|candidate_gain_m_per_km|candidate_gain_rate_m_per_hour|candidate_duration_min_per_100m_gain,4.297827,7.700224,779.198111,462.659,463.703,110.498925,110.748268,197.97599,30.306705,198.422727,30.238472,2983,PROFILE_SMOOTH,GAIN_FEATURES_BLOCKED_ROUTE_PROFILE_CANDIDATE_AVAILABLE_QA_REQUIRED,AGG_TOTAL_GAIN_BELOW_50PCT_ELEVATION_RANGE|CALIBRATED_GAIN_BELOW_50PCT_ELEVATION_RANGE|POSITIVE_ELEVATION_DELTAS_MOSTLY_INVALID|STEP_DISTANCE_LT_3M_DOMINANT|ROUTE_PROFILE_ASCENT_CANDIDATE_AVAILABLE,ROUTE_PROFILE_ASCENT_FEATURE_READY_DESCRIPTIVE_CONTRACT_PATCH,use route profile ascent/descent as corrected route-demand feature; legacy activity-point gain remains blocked,False,True
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,9_1,qixing_lengshuikeng_9_1,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,True,144.0333,4.186,34.408337,1.39176,5.477066,628.225673,9.550708,135.0,22,100,44.5,14.5,0,1,HIGH_HUMIDITY_OBSERVED|RAIN_OBSERVED|WIND_GUST_OBSERVED,33.042751,1.4688,6.782899,11.114227,1.365586,-0.07704,-1.305833,-1.563519,OBSERVED_NEAR_MEDIAN_DURATION_PER_KM,HIGH_HUMIDITY_CONTEXT|RAIN_OBSERVED_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,DESCRIPTIVE_ONLY; below/above/near median describes this usable sample only and is not an ability judgment. Raw weather numeric fields are blank when absent from the gate input; weather flags are not penalties.,False,False,False,False,False,False,"Route-profile ascent feature patch is descriptive / feature-contract evidence only. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, or final hiking risk scores.",2024-09-22,2024-09-22 08:56,2024-09-22 11:20,OBSERVED_HISTORICAL_CODIS,9,4,917.5,4.3,346.1,True,True,True,有觀測降雨、高濕 ≥90%、有陣風觀測、陣風 ≥10 m/s、累積降雨 ≥5 mm、無日照,鞍部,MATCHED_WEATHER_NUMERIC_ATTACHED,HIGH_HUMIDITY_CONTEXT|RAIN_OBSERVED_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,True,activity-point cumulative gain/loss underestimates ascent for 1Hz slow hiking; STEP_DISTANCE_LT_3M and related validity gates over-exclude normal uphill progression,calibrated_cumulative_gain_m|calibrated_cumulative_loss_m|agg_total_gain_m|agg_total_loss_m|candidate_gain_m_per_km|candidate_gain_rate_m_per_hour|candidate_duration_min_per_100m_gain,5.477066,9.550708,628.225673,461.098,461.934,110.152413,110.352126,192.079748,31.237026,192.428001,31.180493,3074,PROFILE_SMOOTH,GAIN_FEATURES_BLOCKED_ROUTE_PROFILE_CANDIDATE_AVAILABLE_QA_REQUIRED,AGG_TOTAL_GAIN_BELOW_50PCT_ELEVATION_RANGE|CALIBRATED_GAIN_BELOW_50PCT_ELEVATION_RANGE|POSITIVE_ELEVATION_DELTAS_MOSTLY_INVALID|STEP_DISTANCE_LT_3M_DOMINANT|ROUTE_PROFILE_ASCENT_CANDIDATE_AVAILABLE,ROUTE_PROFILE_ASCENT_FEATURE_READY_DESCRIPTIVE_CONTRACT_PATCH,use route profile ascent/descent as corrected route-demand feature; legacy activity-point gain remains blocked,False,True
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,13_1,qixing_lengshuikeng_13_1,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,True,138.35,4.187,33.042751,1.47888,7.572725,436.338979,13.750777,139.0,25.1,88,0,7.6,246,9,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,33.042751,1.4688,6.782899,11.114227,0,0.01008,0.789826,2.63655,OBSERVED_NEAR_MEDIAN_DURATION_PER_KM,HIGH_UV_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,DESCRIPTIVE_ONLY; below/above/near median describes this usable sample only and is not an ability judgment. Raw weather numeric fields are blank when absent from the gate input; weather flags are not penalties.,False,False,False,False,False,False,"Route-profile ascent feature patch is descriptive / feature-contract evidence only. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, or final hiking risk scores.",2024-08-11,2024-08-11 08:58,2024-08-11 11:16,OBSERVED_HISTORICAL_CODIS,9,4,914,1.5,63,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,MATCHED_WEATHER_NUMERIC_ATTACHED,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,True,activity-point cumulative gain/loss underestimates ascent for 1Hz slow hiking; STEP_DISTANCE_LT_3M and related validity gates over-exclude normal uphill progression,calibrated_cumulative_gain_m|calibrated_cumulative_loss_m|agg_total_gain_m|agg_total_loss_m|candidate_gain_m_per_km|candidate_gain_rate_m_per_hour|candidate_duration_min_per_100m_gain,7.572725,13.750777,436.338979,455.264,456.308,108.732744,108.982087,197.440116,30.388961,197.89288,30.319433,2896,PROFILE_SMOOTH,GAIN_FEATURES_BLOCKED_ROUTE_PROFILE_CANDIDATE_AVAILABLE_QA_REQUIRED,AGG_TOTAL_GAIN_BELOW_50PCT_ELEVATION_RANGE|CALIBRATED_GAIN_BELOW_50PCT_ELEVATION_RANGE|POSITIVE_ELEVATION_DELTAS_MOSTLY_INVALID|STEP_DISTANCE_LT_3M_DOMINANT|ROUTE_PROFILE_ASCENT_CANDIDATE_AVAILABLE,ROUTE_PROFILE_ASCENT_FEATURE_READY_DESCRIPTIVE_CONTRACT_PATCH,use route profile ascent/descent as corrected route-demand feature; legacy activity-point gain remains blocked,False,True
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,14_1,qixing_lengshuikeng_14_1,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,True,119.6667,4.187,28.580535,1.77264,5.560783,513.965984,11.673924,119.0,24.8,88.8,0,7.6,198,6,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,33.042751,1.4688,6.782899,11.114227,-4.462216,0.30384,-1.222116,0.559697,OBSERVED_BELOW_MEDIAN_DURATION_PER_KM,HIGH_UV_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,DESCRIPTIVE_ONLY; below/above/near median describes this usable sample only and is not an ability judgment. Raw weather numeric fields are blank when absent from the gate input; weather flags are not penalties.,False,False,False,False,False,False,"Route-profile ascent feature patch is descriptive / feature-contract evidence only. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, or final hiking risk scores.",2024-08-11,2024-08-11 08:57,2024-08-11 10:56,OBSERVED_HISTORICAL_CODIS,9,4,914.1,1.4,107.7,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,MATCHED_WEATHER_NUMERIC_ATTACHED,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,True,activity-point cumulative gain/loss underestimates ascent for 1Hz slow hiking; STEP_DISTANCE_LT_3M and related validity gates over-exclude normal uphill progression,calibrated_cumulative_gain_m|calibrated_cumulative_loss_m|agg_total_gain_m|agg_total_loss_m|candidate_gain_m_per_km|candidate_gain_rate_m_per_hour|candidate_duration_min_per_100m_gain,5.560783,11.673924,513.965984,462.732,463.776,110.51636,110.765703,232.010409,25.860909,232.533863,25.802694,2770,PROFILE_SMOOTH,GAIN_FEATURES_BLOCKED_ROUTE_PROFILE_CANDIDATE_AVAILABLE_QA_REQUIRED,AGG_TOTAL_GAIN_BELOW_50PCT_ELEVATION_RANGE|CALIBRATED_GAIN_BELOW_50PCT_ELEVATION_RANGE|POSITIVE_ELEVATION_DELTAS_MOSTLY_INVALID|STEP_DISTANCE_LT_3M_DOMINANT|ROUTE_PROFILE_ASCENT_CANDIDATE_AVAILABLE,ROUTE_PROFILE_ASCENT_FEATURE_READY_DESCRIPTIVE_CONTRACT_PATCH,use route profile ascent/descent as corrected route-demand feature; legacy activity-point gain remains blocked,False,True
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,15_1,qixing_lengshuikeng_15_1,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,True,115.9167,4.187,27.684906,1.91664,4.925722,562.047614,10.675252,151.0,25.3,90.4,0,7.1,198,6,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,33.042751,1.4688,6.782899,11.114227,-5.357845,0.44784,-1.857177,-0.438975,OBSERVED_BELOW_MEDIAN_DURATION_PER_KM,HIGH_HUMIDITY_CONTEXT|HIGH_UV_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,DESCRIPTIVE_ONLY; below/above/near median describes this usable sample only and is not an ability judgment. Raw weather numeric fields are blank when absent from the gate input; weather flags are not penalties.,False,False,False,False,False,False,"Route-profile ascent feature patch is descriptive / feature-contract evidence only. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, or final hiking risk scores.",2024-08-04,2024-08-04 08:59,2024-08-04 10:55,OBSERVED_HISTORICAL_CODIS,9,4,918.7,1.7,326.8,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,MATCHED_WEATHER_NUMERIC_ATTACHED,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,True,activity-point cumulative gain/loss underestimates ascent for 1Hz slow hiking; STEP_DISTANCE_LT_3M and related validity gates over-exclude normal uphill progression,calibrated_cumulative_gain_m|calibrated_cumulative_loss_m|agg_total_gain_m|agg_total_loss_m|candidate_gain_m_per_km|candidate_gain_rate_m_per_hour|candidate_duration_min_per_100m_gain,4.925722,10.675252,562.047614,459.167,460.211,109.664915,109.914258,237.670845,25.244998,238.211233,25.187729,2744,PROFILE_SMOOTH,GAIN_FEATURES_BLOCKED_ROUTE_PROFILE_CANDIDATE_AVAILABLE_QA_REQUIRED,AGG_TOTAL_GAIN_BELOW_50PCT_ELEVATION_RANGE|CALIBRATED_GAIN_BELOW_50PCT_ELEVATION_RANGE|POSITIVE_ELEVATION_DELTAS_MOSTLY_INVALID|ROUTE_PROFILE_ASCENT_CANDIDATE_AVAILABLE,ROUTE_PROFILE_ASCENT_FEATURE_READY_DESCRIPTIVE_CONTRACT_PATCH,use route profile ascent/descent as corrected route-demand feature; legacy activity-point gain remains blocked,False,True
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,16_1,qixing_lengshuikeng_16_1,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,True,169.75,4.187,40.542154,1.30212,7.509912,539.84862,11.114227,131.0,24.8,88.8,0,7.6,198,6,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,33.042751,1.4688,6.782899,11.114227,7.499403,-0.16668,0.727013,0,OBSERVED_ABOVE_MEDIAN_DURATION_PER_KM,HIGH_UV_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,DESCRIPTIVE_ONLY; below/above/near median describes this usable sample only and is not an ability judgment. Raw weather numeric fields are blank when absent from the gate input; weather flags are not penalties.,False,False,False,False,False,False,"Route-profile ascent feature patch is descriptive / feature-contract evidence only. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, or final hiking risk scores.",2024-08-11,2024-08-11 08:10,2024-08-11 10:59,OBSERVED_HISTORICAL_CODIS,9,4,914.1,1.4,107.7,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,MATCHED_WEATHER_NUMERIC_ATTACHED,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,True,activity-point cumulative gain/loss underestimates ascent for 1Hz slow hiking; STEP_DISTANCE_LT_3M and related validity gates over-exclude normal uphill progression,calibrated_cumulative_gain_m|calibrated_cumulative_loss_m|agg_total_gain_m|agg_total_loss_m|candidate_gain_m_per_km|candidate_gain_rate_m_per_hour|candidate_duration_min_per_100m_gain,7.509912,11.114227,539.84862,462.756,463.8,110.522092,110.771435,163.566186,36.682398,163.935199,36.599828,3119,PROFILE_SMOOTH,GAIN_FEATURES_BLOCKED_ROUTE_PROFILE_CANDIDATE_AVAILABLE_QA_REQUIRED,AGG_TOTAL_GAIN_BELOW_50PCT_ELEVATION_RANGE|CALIBRATED_GAIN_BELOW_50PCT_ELEVATION_RANGE|POSITIVE_ELEVATION_DELTAS_MOSTLY_INVALID|STEP_DISTANCE_LT_3M_DOMINANT|ROUTE_PROFILE_ASCENT_CANDIDATE_AVAILABLE,ROUTE_PROFILE_ASCENT_FEATURE_READY_DESCRIPTIVE_CONTRACT_PATCH,use route profile ascent/descent as corrected route-demand feature; legacy activity-point gain remains blocked,False,True
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,20_1,qixing_lengshuikeng_20_1,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,True,149.95,4.187,35.813231,1.65996,4.173155,858.181194,6.991531,143.0,24.8,88.8,0,7.6,198,6,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,33.042751,1.4688,6.782899,11.114227,2.77048,0.19116,-2.609744,-4.122696,OBSERVED_ABOVE_MEDIAN_DURATION_PER_KM,HIGH_UV_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,DESCRIPTIVE_ONLY; below/above/near median describes this usable sample only and is not an ability judgment. Raw weather numeric fields are blank when absent from the gate input; weather flags are not penalties.,False,False,False,False,False,False,"Route-profile ascent feature patch is descriptive / feature-contract evidence only. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, or final hiking risk scores.",2024-08-11,2024-08-11 08:29,2024-08-11 10:59,OBSERVED_HISTORICAL_CODIS,9,4,914.1,1.4,107.7,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,MATCHED_WEATHER_NUMERIC_ATTACHED,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,True,activity-point cumulative gain/loss underestimates ascent for 1Hz slow hiking; STEP_DISTANCE_LT_3M and related validity gates over-exclude normal uphill progression,calibrated_cumulative_gain_m|calibrated_cumulative_loss_m|agg_total_gain_m|agg_total_loss_m|candidate_gain_m_per_km|candidate_gain_rate_m_per_hour|candidate_duration_min_per_100m_gain,4.173155,6.991531,858.181194,450.189,451.233,107.520659,107.770002,180.135645,33.308233,180.553384,33.231169,3160,PROFILE_SMOOTH,GAIN_FEATURES_BLOCKED_ROUTE_PROFILE_CANDIDATE_AVAILABLE_QA_REQUIRED,AGG_TOTAL_GAIN_BELOW_50PCT_ELEVATION_RANGE|CALIBRATED_GAIN_BELOW_50PCT_ELEVATION_RANGE|POSITIVE_ELEVATION_DELTAS_MOSTLY_INVALID|STEP_DISTANCE_LT_3M_DOMINANT|ROUTE_PROFILE_ASCENT_CANDIDATE_AVAILABLE,ROUTE_PROFILE_ASCENT_FEATURE_READY_DESCRIPTIVE_CONTRACT_PATCH,use route profile ascent/descent as corrected route-demand feature; legacy activity-point gain remains blocked,False,True
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,23_1,qixing_lengshuikeng_23_1,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,True,188.4,4.187,44.996417,1.1844,10.890853,413.157895,14.522293,128.0,25.1,88,0,7.6,246,9,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,33.042751,1.4688,6.782899,11.114227,11.953666,-0.2844,4.107954,3.408066,OBSERVED_ABOVE_MEDIAN_DURATION_PER_KM,HIGH_UV_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,DESCRIPTIVE_ONLY; below/above/near median describes this usable sample only and is not an ability judgment. Raw weather numeric fields are blank when absent from the gate input; weather flags are not penalties.,False,False,False,False,False,False,"Route-profile ascent feature patch is descriptive / feature-contract evidence only. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, or final hiking risk scores.",2024-08-11,2024-08-11 08:27,2024-08-11 11:36,OBSERVED_HISTORICAL_CODIS,9,4,914,1.5,63,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,MATCHED_WEATHER_NUMERIC_ATTACHED,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,True,activity-point cumulative gain/loss underestimates ascent for 1Hz slow hiking; STEP_DISTANCE_LT_3M and related validity gates over-exclude normal uphill progression,calibrated_cumulative_gain_m|calibrated_cumulative_loss_m|agg_total_gain_m|agg_total_loss_m|candidate_gain_m_per_km|candidate_gain_rate_m_per_hour|candidate_duration_min_per_100m_gain,10.890853,14.522293,413.157895,462.147,463.191,110.376642,110.625985,147.180573,40.76625,147.513057,40.674365,3072,PROFILE_SMOOTH,GAIN_FEATURES_BLOCKED_ROUTE_PROFILE_CANDIDATE_AVAILABLE_QA_REQUIRED,AGG_TOTAL_GAIN_BELOW_50PCT_ELEVATION_RANGE|CALIBRATED_GAIN_BELOW_50PCT_ELEVATION_RANGE|POSITIVE_ELEVATION_DELTAS_MOSTLY_INVALID|ROUTE_PROFILE_ASCENT_CANDIDATE_AVAILABLE,ROUTE_PROFILE_ASCENT_FEATURE_READY_DESCRIPTIVE_CONTRACT_PATCH,use route profile ascent/descent as corrected route-demand feature; legacy activity-point gain remains blocked,False,True
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,28_1,qixing_lengshuikeng_28_1,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,True,143.6833,4.186,34.324725,1.40256,3.097468,1108.154404,5.414408,144.0,25.9,88.2,0,7.1,222,7,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,33.042751,1.4688,6.782899,11.114227,1.281974,-0.06624,-3.685431,-5.699819,OBSERVED_NEAR_MEDIAN_DURATION_PER_KM,HIGH_UV_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,DESCRIPTIVE_ONLY; below/above/near median describes this usable sample only and is not an ability judgment. Raw weather numeric fields are blank when absent from the gate input; weather flags are not penalties.,False,False,False,False,False,False,"Route-profile ascent feature patch is descriptive / feature-contract evidence only. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, or final hiking risk scores.",2024-08-04,2024-08-04 09:10,2024-08-04 11:34,OBSERVED_HISTORICAL_CODIS,9,4,918.5,1.9,345.5,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,MATCHED_WEATHER_NUMERIC_ATTACHED,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,True,activity-point cumulative gain/loss underestimates ascent for 1Hz slow hiking; STEP_DISTANCE_LT_3M and related validity gates over-exclude normal uphill progression,calibrated_cumulative_gain_m|calibrated_cumulative_loss_m|agg_total_gain_m|agg_total_loss_m|candidate_gain_m_per_km|candidate_gain_rate_m_per_hour|candidate_duration_min_per_100m_gain,3.097468,5.414408,1108.154404,462.595,463.431,110.510033,110.709747,193.172763,31.06028,193.521864,31.004249,3165,PROFILE_SMOOTH,GAIN_FEATURES_BLOCKED_ROUTE_PROFILE_CANDIDATE_AVAILABLE_QA_REQUIRED,AGG_TOTAL_GAIN_BELOW_50PCT_ELEVATION_RANGE|CALIBRATED_GAIN_BELOW_50PCT_ELEVATION_RANGE|POSITIVE_ELEVATION_DELTAS_MOSTLY_INVALID|STEP_DISTANCE_LT_3M_DOMINANT|ROUTE_PROFILE_ASCENT_CANDIDATE_AVAILABLE,ROUTE_PROFILE_ASCENT_FEATURE_READY_DESCRIPTIVE_CONTRACT_PATCH,use route profile ascent/descent as corrected route-demand feature; legacy activity-point gain remains blocked,False,True
