schema_version,activity_id_short,activity_id_full,join_status,duration_min,route_dist_covered_m,route_dist_covered_km,candidate_duration_min_per_km,candidate_median_speed_kmh,candidate_gain_m_per_km,candidate_duration_min_per_100m_gain,candidate_gain_rate_m_per_hour,heart_rate_available,heart_rate_bpm_median,candidate_hr_median_context,candidate_weather_context_flags,backend_use_analytics_ready_ratio,calibration_review_required_ratio,movement_review_required_ratio,activity_performance_quality_flag,candidate_data_quality_gate,v0_candidate_group_id,v0_usability_gate,v0_usability_reasons,v0_review_required,v0_exclude_from_ability_estimate,v0_gate_note,ability_score_generated,ability_rank_generated,ability_class_generated,thci_scoring_authorized,radar_scoring_authorized,final_hiking_risk_scoring_authorized,authorization_note
ib3_baseline_hiking_performance_v0_usability_gate_smoke_v1,3_1,qixing_lengshuikeng_3_1,MATCHED,130.9667,4186.0,4.186,31.286837,1.86084,4.037745,774.859188,7.743342,True,112.0,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,0.742157,0.257589,0.019434,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,ALL_V0_SMOKE_USABILITY_GATES_PASSED,False,False,Passed future model v0 smoke usability checks and assigned to a candidate comparison group. USABLE does not indicate strong ability.,False,False,False,False,False,False,"Future model usability gate smoke only. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_v0_usability_gate_smoke_v1,6_1,qixing_lengshuikeng_6_1,MATCHED,199.1667,4185.0,4.185,47.590609,0.96768,4.155317,1145.294422,5.238828,True,93.0,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,0.458995,0.533907,0.012176,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,REVIEW_LOW_ANALYTICS_READY_RATIO,,REVIEW_ONLY_DATA_QUALITY,DATA_QUALITY_GATE_NOT_READY__REVIEW_LOW_ANALYTICS_READY_RATIO|ANALYTICS_READY_RATIO_BELOW_0_5|CALIBRATION_REVIEW_RATIO_ABOVE_0_5,True,True,Retained as review-only evidence and excluded from any future ability estimate. REVIEW_ONLY does not indicate weak ability.,False,False,False,False,False,False,"Future model usability gate smoke only. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_v0_usability_gate_smoke_v1,8_1,qixing_lengshuikeng_8_1,MATCHED,140.2167,4187.0,4.187,33.488584,1.49292,4.297827,779.198111,7.700224,True,155.0,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,0.770663,0.229337,0.01589,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,ALL_V0_SMOKE_USABILITY_GATES_PASSED,False,False,Passed future model v0 smoke usability checks and assigned to a candidate comparison group. USABLE does not indicate strong ability.,False,False,False,False,False,False,"Future model usability gate smoke only. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_v0_usability_gate_smoke_v1,9_1,qixing_lengshuikeng_9_1,MATCHED,144.0333,4186.0,4.186,34.408337,1.39176,5.477066,628.225673,9.550708,True,135.0,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|RAIN_OBSERVED|WIND_GUST_OBSERVED,0.584525,0.414685,0.01237,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,ALL_V0_SMOKE_USABILITY_GATES_PASSED,False,False,Passed future model v0 smoke usability checks and assigned to a candidate comparison group. USABLE does not indicate strong ability.,False,False,False,False,False,False,"Future model usability gate smoke only. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_v0_usability_gate_smoke_v1,13_1,qixing_lengshuikeng_13_1,MATCHED,138.35,4187.0,4.187,33.042751,1.47888,7.572725,436.338979,13.750777,True,139.0,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,0.741141,0.258859,0.007327,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,ALL_V0_SMOKE_USABILITY_GATES_PASSED,False,False,Passed future model v0 smoke usability checks and assigned to a candidate comparison group. USABLE does not indicate strong ability.,False,False,False,False,False,False,"Future model usability gate smoke only. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_v0_usability_gate_smoke_v1,14_1,qixing_lengshuikeng_14_1,MATCHED,119.6667,4187.0,4.187,28.580535,1.77264,5.560783,513.965984,11.673924,True,119.0,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,0.729103,0.26937,0.023605,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,ALL_V0_SMOKE_USABILITY_GATES_PASSED,False,False,Passed future model v0 smoke usability checks and assigned to a candidate comparison group. USABLE does not indicate strong ability.,False,False,False,False,False,False,"Future model usability gate smoke only. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_v0_usability_gate_smoke_v1,15_1,qixing_lengshuikeng_15_1,MATCHED,115.9167,4187.0,4.187,27.684906,1.91664,4.925722,562.047614,10.675252,True,151.0,HR_OBSERVED,HIGH_HUMIDITY_OBSERVED|NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,0.57395,0.425009,0.018401,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,ALL_V0_SMOKE_USABILITY_GATES_PASSED,False,False,Passed future model v0 smoke usability checks and assigned to a candidate comparison group. USABLE does not indicate strong ability.,False,False,False,False,False,False,"Future model usability gate smoke only. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_v0_usability_gate_smoke_v1,16_1,qixing_lengshuikeng_16_1,MATCHED,169.75,4187.0,4.187,40.542154,1.30212,7.509912,539.84862,11.114227,True,131.0,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,0.801569,0.198431,0.023627,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,ALL_V0_SMOKE_USABILITY_GATES_PASSED,False,False,Passed future model v0 smoke usability checks and assigned to a candidate comparison group. USABLE does not indicate strong ability.,False,False,False,False,False,False,"Future model usability gate smoke only. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_v0_usability_gate_smoke_v1,20_1,qixing_lengshuikeng_20_1,MATCHED,149.95,4187.0,4.187,35.813231,1.65996,4.173155,858.181194,6.991531,True,143.0,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,0.809019,0.190179,0.028364,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,ALL_V0_SMOKE_USABILITY_GATES_PASSED,False,False,Passed future model v0 smoke usability checks and assigned to a candidate comparison group. USABLE does not indicate strong ability.,False,False,False,False,False,False,"Future model usability gate smoke only. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated or authorized."
ib3_baseline_hiking_performance_v0_usability_gate_smoke_v1,23_1,qixing_lengshuikeng_23_1,MATCHED,188.4,4187.0,4.187,44.996417,1.1844,10.890853,413.157895,14.522293,True,128.0,HR_OBSERVED,NO_RAIN_OBSERVED|WIND_GUST_OBSERVED|HIGH_UV_OBSERVED,0.820673,0.179327,0.035279,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,qixing_lengshuikeng_full26_baseline_smoke,USABLE_FOR_V0_MODEL_SMOKE,ALL_V0_SMOKE_USABILITY_GATES_PASSED,False,False,Passed future model v0 smoke usability checks and assigned to a candidate comparison group. USABLE does not indicate strong ability.,False,False,False,False,False,False,"Future model usability gate smoke only. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated or authorized."
