schema_version,activity_id_short,route_dist_covered_km,duration_min,candidate_gain_m_per_km,candidate_gain_rate_m_per_hour,derived_gain_m_from_gain_per_km,gain_rate_sanity_flag,sanity_note
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,3_1,4.186,130.9667,4.037745,7.743342,16.902001,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,8_1,4.187,140.2167,4.297827,7.700224,17.995002,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,9_1,4.186,144.0333,5.477066,9.550708,22.926998,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,13_1,4.187,138.35,7.572725,13.750777,31.707,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,14_1,4.187,119.6667,5.560783,11.673924,23.282998,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,15_1,4.187,115.9167,4.925722,10.675252,20.623998,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,16_1,4.187,169.75,7.509912,11.114227,31.444002,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,20_1,4.187,149.95,4.173155,6.991531,17.473,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,23_1,4.187,188.4,10.890853,14.522293,45.600002,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,28_1,4.186,143.6833,3.097468,5.414408,12.966001,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,29_1,4.185,126.8,8.328315,16.492429,34.853998,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,30_1,4.185,126.8333,46.197611,91.460366,193.337002,GAIN_RATE_PLAUSIBILITY_UNREVIEWED|GAIN_PER_KM_PLAUSIBILITY_UNREVIEWED,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,33_1,4.187,109.3667,9.852878,22.632483,41.254,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,35_1,4.187,125.8167,11.564127,23.090257,48.419,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,36_1,4.167,133.3333,5.886009,11.037153,24.527,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,37_1,4.185,158.5167,11.039665,17.487495,46.200998,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,38_1,4.182,169.7667,35.282401,52.14839,147.551001,GAIN_RATE_PLAUSIBILITY_UNREVIEWED|GAIN_PER_KM_PLAUSIBILITY_UNREVIEWED,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,40_1,4.185,128.1833,6.712784,13.149763,28.093001,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,41_1,4.186,117.55,4.014572,8.577627,16.804998,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,42_1,4.187,171.1,5.219489,7.663589,21.854,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,43_1,4.187,190.5333,7.983998,10.526979,33.429,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,44_1,4.187,116.5333,6.782899,14.62243,28.399998,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,45_1,4.186,120.1667,6.874343,14.36804,28.776,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,46_1,4.187,171.5,7.356102,10.77551,30.799999,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
ib3_baseline_hiking_performance_weather_numeric_reattach_v1,48_1,4.187,192.7833,6.686171,8.712892,27.994998,GAIN_RATE_LOW_REVIEW|GAIN_PER_KM_LOW_REVIEW,"Review-only plausibility flag. This is not ability scoring. Low gain-rate may reflect conservative calibrated gain, total-duration denominator, or route/elevation aggregation semantics."
