schema_version,activity_id_short,activity_id_full,usable_activity,window_count,total_covered_route_window_count,route_distance_min_m,route_distance_max_m,duration_observed_sec,window_speed_mps_mean,window_speed_mps_median,stopped_ratio_mean,low_speed_ratio_mean,heart_rate_bpm_median,high_load_window_count,high_load_speed_mps_median,high_load_stopped_ratio_mean,high_load_low_speed_ratio_mean,high_load_heart_rate_bpm_median,weather_context_available,weather_observed_numeric_count,weather_missing_numeric_count,weather_context_flags,review_window_count,review_flag_summary,legacy_gain_fields_used_count,prohibited_score_rank_class_generated_count,interpretation_boundary
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,True,81,81,0,4200,5842,0.695279,0.702273,0.008893,0.174861,115,20,0.413828,0.008661,0.338779,118.5,True,6,0,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,81,MOVEMENT_REVIEW_PRESENT:58|ROUTE_PHASE_UNKNOWN:81|SLOPE_REVIEW_PRESENT:81,0,0,"Full25 usable-activity summary only; high-load behavior is descriptive and must not be interpreted as ability, rank, class, or risk."
ib3_personal_hiking_features_route_load_comparison_full25_v1,8_1,qixing_lengshuikeng_8_1,True,84,84,0,4200,6497,0.735868,0.641725,0.012961,0.237735,166,22,0.399831,0.015675,0.389722,168.5,True,6,0,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,84,MOVEMENT_REVIEW_PRESENT:65|ROUTE_PHASE_UNKNOWN:84|SLOPE_REVIEW_PRESENT:84,0,0,"Full25 usable-activity summary only; high-load behavior is descriptive and must not be interpreted as ability, rank, class, or risk."
ib3_personal_hiking_features_route_load_comparison_full25_v1,9_1,qixing_lengshuikeng_9_1,True,81,81,0,4200,6662,0.594751,0.590467,0.006544,0.25849,146.5,26,0.505846,0.015012,0.334978,152.25,True,6,0,HIGH_HUMIDITY_CONTEXT|RAIN_OBSERVED_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT,81,MOVEMENT_REVIEW_PRESENT:69|ROUTE_PHASE_UNKNOWN:81|SLOPE_REVIEW_PRESENT:81,0,0,"Full25 usable-activity summary only; high-load behavior is descriptive and must not be interpreted as ability, rank, class, or risk."
ib3_personal_hiking_features_route_load_comparison_full25_v1,13_1,qixing_lengshuikeng_13_1,True,80,80,0,4200,6165,0.674286,0.669343,0.014726,0.218352,155,26,0.48242,0.009964,0.344629,160.5,True,6,0,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,80,MOVEMENT_REVIEW_PRESENT:60|ROUTE_PHASE_UNKNOWN:80|SLOPE_REVIEW_PRESENT:80,0,0,"Full25 usable-activity summary only; high-load behavior is descriptive and must not be interpreted as ability, rank, class, or risk."
ib3_personal_hiking_features_route_load_comparison_full25_v1,14_1,qixing_lengshuikeng_14_1,True,84,84,0,4200,5242,0.849901,0.839099,0.008795,0.145467,140,23,0.607666,0,0.212741,153,True,6,0,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,84,MOVEMENT_REVIEW_PRESENT:62|ROUTE_PHASE_UNKNOWN:84|SLOPE_REVIEW_PRESENT:84,0,0,"Full25 usable-activity summary only; high-load behavior is descriptive and must not be interpreted as ability, rank, class, or risk."
ib3_personal_hiking_features_route_load_comparison_full25_v1,15_1,qixing_lengshuikeng_15_1,True,81,81,0,4200,4949,0.86675,0.905109,0,0.079904,160.5,18,0.591001,0,0.131184,162.5,True,6,0,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,81,MOVEMENT_REVIEW_PRESENT:81|ROUTE_PHASE_UNKNOWN:81|SLOPE_REVIEW_PRESENT:81,0,0,"Full25 usable-activity summary only; high-load behavior is descriptive and must not be interpreted as ability, rank, class, or risk."
ib3_personal_hiking_features_route_load_comparison_full25_v1,16_1,qixing_lengshuikeng_16_1,True,83,83,0,4200,8174,0.585359,0.60218,0.076112,0.212015,136.5,24,0.62851,0.121184,0.215797,135,True,6,0,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,83,MOVEMENT_REVIEW_PRESENT:71|ROUTE_PHASE_UNKNOWN:83|SLOPE_REVIEW_PRESENT:83,0,0,"Full25 usable-activity summary only; high-load behavior is descriptive and must not be interpreted as ability, rank, class, or risk."
ib3_personal_hiking_features_route_load_comparison_full25_v1,20_1,qixing_lengshuikeng_20_1,True,79,79,0,4200,7056,0.62473,0.619883,0,0.10797,150,17,0.53314,0,0.158773,157,True,6,0,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,79,MOVEMENT_REVIEW_PRESENT:79|ROUTE_PHASE_UNKNOWN:79|SLOPE_REVIEW_PRESENT:79,0,0,"Full25 usable-activity summary only; high-load behavior is descriptive and must not be interpreted as ability, rank, class, or risk."
ib3_personal_hiking_features_route_load_comparison_full25_v1,23_1,qixing_lengshuikeng_23_1,True,83,83,0,4200,9269,0.496194,0.494604,0,0.117245,132,31,0.408653,0,0.138143,136.5,True,6,0,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,83,MOVEMENT_REVIEW_PRESENT:83|ROUTE_PHASE_UNKNOWN:83|SLOPE_REVIEW_PRESENT:83,0,0,"Full25 usable-activity summary only; high-load behavior is descriptive and must not be interpreted as ability, rank, class, or risk."
ib3_personal_hiking_features_route_load_comparison_full25_v1,28_1,qixing_lengshuikeng_28_1,True,84,84,0,4200,6613,0.61212,0.598755,0.009183,0.260677,152,34,0.551564,0.004689,0.295923,157.5,True,6,0,NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|HIGH_UV_CONTEXT,84,MOVEMENT_REVIEW_PRESENT:79|ROUTE_PHASE_UNKNOWN:84|SLOPE_REVIEW_PRESENT:84,0,0,"Full25 usable-activity summary only; high-load behavior is descriptive and must not be interpreted as ability, rank, class, or risk."
