schema_version,route_folder,activity_id_short,activity_id_full,input_csv,status,rows,elapsed_min_sec,elapsed_max_sec,duration_sec,duration_min,dt_valid_count,backend_use_analytics_ready_n,backend_use_analytics_ready_ratio,calibration_review_required_n,calibration_review_required_ratio,movement_review_required_n,movement_review_required_ratio,speed_available,calibrated_speed_mps_median,calibrated_speed_mps_p25,calibrated_speed_mps_p75,calibrated_speed_mps_max,moving_sec,stopped_sec,movement_state_distribution,heart_rate_available,heart_rate_bpm_median,heart_rate_bpm_p75,heart_rate_bpm_p90,heart_rate_bpm_max,route_dist_min_m,route_dist_max_m,route_dist_covered_m,route_progress_min,route_progress_max,calibrated_elevation_min_m,calibrated_elevation_max_m,calibrated_cumulative_gain_m,calibrated_cumulative_loss_m,terrain_slope_pct_median,terrain_slope_pct_p75,terrain_slope_pct_p90,terrain_risk_band_distribution,route_phase_distribution,radar_physical_fitness_hint_nonzero_n,radar_technical_difficulty_hint_nonzero_n,radar_base_hazard_hint_nonzero_n,radar_navigation_hint_nonzero_n,radar_support_insufficiency_hint_nonzero_n,radar_weather_sensitivity_hint_nonzero_n,activity_performance_quality_flag,authorization_note
ib3a_rc_full26_performance_summary_v1,qixing_lengshuikeng,3_1,qixing_lengshuikeng_3_1,outputs\ib3a_rc_backend_activity_enriched_v1l_qixing_lengshuikeng_full26\qixing_lengshuikeng\3_1\qixing_lengshuikeng_3_1_backend_activity_enriched_v1l.csv,PASS,7873,0.0,7858.0,7858.0,130.9667,7858,5843,0.742157,2028,0.257589,153,0.019434,True,0.5169,0.2262,0.8226,9.6964,5180.0,212.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:14|GPS_DRIFT_SUSPECTED:19|LOW_CONFIDENCE_REVIEW:1975|MOVING:4323|SLOW_MOVING:857|STOPPED:212|TIME_INVALID:1|UNKNOWN_REVIEW:470|WRONG_ROUTE_MOVING:2,True,112.0,137.0,157.0,170.0,0.0,4186.0,4186.0,,,750.0,1110.99,16.902,25.902,12.226,41.629,73.7138,,UNKNOWN:7873,26,0,0,2030,0,0,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,"Activity performance evidence only. No weather join, THCI scoring, radar scoring, or final hiking risk scoring is authorized."
ib3a_rc_full26_performance_summary_v1,qixing_lengshuikeng,6_1,qixing_lengshuikeng_6_1,outputs\ib3a_rc_backend_activity_enriched_v1l_qixing_lengshuikeng_full26\qixing_lengshuikeng\6_1\qixing_lengshuikeng_6_1_backend_activity_enriched_v1l.csv,PASS,36630,0.0,11950.0,11950.0,199.1667,11950,16813,0.458995,19557,0.533907,446,0.012176,True,0.2688,0.1196,0.6682,13.2051,4502.0,0.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:24679|GPS_DRIFT_SUSPECTED:41|LOW_CONFIDENCE_REVIEW:6390|MOVING:3762|SLOW_MOVING:740|TIME_INVALID:1|UNKNOWN_REVIEW:937|WRONG_ROUTE_MOVING:80,True,93.0,119.0,150.0,162.0,0.0,4185.0,4185.0,,,735.0,1110.99,17.39,32.063,20.855,47.2615,81.822,,UNKNOWN:36630,29,0,0,19817,0,0,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,"Activity performance evidence only. No weather join, THCI scoring, radar scoring, or final hiking risk scoring is authorized."
ib3a_rc_full26_performance_summary_v1,qixing_lengshuikeng,8_1,qixing_lengshuikeng_8_1,outputs\ib3a_rc_backend_activity_enriched_v1l_qixing_lengshuikeng_full26\qixing_lengshuikeng\8_1\qixing_lengshuikeng_8_1_backend_activity_enriched_v1l.csv,PASS,8433,0.0,8413.0,8413.0,140.2167,8412,6499,0.770663,1934,0.229337,134,0.01589,True,0.4147,0.169,0.749,18.3838,5216.0,496.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:20|GPS_DRIFT_SUSPECTED:40|LOW_CONFIDENCE_REVIEW:1915|MOVING:4043|SLOW_MOVING:1173|STOPPED:496|TIME_INVALID:1|UNKNOWN_REVIEW:745,True,155.0,170.0,175.0,180.0,0.0,4187.0,4187.0,,,747.4,1110.99,17.995,42.735,21.598,46.4985,76.1055,,UNKNOWN:8433,33,0,0,1934,0,0,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,"Activity performance evidence only. No weather join, THCI scoring, radar scoring, or final hiking risk scoring is authorized."
ib3a_rc_full26_performance_summary_v1,qixing_lengshuikeng,9_1,qixing_lengshuikeng_9_1,outputs\ib3a_rc_backend_activity_enriched_v1l_qixing_lengshuikeng_full26\qixing_lengshuikeng\9_1\qixing_lengshuikeng_9_1_backend_activity_enriched_v1l.csv,PASS,11399,0.0,8642.0,8642.0,144.0333,8642,6663,0.584525,4727,0.414685,141,0.01237,True,0.3866,0.0951,0.7181,11.8901,5643.0,992.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:2756|GPS_DRIFT_SUSPECTED:59|LOW_CONFIDENCE_REVIEW:1117|MOVING:4312|SLOW_MOVING:1331|STOPPED:992|TIME_INVALID:1|UNKNOWN_REVIEW:823|WRONG_ROUTE_MOVING:8,True,135.0,151.0,171.0,182.0,0.0,4186.0,4186.0,,,753.626,1110.99,22.927,27.659,22.4705,43.4768,79.3201,,UNKNOWN:11399,40,0,0,4736,0,0,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,"Activity performance evidence only. No weather join, THCI scoring, radar scoring, or final hiking risk scoring is authorized."
ib3a_rc_full26_performance_summary_v1,qixing_lengshuikeng,13_1,qixing_lengshuikeng_13_1,outputs\ib3a_rc_backend_activity_enriched_v1l_qixing_lengshuikeng_full26\qixing_lengshuikeng\13_1\qixing_lengshuikeng_13_1_backend_activity_enriched_v1l.csv,PASS,8325,0.0,8301.0,8301.0,138.35,8301,6170,0.741141,2155,0.258859,61,0.007327,True,0.4108,0.1378,0.7746,30.5295,5066.0,488.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:23|GPS_DRIFT_SUSPECTED:62|LOW_CONFIDENCE_REVIEW:2038|MOVING:4032|SLOW_MOVING:1034|STOPPED:488|TIME_INVALID:1|UNKNOWN_REVIEW:647,True,139.0,159.0,168.0,173.0,0.0,4187.0,4187.0,,,751.2,1110.99,31.707,32.761,20.058,48.24,75.9295,,UNKNOWN:8325,43,0,0,2155,0,0,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,"Activity performance evidence only. No weather join, THCI scoring, radar scoring, or final hiking risk scoring is authorized."
ib3a_rc_full26_performance_summary_v1,qixing_lengshuikeng,14_1,qixing_lengshuikeng_14_1,outputs\ib3a_rc_backend_activity_enriched_v1l_qixing_lengshuikeng_full26\qixing_lengshuikeng\14_1\qixing_lengshuikeng_14_1_backend_activity_enriched_v1l.csv,PASS,7202,0.0,7180.0,7180.0,119.6667,7180,5251,0.729103,1940,0.26937,170,0.023605,True,0.4924,0.1409,0.9289,36.4986,4260.0,575.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:21|GPS_DRIFT_SUSPECTED:49|LOW_CONFIDENCE_REVIEW:1911|MOVING:3688|SLOW_MOVING:572|STOPPED:575|TIME_INVALID:1|UNKNOWN_REVIEW:374|WRONG_ROUTE_MOVING:11,True,119.0,152.0,165.0,175.0,0.0,4187.0,4187.0,,,751.2,1110.99,23.283,37.293,10.12,39.0325,72.8438,,UNKNOWN:7202,39,0,0,1951,0,0,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,"Activity performance evidence only. No weather join, THCI scoring, radar scoring, or final hiking risk scoring is authorized."
ib3a_rc_full26_performance_summary_v1,qixing_lengshuikeng,15_1,qixing_lengshuikeng_15_1,outputs\ib3a_rc_backend_activity_enriched_v1l_qixing_lengshuikeng_full26\qixing_lengshuikeng\15_1\qixing_lengshuikeng_15_1_backend_activity_enriched_v1l.csv,PASS,17282,0.0,6955.0,6955.0,115.9167,6955,9919,0.57395,7345,0.425009,318,0.018401,True,0.5324,0.1834,0.9715,8.9835,4196.0,0.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:10326|GPS_DRIFT_SUSPECTED:29|LOW_CONFIDENCE_REVIEW:1994|MOVING:3629|SLOW_MOVING:567|TIME_INVALID:1|UNKNOWN_REVIEW:727|WRONG_ROUTE_MOVING:9,True,151.0,163.0,170.0,180.0,0.0,4187.0,4187.0,,,737.0,1110.99,20.624,11.541,14.429,37.124,72.7916,,UNKNOWN:17282,22,0,0,7363,0,0,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,"Activity performance evidence only. No weather join, THCI scoring, radar scoring, or final hiking risk scoring is authorized."
ib3a_rc_full26_performance_summary_v1,qixing_lengshuikeng,16_1,qixing_lengshuikeng_16_1,outputs\ib3a_rc_backend_activity_enriched_v1l_qixing_lengshuikeng_full26\qixing_lengshuikeng\16_1\qixing_lengshuikeng_16_1_backend_activity_enriched_v1l.csv,PASS,10200,0.0,10185.0,10185.0,169.75,10185,8176,0.801569,2024,0.198431,241,0.023627,True,0.3617,0.0602,0.7116,32.8599,5701.0,1654.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:14|GPS_DRIFT_SUSPECTED:39|LOW_CONFIDENCE_REVIEW:1953|MOVING:4605|SLOW_MOVING:1096|STOPPED:1654|TIME_INVALID:1|UNKNOWN_REVIEW:838,True,131.0,147.0,161.0,173.0,0.0,4187.0,4187.0,,,744.2,1110.99,31.444,40.254,21.729,61.2615,86.8063,,UNKNOWN:10200,40,0,0,2024,0,0,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,"Activity performance evidence only. No weather join, THCI scoring, radar scoring, or final hiking risk scoring is authorized."
ib3a_rc_full26_performance_summary_v1,qixing_lengshuikeng,20_1,qixing_lengshuikeng_20_1,outputs\ib3a_rc_backend_activity_enriched_v1l_qixing_lengshuikeng_full26\qixing_lengshuikeng\20_1\qixing_lengshuikeng_20_1_backend_activity_enriched_v1l.csv,PASS,17452,0.0,8997.0,8997.0,149.95,8997,14119,0.809019,3319,0.190179,495,0.028364,True,0.4611,0.1426,0.7724,18.885,5442.0,0.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:8454|GPS_DRIFT_SUSPECTED:41|LOW_CONFIDENCE_REVIEW:1930|MOVING:4490|SLOW_MOVING:952|TIME_INVALID:1|UNKNOWN_REVIEW:1577|WRONG_ROUTE_MOVING:7,True,143.0,159.0,169.0,184.0,0.0,4187.0,4187.0,,,752.2,1110.99,17.473,28.585,11.7335,35.6497,63.2955,,UNKNOWN:17452,26,0,0,3333,0,0,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,"Activity performance evidence only. No weather join, THCI scoring, radar scoring, or final hiking risk scoring is authorized."
ib3a_rc_full26_performance_summary_v1,qixing_lengshuikeng,23_1,qixing_lengshuikeng_23_1,outputs\ib3a_rc_backend_activity_enriched_v1l_qixing_lengshuikeng_full26\qixing_lengshuikeng\23_1\qixing_lengshuikeng_23_1_backend_activity_enriched_v1l.csv,PASS,34808,0.0,11304.0,11304.0,188.4,11304,28566,0.820673,6242,0.179327,1228,0.035279,True,0.329,0.0895,0.6408,49.179,6452.0,0.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:23503|GPS_DRIFT_SUSPECTED:125|LOW_CONFIDENCE_REVIEW:2035|MOVING:4566|SLOW_MOVING:1886|TIME_INVALID:1|UNKNOWN_REVIEW:2692,True,128.0,143.0,163.0,179.0,0.0,4187.0,4187.0,,,737.2,1110.99,45.6,40.668,14.813,37.026,74.1168,,UNKNOWN:34808,53,0,0,6242,0,0,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,"Activity performance evidence only. No weather join, THCI scoring, radar scoring, or final hiking risk scoring is authorized."
