schema_version,activity_id_short,activity_id_full,performance_activity_id_full,weather_activity_id,join_status,duration_sec,duration_min,route_dist_covered_m,backend_use_analytics_ready_ratio,calibration_review_required_ratio,movement_review_required_ratio,calibrated_speed_mps_median,calibrated_speed_mps_p25,calibrated_speed_mps_p75,moving_sec,stopped_sec,movement_state_distribution,heart_rate_available,heart_rate_bpm_median,heart_rate_bpm_p75,heart_rate_bpm_p90,calibrated_cumulative_gain_m,calibrated_cumulative_loss_m,terrain_slope_pct_median,terrain_slope_pct_p75,terrain_slope_pct_p90,terrain_risk_band_distribution,route_phase_distribution,activity_performance_quality_flag,activity_date_taiwan,activity_start_taiwan,activity_end_taiwan,observed_context_source_type,observed_variable_count,unavailable_variable_count,temperature_c,relative_humidity_pct,pressure_hpa,wind_speed_ms,wind_gust_ms,wind_direction_deg,precipitation_mm,sunshine_duration_min,uv_index,rain_observed,high_humidity_observed,wind_gust_observed,descriptive_tags,codis_selected_station_names,descriptive_context_note,weather_join_performed,thci_scoring_authorized,radar_scoring_authorized,final_hiking_risk_scoring_authorized,authorization_note
ib3w_activity_weather_performance_join_v1,3_1,qixing_lengshuikeng_3_1,qixing_lengshuikeng_3_1,qixing_lengshuikeng_3_1,MATCHED,7858.0,130.9667,4186.0,0.742157,0.257589,0.019434,0.5169,0.2262,0.8226,5180.0,212.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:14|GPS_DRIFT_SUSPECTED:19|LOW_CONFIDENCE_REVIEW:1975|MOVING:4323|SLOW_MOVING:857|STOPPED:212|TIME_INVALID:1|UNKNOWN_REVIEW:470|WRONG_ROUTE_MOVING:2,True,112.0,137.0,157.0,16.902,25.902,12.226,41.629,73.7138,,UNKNOWN:7873,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,2024-09-17,2024-09-17 07:43,2024-09-17 09:54,OBSERVED_HISTORICAL_CODIS,9,4,23.1,94,916.4,4.8,14.7,173.8,0,186,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、陣風 ≥10 m/s、日照 ≥60 分、UV ≥6,鞍部,HIGH_HUMIDITY_WITH_PERFORMANCE_CONTEXT|STRONG_GUST_WITH_PERFORMANCE_CONTEXT,True,False,False,False,"Descriptive activity performance and weather context join only. No THCI scoring, radar scoring, final hiking risk scoring, or ability scoring is authorized."
ib3w_activity_weather_performance_join_v1,6_1,qixing_lengshuikeng_6_1,qixing_lengshuikeng_6_1,qixing_lengshuikeng_6_1,MATCHED,11950.0,199.1667,4185.0,0.458995,0.533907,0.012176,0.2688,0.1196,0.6682,4502.0,0.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:24679|GPS_DRIFT_SUSPECTED:41|LOW_CONFIDENCE_REVIEW:6390|MOVING:3762|SLOW_MOVING:740|TIME_INVALID:1|UNKNOWN_REVIEW:937|WRONG_ROUTE_MOVING:80,True,93.0,119.0,150.0,17.39,32.063,20.855,47.2615,81.822,,UNKNOWN:36630,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,2024-07-22,2024-07-22 09:28,2024-07-22 12:47,OBSERVED_HISTORICAL_CODIS,9,4,25.8,87.6,916.6,2.5,10.4,171.1,0,354,10,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、陣風 ≥10 m/s、日照 ≥60 分、UV ≥6,鞍部,STRONG_GUST_WITH_PERFORMANCE_CONTEXT|HOT_SUNNY_WITH_PERFORMANCE_CONTEXT,True,False,False,False,"Descriptive activity performance and weather context join only. No THCI scoring, radar scoring, final hiking risk scoring, or ability scoring is authorized."
ib3w_activity_weather_performance_join_v1,8_1,qixing_lengshuikeng_8_1,qixing_lengshuikeng_8_1,qixing_lengshuikeng_8_1,MATCHED,8413.0,140.2167,4187.0,0.770663,0.229337,0.01589,0.4147,0.169,0.749,5216.0,496.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:20|GPS_DRIFT_SUSPECTED:40|LOW_CONFIDENCE_REVIEW:1915|MOVING:4043|SLOW_MOVING:1173|STOPPED:496|TIME_INVALID:1|UNKNOWN_REVIEW:745,True,155.0,170.0,175.0,17.995,42.735,21.598,46.4985,76.1055,,UNKNOWN:8433,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,2024-08-11,2024-08-11 08:55,2024-08-11 11:15,OBSERVED_HISTORICAL_CODIS,9,4,25.1,88,914,1.5,7.6,63,0,246,9,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,HOT_SUNNY_WITH_PERFORMANCE_CONTEXT,True,False,False,False,"Descriptive activity performance and weather context join only. No THCI scoring, radar scoring, final hiking risk scoring, or ability scoring is authorized."
ib3w_activity_weather_performance_join_v1,9_1,qixing_lengshuikeng_9_1,qixing_lengshuikeng_9_1,qixing_lengshuikeng_9_1,MATCHED,8642.0,144.0333,4186.0,0.584525,0.414685,0.01237,0.3866,0.0951,0.7181,5643.0,992.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:2756|GPS_DRIFT_SUSPECTED:59|LOW_CONFIDENCE_REVIEW:1117|MOVING:4312|SLOW_MOVING:1331|STOPPED:992|TIME_INVALID:1|UNKNOWN_REVIEW:823|WRONG_ROUTE_MOVING:8,True,135.0,151.0,171.0,22.927,27.659,22.4705,43.4768,79.3201,,UNKNOWN:11399,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,2024-09-22,2024-09-22 08:56,2024-09-22 11:20,OBSERVED_HISTORICAL_CODIS,9,4,22,100,917.5,4.3,14.5,346.1,44.5,0,1,True,True,True,有觀測降雨、高濕 ≥90%、有陣風觀測、陣風 ≥10 m/s、累積降雨 ≥5 mm、無日照,鞍部,HIGH_HUMIDITY_WITH_PERFORMANCE_CONTEXT|RAIN_OBSERVED_WITH_PERFORMANCE_CONTEXT|STRONG_GUST_WITH_PERFORMANCE_CONTEXT,True,False,False,False,"Descriptive activity performance and weather context join only. No THCI scoring, radar scoring, final hiking risk scoring, or ability scoring is authorized."
ib3w_activity_weather_performance_join_v1,13_1,qixing_lengshuikeng_13_1,qixing_lengshuikeng_13_1,qixing_lengshuikeng_13_1,MATCHED,8301.0,138.35,4187.0,0.741141,0.258859,0.007327,0.4108,0.1378,0.7746,5066.0,488.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:23|GPS_DRIFT_SUSPECTED:62|LOW_CONFIDENCE_REVIEW:2038|MOVING:4032|SLOW_MOVING:1034|STOPPED:488|TIME_INVALID:1|UNKNOWN_REVIEW:647,True,139.0,159.0,168.0,31.707,32.761,20.058,48.24,75.9295,,UNKNOWN:8325,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,2024-08-11,2024-08-11 08:58,2024-08-11 11:16,OBSERVED_HISTORICAL_CODIS,9,4,25.1,88,914,1.5,7.6,63,0,246,9,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,HOT_SUNNY_WITH_PERFORMANCE_CONTEXT,True,False,False,False,"Descriptive activity performance and weather context join only. No THCI scoring, radar scoring, final hiking risk scoring, or ability scoring is authorized."
ib3w_activity_weather_performance_join_v1,14_1,qixing_lengshuikeng_14_1,qixing_lengshuikeng_14_1,qixing_lengshuikeng_14_1,MATCHED,7180.0,119.6667,4187.0,0.729103,0.26937,0.023605,0.4924,0.1409,0.9289,4260.0,575.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:21|GPS_DRIFT_SUSPECTED:49|LOW_CONFIDENCE_REVIEW:1911|MOVING:3688|SLOW_MOVING:572|STOPPED:575|TIME_INVALID:1|UNKNOWN_REVIEW:374|WRONG_ROUTE_MOVING:11,True,119.0,152.0,165.0,23.283,37.293,10.12,39.0325,72.8438,,UNKNOWN:7202,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,2024-08-11,2024-08-11 08:57,2024-08-11 10:56,OBSERVED_HISTORICAL_CODIS,9,4,24.8,88.8,914.1,1.4,7.6,107.7,0,198,6,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,WEATHER_CONTEXT_ATTACHED_DESCRIPTIVE_ONLY,True,False,False,False,"Descriptive activity performance and weather context join only. No THCI scoring, radar scoring, final hiking risk scoring, or ability scoring is authorized."
ib3w_activity_weather_performance_join_v1,15_1,qixing_lengshuikeng_15_1,qixing_lengshuikeng_15_1,qixing_lengshuikeng_15_1,MATCHED,6955.0,115.9167,4187.0,0.57395,0.425009,0.018401,0.5324,0.1834,0.9715,4196.0,0.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:10326|GPS_DRIFT_SUSPECTED:29|LOW_CONFIDENCE_REVIEW:1994|MOVING:3629|SLOW_MOVING:567|TIME_INVALID:1|UNKNOWN_REVIEW:727|WRONG_ROUTE_MOVING:9,True,151.0,163.0,170.0,20.624,11.541,14.429,37.124,72.7916,,UNKNOWN:17282,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,2024-08-04,2024-08-04 08:59,2024-08-04 10:55,OBSERVED_HISTORICAL_CODIS,9,4,25.3,90.4,918.7,1.7,7.1,326.8,0,198,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,HIGH_HUMIDITY_WITH_PERFORMANCE_CONTEXT|HOT_SUNNY_WITH_PERFORMANCE_CONTEXT,True,False,False,False,"Descriptive activity performance and weather context join only. No THCI scoring, radar scoring, final hiking risk scoring, or ability scoring is authorized."
ib3w_activity_weather_performance_join_v1,16_1,qixing_lengshuikeng_16_1,qixing_lengshuikeng_16_1,qixing_lengshuikeng_16_1,MATCHED,10185.0,169.75,4187.0,0.801569,0.198431,0.023627,0.3617,0.0602,0.7116,5701.0,1654.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:14|GPS_DRIFT_SUSPECTED:39|LOW_CONFIDENCE_REVIEW:1953|MOVING:4605|SLOW_MOVING:1096|STOPPED:1654|TIME_INVALID:1|UNKNOWN_REVIEW:838,True,131.0,147.0,161.0,31.444,40.254,21.729,61.2615,86.8063,,UNKNOWN:10200,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,2024-08-11,2024-08-11 08:10,2024-08-11 10:59,OBSERVED_HISTORICAL_CODIS,9,4,24.8,88.8,914.1,1.4,7.6,107.7,0,198,6,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,WEATHER_CONTEXT_ATTACHED_DESCRIPTIVE_ONLY,True,False,False,False,"Descriptive activity performance and weather context join only. No THCI scoring, radar scoring, final hiking risk scoring, or ability scoring is authorized."
ib3w_activity_weather_performance_join_v1,20_1,qixing_lengshuikeng_20_1,qixing_lengshuikeng_20_1,qixing_lengshuikeng_20_1,MATCHED,8997.0,149.95,4187.0,0.809019,0.190179,0.028364,0.4611,0.1426,0.7724,5442.0,0.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:8454|GPS_DRIFT_SUSPECTED:41|LOW_CONFIDENCE_REVIEW:1930|MOVING:4490|SLOW_MOVING:952|TIME_INVALID:1|UNKNOWN_REVIEW:1577|WRONG_ROUTE_MOVING:7,True,143.0,159.0,169.0,17.473,28.585,11.7335,35.6497,63.2955,,UNKNOWN:17452,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,2024-08-11,2024-08-11 08:29,2024-08-11 10:59,OBSERVED_HISTORICAL_CODIS,9,4,24.8,88.8,914.1,1.4,7.6,107.7,0,198,6,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,WEATHER_CONTEXT_ATTACHED_DESCRIPTIVE_ONLY,True,False,False,False,"Descriptive activity performance and weather context join only. No THCI scoring, radar scoring, final hiking risk scoring, or ability scoring is authorized."
ib3w_activity_weather_performance_join_v1,23_1,qixing_lengshuikeng_23_1,qixing_lengshuikeng_23_1,qixing_lengshuikeng_23_1,MATCHED,11304.0,188.4,4187.0,0.820673,0.179327,0.035279,0.329,0.0895,0.6408,6452.0,0.0,DUPLICATE_TIMESTAMP_NON_REPRESENTATIVE:23503|GPS_DRIFT_SUSPECTED:125|LOW_CONFIDENCE_REVIEW:2035|MOVING:4566|SLOW_MOVING:1886|TIME_INVALID:1|UNKNOWN_REVIEW:2692,True,128.0,143.0,163.0,45.6,40.668,14.813,37.026,74.1168,,UNKNOWN:34808,PASS_ACTIVITY_PERFORMANCE_EVIDENCE,2024-08-11,2024-08-11 08:27,2024-08-11 11:36,OBSERVED_HISTORICAL_CODIS,9,4,25.1,88,914,1.5,7.6,63,0,246,9,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,HOT_SUNNY_WITH_PERFORMANCE_CONTEXT,True,False,False,False,"Descriptive activity performance and weather context join only. No THCI scoring, radar scoring, final hiking risk scoring, or ability scoring is authorized."
