schema_version,activity_id,observed_context_source_type,observed_variable_count,unavailable_variable_count,rain_observed,no_rain_observed,high_humidity_observed,wind_gust_observed,temperature_c,relative_humidity_pct,pressure_hpa,wind_speed_ms,wind_gust_ms,precipitation_mm,sunshine_duration_min,uv_index,codis_selected_station_ids,codis_selected_station_names,thci_scoring_authorized,radar_scoring_authorized,final_hiking_risk_scoring_authorized,authorization_reason
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_13_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,False,True,25.066667,88,913.988889,1.533333,7.6,0,246,9,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_14_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,False,True,24.7625,88.75,914.0875,1.4375,7.6,0,198,6,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_15_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,True,True,25.275,90.375,918.6875,1.675,7.1,0,198,6,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_16_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,False,True,24.7625,88.75,914.0875,1.4375,7.6,0,198,6,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_20_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,False,True,24.7625,88.75,914.0875,1.4375,7.6,0,198,6,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_23_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,False,True,25.066667,88,913.988889,1.533333,7.6,0,246,9,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_28_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,False,True,25.95,88.25,918.5375,1.85,7.1,0,222,7,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_29_1,OBSERVED_HISTORICAL_CODIS,9,4,True,False,True,True,23.9625,94.25,920.1625,2.0875,5.8,1,204,7,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_30_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,True,True,25.275,90.375,918.6875,1.675,7.1,0,198,6,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_33_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,True,True,23.8,91.375,919.0375,3.1125,6.8,0,300,11,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_35_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,True,True,25.275,90.375,918.6875,1.675,7.1,0,198,6,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_36_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,True,True,25.275,90.375,918.6875,1.675,7.1,0,198,6,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_37_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,False,True,25.6,89.555556,918.566667,1.777778,7.1,0,222,7,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_38_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,True,True,24.1,90.777778,918.888889,3.177778,6.8,0,336,11,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_3_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,True,True,23.1125,94,916.4,4.7625,14.7,0,186,6,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_40_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,False,True,24.5125,89.625,918.95,3.2375,6.8,0,336,11,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_41_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,True,True,23.8,91.375,919.0375,3.1125,6.8,0,300,11,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,qixing_lengshuikeng_42_1,OBSERVED_HISTORICAL_CODIS,9,4,False,True,False,True,23.855556,89.666667,917.088889,3.055556,7.4,0,294,8,466910,鞍部,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
