schema_version,target_variable,total_row_count,observed_row_count,numeric_observed_count,missing_count,min,median,mean,max,source_type_distribution,selected_station_distribution,thci_scoring_authorized,radar_scoring_authorized,final_hiking_risk_scoring_authorized,authorization_reason
ib3w_codis_merged_context_weather_distribution_v1,precipitation_10min_mm,27,0,0,27,,,,,UNAVAILABLE=27,,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,precipitation_1hr_mm,27,0,0,27,,,,,UNAVAILABLE=27,,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,precipitation_mm,27,27,27,0,0,0,1.685185,44.5,OBSERVED_HISTORICAL_CODIS=26|SAME_DAY_DIRECT_OBSERVATION=1,466910=26,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,pressure_hpa,27,27,27,0,913.988889,918.566667,917.97911,935.667925,OBSERVED_HISTORICAL_CODIS=26|SAME_DAY_DIRECT_OBSERVATION=1,466910=26,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,relative_humidity_pct,27,27,27,0,86.013793,90.375,90.475305,100,OBSERVED_HISTORICAL_CODIS=26|SAME_DAY_DIRECT_OBSERVATION=1,466910=26,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,sunshine_duration_min,27,27,27,0,0,222,231.555556,354,OBSERVED_HISTORICAL_CODIS=27,466910=27,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,temperature_c,27,27,27,0,21.216552,24.5125,24.337753,25.95,OBSERVED_HISTORICAL_CODIS=26|SAME_DAY_DIRECT_OBSERVATION=1,466910=26,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,uv_index,27,27,27,0,1,7,7.851852,11,OBSERVED_HISTORICAL_CODIS=27,466910=27,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,visibility_m,27,0,0,27,,,,,UNAVAILABLE=27,,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,weather,27,0,0,27,,,,,UNAVAILABLE=27,,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,wind_direction_deg,27,27,27,0,39.330879,326.766212,254.636287,354.208356,OBSERVED_HISTORICAL_CODIS=26|SAME_DAY_DIRECT_OBSERVATION=1,466910=26,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,wind_gust_ms,27,27,27,0,5.7,7.1,7.892593,14.7,OBSERVED_HISTORICAL_CODIS=27,466910=27,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
ib3w_codis_merged_context_weather_distribution_v1,wind_speed_ms,27,27,27,0,1.4375,2.0875,2.391384,4.7625,OBSERVED_HISTORICAL_CODIS=26|SAME_DAY_DIRECT_OBSERVATION=1,466910=26,False,False,False,Descriptive IB3W weather evidence profiling only; no scoring authorization.
