schema_version,activity_id,activity_id_short,activity_date_taiwan,activity_start_taiwan,activity_end_taiwan,observed_context_source_type,observed_variable_count,unavailable_variable_count,temperature_c,relative_humidity_pct,pressure_hpa,wind_speed_ms,wind_gust_ms,wind_direction_deg,precipitation_mm,sunshine_duration_min,uv_index,rain_observed,high_humidity_observed,wind_gust_observed,descriptive_tags,codis_selected_station_names,thci_scoring_authorized,radar_scoring_authorized,final_hiking_risk_scoring_authorized,authorization_reason
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_6_1,6_1,2024-07-22,2024-07-22 09:28,2024-07-22 12:47,OBSERVED_HISTORICAL_CODIS,9,4,25.8,87.6,916.6,2.5,10.4,171.1,0,354,10,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、陣風 ≥10 m/s、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_36_1,36_1,2024-08-04,2024-08-04 08:23,2024-08-04 10:36,OBSERVED_HISTORICAL_CODIS,9,4,25.3,90.4,918.7,1.7,7.1,326.8,0,198,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_30_1,30_1,2024-08-04,2024-08-04 08:24,2024-08-04 10:31,OBSERVED_HISTORICAL_CODIS,9,4,25.3,90.4,918.7,1.7,7.1,326.8,0,198,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_37_1,37_1,2024-08-04,2024-08-04 08:24,2024-08-04 11:02,OBSERVED_HISTORICAL_CODIS,9,4,25.6,89.6,918.6,1.8,7.1,332.4,0,222,7,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_35_1,35_1,2024-08-04,2024-08-04 08:25,2024-08-04 10:31,OBSERVED_HISTORICAL_CODIS,9,4,25.3,90.4,918.7,1.7,7.1,326.8,0,198,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_15_1,15_1,2024-08-04,2024-08-04 08:59,2024-08-04 10:55,OBSERVED_HISTORICAL_CODIS,9,4,25.3,90.4,918.7,1.7,7.1,326.8,0,198,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_28_1,28_1,2024-08-04,2024-08-04 09:10,2024-08-04 11:34,OBSERVED_HISTORICAL_CODIS,9,4,25.9,88.2,918.5,1.9,7.1,345.5,0,222,7,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_16_1,16_1,2024-08-11,2024-08-11 08:10,2024-08-11 10:59,OBSERVED_HISTORICAL_CODIS,9,4,24.8,88.8,914.1,1.4,7.6,107.7,0,198,6,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_23_1,23_1,2024-08-11,2024-08-11 08:27,2024-08-11 11:36,OBSERVED_HISTORICAL_CODIS,9,4,25.1,88,914,1.5,7.6,63,0,246,9,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_20_1,20_1,2024-08-11,2024-08-11 08:29,2024-08-11 10:59,OBSERVED_HISTORICAL_CODIS,9,4,24.8,88.8,914.1,1.4,7.6,107.7,0,198,6,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_8_1,8_1,2024-08-11,2024-08-11 08:55,2024-08-11 11:15,OBSERVED_HISTORICAL_CODIS,9,4,25.1,88,914,1.5,7.6,63,0,246,9,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_14_1,14_1,2024-08-11,2024-08-11 08:57,2024-08-11 10:56,OBSERVED_HISTORICAL_CODIS,9,4,24.8,88.8,914.1,1.4,7.6,107.7,0,198,6,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_13_1,13_1,2024-08-11,2024-08-11 08:58,2024-08-11 11:16,OBSERVED_HISTORICAL_CODIS,9,4,25.1,88,914,1.5,7.6,63,0,246,9,False,False,True,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_48_1,48_1,2024-08-19,2024-08-19 08:42,2024-08-19 11:54,OBSERVED_HISTORICAL_CODIS,9,4,23.2,95.4,916,2.1,11.4,39.3,0,36,6,False,True,True,無觀測降雨、高濕 ≥90%、有陣風觀測、陣風 ≥10 m/s、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
ib3w_codis_weather_profile_report_v1,qixing_lengshuikeng_29_1,29_1,2024-08-24,2024-08-24 09:22,2024-08-24 11:29,OBSERVED_HISTORICAL_CODIS,9,4,24,94.2,920.2,2.1,5.8,350,1,204,7,True,True,True,有觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,鞍部,False,False,False,"IB3W CODiS weather profile report is descriptive evidence only. It does not authorize THCI scoring, radar scoring, or final hiking risk scoring."
