source_output_case,station_id,station_name,county_name,town_name,nearest_activity_dist_m,station_rank_by_distance,station_elevation_m,observed_variable_count,missing_variable_count,observed_precipitation_zero_rows,representativeness_review,representativeness_reason,zero_fallback_true_count
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,466930,陽明山,臺北市,北投區,1057.9,1,,6,4,1,PRIMARY_NEARBY_MOUNTAIN_REVIEW_SET,陽明山 is in the nearest four stations by activity-track distance and is suitable for focused representativeness review; distance rank alone is not final weather representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,466910,鞍部,臺北市,北投區,1907.9,2,,5,5,1,PRIMARY_NEARBY_MOUNTAIN_REVIEW_SET,鞍部 is in the nearest four stations by activity-track distance and is suitable for focused representativeness review; distance rank alone is not final weather representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AC40,大屯山,臺北市,北投區,2536.5,3,,6,4,1,PRIMARY_NEARBY_MOUNTAIN_REVIEW_SET,大屯山 is in the nearest four stations by activity-track distance and is suitable for focused representativeness review; distance rank alone is not final weather representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,A0A460,文化大學,臺北市,士林區,3696.4,4,,5,5,1,PRIMARY_NEARBY_MOUNTAIN_REVIEW_SET,文化大學 is in the nearest four stations by activity-track distance and is suitable for focused representativeness review; distance rank alone is not final weather representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AH40,平等,臺北市,士林區,4273.0,5,,1,9,1,NEARBY_REVIEW_CANDIDATE,"The GPX smoke test marks this as a nearby candidate, but formal representativeness still requires terrain, elevation, and source-quality review.",0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A9C0,天母,臺北市,士林區,5685.0,6,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 6); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A870,五指山,新北市,汐止區,5850.4,7,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 7); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A860,大坪,新北市,萬里區,6953.4,8,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 8); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AI40,石牌,臺北市,北投區,7099.3,9,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 9); observation presence alone is insufficient for mountain representativeness.,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A770,科教館,臺北市,士林區,8698.1,10,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 10); observation presence alone is insufficient for mountain representativeness.,0
