source_output_case,context_variable,context_status,audit_status,row_count,obs_count_total_window_sum,obs_count_nonnull_sum,obs_count_null_sum,obs_count_zero_sum,obs_count_positive_sum,observed_values_available_count,zero_fallback_true_count
qixing_lengshuikeng_full26_backend_2024_v1,precipitation_10min_mm,MISSING,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,26,0,0,0,0,0,0,0
qixing_lengshuikeng_full26_backend_2024_v1,precipitation_1hr_mm,MISSING,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,26,0,0,0,0,0,0,0
qixing_lengshuikeng_full26_backend_2024_v1,precipitation_mm,MISSING,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,26,0,0,0,0,0,0,0
qixing_lengshuikeng_full26_backend_2024_v1,pressure_hpa,MISSING,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,26,0,0,0,0,0,0,0
qixing_lengshuikeng_full26_backend_2024_v1,relative_humidity_pct,MISSING,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,26,0,0,0,0,0,0,0
qixing_lengshuikeng_full26_backend_2024_v1,temperature_c,MISSING,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,26,0,0,0,0,0,0,0
qixing_lengshuikeng_full26_backend_2024_v1,visibility_m,MISSING,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,26,0,0,0,0,0,0,0
qixing_lengshuikeng_full26_backend_2024_v1,weather,MISSING,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,26,0,0,0,0,0,0,0
qixing_lengshuikeng_full26_backend_2024_v1,wind_direction_deg,MISSING,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,26,0,0,0,0,0,0,0
qixing_lengshuikeng_full26_backend_2024_v1,wind_speed_ms,MISSING,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,26,0,0,0,0,0,0,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,precipitation_10min_mm,MISSING,NULL_VALUE_ONLY,56,313,0,313,0,0,0,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,precipitation_1hr_mm,MISSING,NULL_VALUE_ONLY,56,313,0,313,0,0,0,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,precipitation_mm,OBSERVED,OBSERVED_IN_ACTIVITY_WINDOW,56,313,302,11,302,0,56,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,pressure_hpa,MISSING,NULL_VALUE_ONLY,17,194,0,194,0,0,0,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,pressure_hpa,OBSERVED,OBSERVED_IN_ACTIVITY_WINDOW,39,119,117,2,0,117,39,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,relative_humidity_pct,MISSING,NULL_VALUE_ONLY,2,4,0,4,0,0,0,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,relative_humidity_pct,OBSERVED,OBSERVED_IN_ACTIVITY_WINDOW,54,309,297,12,0,297,54,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,temperature_c,MISSING,NULL_VALUE_ONLY,2,4,0,4,0,0,0,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,temperature_c,OBSERVED,OBSERVED_IN_ACTIVITY_WINDOW,54,309,297,12,0,297,54,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,visibility_m,MISSING,NULL_VALUE_ONLY,56,313,0,313,0,0,0,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,weather,MISSING,NULL_VALUE_ONLY,56,313,0,313,0,0,0,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,wind_direction_deg,MISSING,NULL_VALUE_ONLY,1,2,0,2,0,0,0,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,wind_direction_deg,OBSERVED,OBSERVED_IN_ACTIVITY_WINDOW,55,311,299,12,45,254,55,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,wind_speed_ms,MISSING,NULL_VALUE_ONLY,1,2,0,2,0,0,0,0
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,wind_speed_ms,OBSERVED,OBSERVED_IN_ACTIVITY_WINDOW,55,311,299,12,37,262,55,0
