schema_version,summary_type,summary_key,activity_count,score_allowed_count,zero_fallback_true_count
ib3w_fog_low_cloud_condition_proxy_v1,fog_low_cloud_condition_proxy_status,BLOCKED_BY_GATE,26,0,0
ib3w_fog_low_cloud_condition_proxy_v1,fog_low_cloud_condition_proxy_status,FOG_LOW_CLOUD_CONDITION_PROXY_HIGH_REVIEW_ONLY,1,1,0
ib3w_fog_low_cloud_condition_proxy_v1,fog_low_cloud_condition_proxy_confidence,MEDIUM_PROXY_ONLY,1,1,0
ib3w_fog_low_cloud_condition_proxy_v1,fog_low_cloud_condition_proxy_confidence,NOT_EVALUATED,26,0,0
ib3w_fog_low_cloud_condition_proxy_v1,fog_type_hint,HILL_OR_UPSLOPE_LOW_CLOUD_LIKE|RADIATION_FOG_LIKE|RAIN_WET_SURFACE_FOG_LIKE,1,1,0
ib3w_fog_low_cloud_condition_proxy_v1,fog_type_hint,NO_FOG_TYPE_HINT,26,0,0
ib3w_fog_low_cloud_condition_proxy_v1,direct_visibility_observation_status,VISIBILITY_M_UNAVAILABLE_IN_CURRENT_DB,27,1,0
ib3w_fog_low_cloud_condition_proxy_v1,weather_text_observation_status,WEATHER_TEXT_UNAVAILABLE_IN_CURRENT_DB,27,1,0
ib3w_fog_low_cloud_condition_proxy_v1,actual_fog_claim_status,NOT_CLAIMED_NO_DIRECT_VISIBILITY_OR_WEATHER_TEXT,27,1,0
ib3w_fog_low_cloud_condition_proxy_v1,actual_navigation_failure_claim_status,NOT_CLAIMED_REQUIRES_ACTIVITY_BEHAVIOR_LAYER,27,1,0
ib3w_fog_low_cloud_condition_proxy_v1,thci_or_final_risk_status,NOT_COMPUTED_CONTEXT_ONLY,27,1,0
ib3w_fog_low_cloud_condition_proxy_v1,overall,ALL_ACTIVITIES,27,1,0
