"score","file","length","last_write_time","has_time","has_route_distance","has_lat_lon","has_segment","has_activity_id","has_map_match","has_hr","has_speed","header"
"15","D:\mountain_work\115_osm\outputs\ib3f_activity_route_features_v1_3b_qixing_repaired_review\_diagnostics_37_1_wrong_branch\qixing_37_1_descent_wrong_branch_candidate_rows.csv","11475","2026/6/5 下午 09:13:20","True","True","True","True","True","True","True","True","route_folder,case_id,subject_id,trial_id,row_index,point_index,activity_id,timestamp_s,elapsed_sec,dt_sec,lat,lon,ele_m,distance_m,heart_rate_bpm,route_dist_m,projected_route_dist_m,nearest_route_dist_m,reliable_route_dist_m,route_progress_reliable,route_progress_state,route_projection_confidence,route_projection_note,offset_m,segment_id,direction_hint,match_quality,source_file,sequence_match_score,candidate_rank,route_dist_delta_m,reliable_route_dist_delta_m,implied_route_speed_mps,sequence_jump_guard_flag,sequence_branch_ambiguity_flag,summit_dist_m,summit_reached_flag,candidate_phase,summit_transition_lock_applied,summit_transition_release_flag,source_csv_row_index,usable_on_route,excluded_reason,excursion_id,manual_override_applied,manual_event_id,manual_label,manual_interpretation,segment_role,route_progress_excluded,_row_n,_route_dist_m,_offset_m,_elapsed_sec,_elapsed_min,_route_progress_state,_usable_on_route,_candidate_phase,_route_dist_delta_m,_reliable_route_dist_delta_m,_descent_after_summit,suspicious_reason"
"13","D:\mountain_work\115_osm\outputs\ib3d_observed_behavior_timeline_v1\qixing_lengshuikeng\48_1\qixing_lengshuikeng_48_1_observed_behavior_timeline_activity_plot_data.csv","6156484","2026/5/29 下午 11:25:20","True","True","False","True","True","True","True","True","route_folder,case_id,subject_id,trial_id,row_index,point_index,activity_id,timestamp_s,elapsed_sec,dt_sec,raw_lat,raw_lon,ele_m,distance_m,heart_rate_bpm,route_dist_m,projected_route_dist_m,nearest_route_dist_m,reliable_route_dist_m,route_progress_reliable,route_progress_state,route_projection_confidence,route_projection_note,offset_to_mainline_m,segment_id,direction_hint,match_quality,source_file,sequence_match_score,candidate_rank,route_dist_delta_m,reliable_route_dist_delta_m,implied_route_speed_mps,sequence_jump_guard_flag,sequence_branch_ambiguity_flag,summit_dist_m,summit_reached_flag,candidate_phase,summit_transition_lock_applied,summit_transition_release_flag,source_csv_row_index,usable_on_route,excluded_reason,excursion_id,manual_override_applied,manual_event_id,manual_label,manual_interpretation,segment_role,route_progress_excluded,ib3d_forward_speed_mps_raw,ib3d_forward_speed_mps_smooth,ib3d_gps_speed_mps_raw,ib3d_gps_speed_mps_smooth"
"13","D:\mountain_work\115_osm\outputs\ib3d_observed_behavior_timeline_v1\qixing_lengshuikeng\43_1\qixing_lengshuikeng_43_1_observed_behavior_timeline_activity_plot_data.csv","6060999","2026/5/29 下午 11:25:18","True","True","False","True","True","True","True","True","route_folder,case_id,subject_id,trial_id,row_index,point_index,activity_id,timestamp_s,elapsed_sec,dt_sec,raw_lat,raw_lon,ele_m,distance_m,heart_rate_bpm,route_dist_m,projected_route_dist_m,nearest_route_dist_m,reliable_route_dist_m,route_progress_reliable,route_progress_state,route_projection_confidence,route_projection_note,offset_to_mainline_m,segment_id,direction_hint,match_quality,source_file,sequence_match_score,candidate_rank,route_dist_delta_m,reliable_route_dist_delta_m,implied_route_speed_mps,sequence_jump_guard_flag,sequence_branch_ambiguity_flag,summit_dist_m,summit_reached_flag,candidate_phase,summit_transition_lock_applied,summit_transition_release_flag,source_csv_row_index,usable_on_route,excluded_reason,excursion_id,manual_override_applied,manual_event_id,manual_label,manual_interpretation,segment_role,route_progress_excluded,ib3d_forward_speed_mps_raw,ib3d_forward_speed_mps_smooth,ib3d_gps_speed_mps_raw,ib3d_gps_speed_mps_smooth"
"13","D:\mountain_work\115_osm\outputs\ib3d_observed_behavior_timeline_v1\qixing_lengshuikeng\46_1\qixing_lengshuikeng_46_1_observed_behavior_timeline_activity_plot_data.csv","5474208","2026/5/29 下午 11:25:23","True","True","False","True","True","True","True","True","route_folder,case_id,subject_id,trial_id,row_index,point_index,activity_id,timestamp_s,elapsed_sec,dt_sec,raw_lat,raw_lon,ele_m,distance_m,heart_rate_bpm,route_dist_m,projected_route_dist_m,nearest_route_dist_m,reliable_route_dist_m,route_progress_reliable,route_progress_state,route_projection_confidence,route_projection_note,offset_to_mainline_m,segment_id,direction_hint,match_quality,source_file,sequence_match_score,candidate_rank,route_dist_delta_m,reliable_route_dist_delta_m,implied_route_speed_mps,sequence_jump_guard_flag,sequence_branch_ambiguity_flag,summit_dist_m,summit_reached_flag,candidate_phase,summit_transition_lock_applied,summit_transition_release_flag,source_csv_row_index,usable_on_route,excluded_reason,excursion_id,manual_override_applied,manual_event_id,manual_label,manual_interpretation,segment_role,route_progress_excluded,ib3d_forward_speed_mps_raw,ib3d_forward_speed_mps_smooth,ib3d_gps_speed_mps_raw,ib3d_gps_speed_mps_smooth"
"13","D:\mountain_work\115_osm\outputs\ib3d_observed_behavior_timeline_v1\qixing_lengshuikeng\42_1\qixing_lengshuikeng_42_1_observed_behavior_timeline_activity_plot_data.csv","5439096","2026/5/29 下午 11:25:26","True","True","False","True","True","True","True","True","route_folder,case_id,subject_id,trial_id,row_index,point_index,activity_id,timestamp_s,elapsed_sec,dt_sec,raw_lat,raw_lon,ele_m,distance_m,heart_rate_bpm,route_dist_m,projected_route_dist_m,nearest_route_dist_m,reliable_route_dist_m,route_progress_reliable,route_progress_state,route_projection_confidence,route_projection_note,offset_to_mainline_m,segment_id,direction_hint,match_quality,source_file,sequence_match_score,candidate_rank,route_dist_delta_m,reliable_route_dist_delta_m,implied_route_speed_mps,sequence_jump_guard_flag,sequence_branch_ambiguity_flag,summit_dist_m,summit_reached_flag,candidate_phase,summit_transition_lock_applied,summit_transition_release_flag,source_csv_row_index,usable_on_route,excluded_reason,excursion_id,manual_override_applied,manual_event_id,manual_label,manual_interpretation,segment_role,route_progress_excluded,ib3d_forward_speed_mps_raw,ib3d_forward_speed_mps_smooth,ib3d_gps_speed_mps_raw,ib3d_gps_speed_mps_smooth"
"13","D:\mountain_work\115_osm\outputs\ib3d_observed_behavior_timeline_v1\qixing_lengshuikeng\16_1\qixing_lengshuikeng_16_1_observed_behavior_timeline_activity_plot_data.csv","5407983","2026/5/29 下午 11:25:24","True","True","False","True","True","True","True","True","route_folder,case_id,subject_id,trial_id,row_index,point_index,activity_id,timestamp_s,elapsed_sec,dt_sec,raw_lat,raw_lon,ele_m,distance_m,heart_rate_bpm,route_dist_m,projected_route_dist_m,nearest_route_dist_m,reliable_route_dist_m,route_progress_reliable,route_progress_state,route_projection_confidence,route_projection_note,offset_to_mainline_m,segment_id,direction_hint,match_quality,source_file,sequence_match_score,candidate_rank,route_dist_delta_m,reliable_route_dist_delta_m,implied_route_speed_mps,sequence_jump_guard_flag,sequence_branch_ambiguity_flag,summit_dist_m,summit_reached_flag,candidate_phase,summit_transition_lock_applied,summit_transition_release_flag,source_csv_row_index,usable_on_route,excluded_reason,excursion_id,manual_override_applied,manual_event_id,manual_label,manual_interpretation,segment_role,route_progress_excluded,ib3d_forward_speed_mps_raw,ib3d_forward_speed_mps_smooth,ib3d_gps_speed_mps_raw,ib3d_gps_speed_mps_smooth"
"13","D:\mountain_work\115_osm\outputs\ib3d_observed_behavior_timeline_v1\qixing_lengshuikeng\37_1\qixing_lengshuikeng_37_1_observed_behavior_timeline_activity_plot_data.csv","5101777","2026/5/29 下午 11:25:28","True","True","False","True","True","True","True","True","route_folder,case_id,subject_id,trial_id,row_index,point_index,activity_id,timestamp_s,elapsed_sec,dt_sec,raw_lat,raw_lon,ele_m,distance_m,heart_rate_bpm,route_dist_m,projected_route_dist_m,nearest_route_dist_m,reliable_route_dist_m,route_progress_reliable,route_progress_state,route_projection_confidence,route_projection_note,offset_to_mainline_m,segment_id,direction_hint,match_quality,source_file,sequence_match_score,candidate_rank,route_dist_delta_m,reliable_route_dist_delta_m,implied_route_speed_mps,sequence_jump_guard_flag,sequence_branch_ambiguity_flag,summit_dist_m,summit_reached_flag,candidate_phase,summit_transition_lock_applied,summit_transition_release_flag,source_csv_row_index,usable_on_route,excluded_reason,excursion_id,manual_override_applied,manual_event_id,manual_label,manual_interpretation,segment_role,route_progress_excluded,ib3d_forward_speed_mps_raw,ib3d_forward_speed_mps_smooth,ib3d_gps_speed_mps_raw,ib3d_gps_speed_mps_smooth"
"11","D:\mountain_work\115_osm\outputs\ib4_activity_output\qixing_activity_risk_overlay_points.csv","993532","2026/5/4 下午 08:38:05","True","True","True","False","False","True","False","True","time_raw,lat,lon,ele_m,time,point_idx,lat_prev,lon_prev,ele_prev_m,time_prev,delta_dist_m,delta_time_s,delta_ele_m,speed_m_s,speed_km_h,speed_outlier_flag,ele_jump_flag,delta_dist_m_clean,delta_ele_m_clean,slope_pct,cum_dist_m,gain_m,loss_m,cum_gain_m,cum_loss_m,moving_flag,stationary_candidate_flag,micro_rest_candidate_flag,stationary_flag,micro_rest_flag,nearest_route_idx,nearest_route_dist_m,route_match_ok,route_dist_m,route_risk_score,route_risk_band,route_environment_adjusted_risk_score,route_environment_adjusted_risk_band,route_weather_modifier,route_hydro_modifier,route_dynamic_environment_modifier,route_ele_smooth,route_ele_gpx_m,route_slope_pct,route_slope_band,route_surface_class,route_route_semantic_class,route_hazard_flags,route_hydrology_flags,route_risk_band_norm,route_adjusted_risk_band_norm,speed_km_h_smooth,route_dist_diff_m,in_adjusted_high_or_above,in_adjusted_very_high"
"11","D:\mountain_work\115_osm\outputs\ib4_activity_output\actual_gpx_9stations\qixing_activity_risk_overlay_points.csv","993532","2026/5/5 下午 05:48:01","True","True","True","False","False","True","False","True","time_raw,lat,lon,ele_m,time,point_idx,lat_prev,lon_prev,ele_prev_m,time_prev,delta_dist_m,delta_time_s,delta_ele_m,speed_m_s,speed_km_h,speed_outlier_flag,ele_jump_flag,delta_dist_m_clean,delta_ele_m_clean,slope_pct,cum_dist_m,gain_m,loss_m,cum_gain_m,cum_loss_m,moving_flag,stationary_candidate_flag,micro_rest_candidate_flag,stationary_flag,micro_rest_flag,nearest_route_idx,nearest_route_dist_m,route_match_ok,route_dist_m,route_risk_score,route_risk_band,route_environment_adjusted_risk_score,route_environment_adjusted_risk_band,route_weather_modifier,route_hydro_modifier,route_dynamic_environment_modifier,route_ele_smooth,route_ele_gpx_m,route_slope_pct,route_slope_band,route_surface_class,route_route_semantic_class,route_hazard_flags,route_hydrology_flags,route_risk_band_norm,route_adjusted_risk_band_norm,speed_km_h_smooth,route_dist_diff_m,in_adjusted_high_or_above,in_adjusted_very_high"
"11","D:\mountain_work\115_osm\outputs\ib4_activity_output\scenario_0430_9stations\qixing_activity_risk_overlay_points.csv","971300","2026/5/5 下午 05:48:03","True","True","True","False","False","True","False","True","time_raw,lat,lon,ele_m,time,point_idx,lat_prev,lon_prev,ele_prev_m,time_prev,delta_dist_m,delta_time_s,delta_ele_m,speed_m_s,speed_km_h,speed_outlier_flag,ele_jump_flag,delta_dist_m_clean,delta_ele_m_clean,slope_pct,cum_dist_m,gain_m,loss_m,cum_gain_m,cum_loss_m,moving_flag,stationary_candidate_flag,micro_rest_candidate_flag,stationary_flag,micro_rest_flag,nearest_route_idx,nearest_route_dist_m,route_match_ok,route_dist_m,route_risk_score,route_risk_band,route_environment_adjusted_risk_score,route_environment_adjusted_risk_band,route_weather_modifier,route_hydro_modifier,route_dynamic_environment_modifier,route_ele_smooth,route_ele_gpx_m,route_slope_pct,route_slope_band,route_surface_class,route_route_semantic_class,route_hazard_flags,route_hydrology_flags,route_risk_band_norm,route_adjusted_risk_band_norm,speed_km_h_smooth,route_dist_diff_m,in_adjusted_high_or_above,in_adjusted_very_high"
