schema_version,activity_id,route_distance_label,route_distance_start_m,route_distance_end_m,window_start_time_utc,window_end_time_utc,window_start_time_local,window_end_time_local,point_count,temperature_mean_c,temperature_max_c,relative_humidity_mean_pct,relative_humidity_max_pct,wind_speed_mean_ms,wind_speed_max_ms,wind_class,point_daytime_heat_window_ratio,heat_index_status,heat_index_c,heat_humid_route_window_context_status,route_window_environment_interpretation_zh,temperature_time_effect_type,humidity_time_effect_type,wind_time_effect_type,heat_index_time_effect_type,route_window_context_time_effect_type,zero_fallback_true_count
ib3w_route_window_weather_context_summary_report_v1,qixing_lengshuikeng_xiaoyoukeng_20260410_biji_gpx,0-250m,0.0,250.0,2026-04-10T21:35:47+00:00,2026-04-10T21:40:15+00:00,2026-04-11 05:35:47,2026-04-11 05:40:15,48,19.3316,21.3,92.6316,100.0,1.1474,5.6,LIGHT_0P5_TO_2_MS,0.0,HEAT_INDEX_NOT_COMPUTED_TEMPERATURE_BELOW_STANDARD_THRESHOLD,,HEAT_HUMID_ROUTE_WINDOW_CONTEXT_NOT_SUPPORTED_BY_AVAILABLE_WEATHER,此路段通過時有氣溫/濕度/風速觀測；但氣溫低於 heat index 標準計算門檻，available weather 不支持 heat/humid stress。,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,DERIVED_FROM_NEAR_REAL_TIME_TEMPERATURE_HUMIDITY_IF_THRESHOLD_SUPPORTED,ROUTE_WINDOW_NEAR_REAL_TIME_CONTEXT_WITH_PROXY_BOUNDARY,0
ib3w_route_window_weather_context_summary_report_v1,qixing_lengshuikeng_xiaoyoukeng_20260410_biji_gpx,250-500m,250.0,500.0,2026-04-10T21:40:21+00:00,2026-04-10T21:49:47+00:00,2026-04-11 05:40:21,2026-04-11 05:49:47,96,19.3562,21.3,92.8125,100.0,1.25,5.6,LIGHT_0P5_TO_2_MS,0.0,HEAT_INDEX_NOT_COMPUTED_TEMPERATURE_BELOW_STANDARD_THRESHOLD,,HEAT_HUMID_ROUTE_WINDOW_CONTEXT_NOT_SUPPORTED_BY_AVAILABLE_WEATHER,此路段通過時有氣溫/濕度/風速觀測；但氣溫低於 heat index 標準計算門檻，available weather 不支持 heat/humid stress。,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,DERIVED_FROM_NEAR_REAL_TIME_TEMPERATURE_HUMIDITY_IF_THRESHOLD_SUPPORTED,ROUTE_WINDOW_NEAR_REAL_TIME_CONTEXT_WITH_PROXY_BOUNDARY,0
ib3w_route_window_weather_context_summary_report_v1,qixing_lengshuikeng_xiaoyoukeng_20260410_biji_gpx,500-750m,500.0,750.0,2026-04-10T21:49:53+00:00,2026-04-10T22:04:00+00:00,2026-04-11 05:49:53,2026-04-11 06:04:00,95,19.4316,21.3,92.7895,100.0,1.1895,5.6,LIGHT_0P5_TO_2_MS,0.0,HEAT_INDEX_NOT_COMPUTED_TEMPERATURE_BELOW_STANDARD_THRESHOLD,,HEAT_HUMID_ROUTE_WINDOW_CONTEXT_NOT_SUPPORTED_BY_AVAILABLE_WEATHER,此路段通過時有氣溫/濕度/風速觀測；但氣溫低於 heat index 標準計算門檻，available weather 不支持 heat/humid stress。,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,DERIVED_FROM_NEAR_REAL_TIME_TEMPERATURE_HUMIDITY_IF_THRESHOLD_SUPPORTED,ROUTE_WINDOW_NEAR_REAL_TIME_CONTEXT_WITH_PROXY_BOUNDARY,0
ib3w_route_window_weather_context_summary_report_v1,qixing_lengshuikeng_xiaoyoukeng_20260410_biji_gpx,750-1000m,750.0,1000.0,2026-04-10T21:58:24+00:00,2026-04-10T22:09:23+00:00,2026-04-11 05:58:24,2026-04-11 06:09:23,103,19.4187,21.1,92.9375,99.0,1.2937,5.6,LIGHT_0P5_TO_2_MS,0.0,HEAT_INDEX_NOT_COMPUTED_TEMPERATURE_BELOW_STANDARD_THRESHOLD,,HEAT_HUMID_ROUTE_WINDOW_CONTEXT_NOT_SUPPORTED_BY_AVAILABLE_WEATHER,此路段通過時有氣溫/濕度/風速觀測；但氣溫低於 heat index 標準計算門檻，available weather 不支持 heat/humid stress。,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,DERIVED_FROM_NEAR_REAL_TIME_TEMPERATURE_HUMIDITY_IF_THRESHOLD_SUPPORTED,ROUTE_WINDOW_NEAR_REAL_TIME_CONTEXT_WITH_PROXY_BOUNDARY,0
ib3w_route_window_weather_context_summary_report_v1,qixing_lengshuikeng_xiaoyoukeng_20260410_biji_gpx,1000-1250m,1000.0,1250.0,2026-04-10T22:09:29+00:00,2026-04-10T22:16:34+00:00,2026-04-11 06:09:29,2026-04-11 06:16:34,72,19.5687,21.7,92.9375,99.0,1.3062,5.6,LIGHT_0P5_TO_2_MS,0.0,HEAT_INDEX_NOT_COMPUTED_TEMPERATURE_BELOW_STANDARD_THRESHOLD,,HEAT_HUMID_ROUTE_WINDOW_CONTEXT_NOT_SUPPORTED_BY_AVAILABLE_WEATHER,此路段通過時有氣溫/濕度/風速觀測；但氣溫低於 heat index 標準計算門檻，available weather 不支持 heat/humid stress。,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,DERIVED_FROM_NEAR_REAL_TIME_TEMPERATURE_HUMIDITY_IF_THRESHOLD_SUPPORTED,ROUTE_WINDOW_NEAR_REAL_TIME_CONTEXT_WITH_PROXY_BOUNDARY,0
ib3w_route_window_weather_context_summary_report_v1,qixing_lengshuikeng_xiaoyoukeng_20260410_biji_gpx,1250-1500m,1250.0,1500.0,2026-04-10T22:16:40+00:00,2026-04-10T22:27:46+00:00,2026-04-11 06:16:40,2026-04-11 06:27:46,108,19.7529,22.3,92.8235,99.0,1.2889,5.6,LIGHT_0P5_TO_2_MS,0.0,HEAT_INDEX_NOT_COMPUTED_TEMPERATURE_BELOW_STANDARD_THRESHOLD,,HEAT_HUMID_ROUTE_WINDOW_CONTEXT_NOT_SUPPORTED_BY_AVAILABLE_WEATHER,此路段通過時有氣溫/濕度/風速觀測；但氣溫低於 heat index 標準計算門檻，available weather 不支持 heat/humid stress。,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,DERIVED_FROM_NEAR_REAL_TIME_TEMPERATURE_HUMIDITY_IF_THRESHOLD_SUPPORTED,ROUTE_WINDOW_NEAR_REAL_TIME_CONTEXT_WITH_PROXY_BOUNDARY,0
ib3w_route_window_weather_context_summary_report_v1,qixing_lengshuikeng_xiaoyoukeng_20260410_biji_gpx,1500-1750m,1500.0,1750.0,2026-04-10T22:26:52+00:00,2026-04-10T22:37:52+00:00,2026-04-11 06:26:52,2026-04-11 06:37:52,107,19.785,22.5,92.8,100.0,1.455,5.6,LIGHT_0P5_TO_2_MS,0.0,HEAT_INDEX_NOT_COMPUTED_TEMPERATURE_BELOW_STANDARD_THRESHOLD,,HEAT_HUMID_ROUTE_WINDOW_CONTEXT_NOT_SUPPORTED_BY_AVAILABLE_WEATHER,此路段通過時有氣溫/濕度/風速觀測；但氣溫低於 heat index 標準計算門檻，available weather 不支持 heat/humid stress。,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,DERIVED_FROM_NEAR_REAL_TIME_TEMPERATURE_HUMIDITY_IF_THRESHOLD_SUPPORTED,ROUTE_WINDOW_NEAR_REAL_TIME_CONTEXT_WITH_PROXY_BOUNDARY,0
ib3w_route_window_weather_context_summary_report_v1,qixing_lengshuikeng_xiaoyoukeng_20260410_biji_gpx,1750-2000m,1750.0,2000.0,2026-04-10T22:37:58+00:00,2026-04-10T22:53:36+00:00,2026-04-11 06:37:58,2026-04-11 06:53:36,159,20.2364,22.9,92.0909,100.0,1.3409,3.6,LIGHT_0P5_TO_2_MS,0.0,HEAT_INDEX_NOT_COMPUTED_TEMPERATURE_BELOW_STANDARD_THRESHOLD,,HEAT_HUMID_ROUTE_WINDOW_CONTEXT_NOT_SUPPORTED_BY_AVAILABLE_WEATHER,此路段通過時有氣溫/濕度/風速觀測；但氣溫低於 heat index 標準計算門檻，available weather 不支持 heat/humid stress。,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,DERIVED_FROM_NEAR_REAL_TIME_TEMPERATURE_HUMIDITY_IF_THRESHOLD_SUPPORTED,ROUTE_WINDOW_NEAR_REAL_TIME_CONTEXT_WITH_PROXY_BOUNDARY,0
ib3w_route_window_weather_context_summary_report_v1,qixing_lengshuikeng_xiaoyoukeng_20260410_biji_gpx,2000-2250m,2000.0,2250.0,2026-04-10T22:53:41+00:00,2026-04-10T23:11:04+00:00,2026-04-11 06:53:41,2026-04-11 07:11:04,178,20.6318,23.2,91.0909,100.0,1.5773,3.6,LIGHT_0P5_TO_2_MS,0.0,HEAT_INDEX_NOT_COMPUTED_TEMPERATURE_BELOW_STANDARD_THRESHOLD,,HEAT_HUMID_ROUTE_WINDOW_CONTEXT_NOT_SUPPORTED_BY_AVAILABLE_WEATHER,此路段通過時有氣溫/濕度/風速觀測；但氣溫低於 heat index 標準計算門檻，available weather 不支持 heat/humid stress。,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,DERIVED_FROM_NEAR_REAL_TIME_TEMPERATURE_HUMIDITY_IF_THRESHOLD_SUPPORTED,ROUTE_WINDOW_NEAR_REAL_TIME_CONTEXT_WITH_PROXY_BOUNDARY,0
ib3w_route_window_weather_context_summary_report_v1,qixing_lengshuikeng_xiaoyoukeng_20260410_biji_gpx,2250-2500m,2250.0,2500.0,2026-04-10T23:11:10+00:00,2026-04-10T23:16:58+00:00,2026-04-11 07:11:10,2026-04-11 07:16:58,59,20.6947,23.2,90.9474,100.0,1.6579,3.6,LIGHT_0P5_TO_2_MS,0.0,HEAT_INDEX_NOT_COMPUTED_TEMPERATURE_BELOW_STANDARD_THRESHOLD,,HEAT_HUMID_ROUTE_WINDOW_CONTEXT_NOT_SUPPORTED_BY_AVAILABLE_WEATHER,此路段通過時有氣溫/濕度/風速觀測；但氣溫低於 heat index 標準計算門檻，available weather 不支持 heat/humid stress。,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,INSTANT_OR_NEAR_REAL_TIME_STATE,DERIVED_FROM_NEAR_REAL_TIME_TEMPERATURE_HUMIDITY_IF_THRESHOLD_SUPPORTED,ROUTE_WINDOW_NEAR_REAL_TIME_CONTEXT_WITH_PROXY_BOUNDARY,0
