source_output_case,station_id,station_name,county_name,town_name,nearest_activity_dist_m,station_rank_by_distance,weather_db_station_elevation_m,observed_variable_count,missing_variable_count,observed_precipitation_zero_rows,representativeness_review,representativeness_reason,zero_fallback_true_count,nlsc_station_elevation_m,station_elevation_status,station_elevation_confidence,station_elevation_nlsc_tile,station_elevation_context_status,station_elevation_policy_action,station_elevation_context_class,station_elevation_join_status,schema_version,station_policy_class,selection_action,selection_priority,distance_band,elevation_band,eligible_for_mountain_representative_selection,policy_reason
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,466930,陽明山,臺北市,北投區,1057.9,1,,6,4,1,PRIMARY_NEARBY_MOUNTAIN_REVIEW_SET,陽明山 is in the nearest four stations by activity-track distance and is suitable for focused representativeness review; distance rank alone is not final weather representativeness.,0,609.7,FINAL_ACCEPTABLE,good,97233NW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,PRIMARY_MOUNTAIN_REPRESENTATIVE_CANDIDATE,RETAIN_FOR_REPRESENTATIVE_SELECTION,11,WITHIN_2KM,MOUNTAIN_OR_HILLSIDE_ELEVATION,True,"Station is in the predefined nearest mountain review set, has joined NLSC elevation evidence, and remains a candidate rather than a fusion decision."
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,466910,鞍部,臺北市,北投區,1907.9,2,,5,5,1,PRIMARY_NEARBY_MOUNTAIN_REVIEW_SET,鞍部 is in the nearest four stations by activity-track distance and is suitable for focused representativeness review; distance rank alone is not final weather representativeness.,0,839.8,FINAL_ACCEPTABLE,good,97233NW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,PRIMARY_MOUNTAIN_REPRESENTATIVE_CANDIDATE,RETAIN_FOR_REPRESENTATIVE_SELECTION,12,WITHIN_2KM,MOUNTAIN_HIGH_ELEVATION,True,"Station is in the predefined nearest mountain review set, has joined NLSC elevation evidence, and remains a candidate rather than a fusion decision."
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AC40,大屯山,臺北市,北投區,2536.5,3,,6,4,1,PRIMARY_NEARBY_MOUNTAIN_REVIEW_SET,大屯山 is in the nearest four stations by activity-track distance and is suitable for focused representativeness review; distance rank alone is not final weather representativeness.,0,1079.7,FINAL_ACCEPTABLE,good,97233NW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,PRIMARY_MOUNTAIN_REPRESENTATIVE_CANDIDATE,RETAIN_FOR_REPRESENTATIVE_SELECTION,13,WITHIN_5KM,MOUNTAIN_HIGH_ELEVATION,True,"Station is in the predefined nearest mountain review set, has joined NLSC elevation evidence, and remains a candidate rather than a fusion decision."
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,A0A460,文化大學,臺北市,士林區,3696.4,4,,5,5,1,PRIMARY_NEARBY_MOUNTAIN_REVIEW_SET,文化大學 is in the nearest four stations by activity-track distance and is suitable for focused representativeness review; distance rank alone is not final weather representativeness.,0,399.9,FINAL_ACCEPTABLE,good,97233NW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,PRIMARY_MOUNTAIN_REPRESENTATIVE_CANDIDATE,RETAIN_FOR_REPRESENTATIVE_SELECTION,14,WITHIN_5KM,MOUNTAIN_OR_HILLSIDE_ELEVATION,True,"Station is in the predefined nearest mountain review set, has joined NLSC elevation evidence, and remains a candidate rather than a fusion decision."
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AH40,平等,臺北市,士林區,4273.0,5,,1,9,1,NEARBY_REVIEW_CANDIDATE,"The GPX smoke test marks this as a nearby candidate, but formal representativeness still requires terrain, elevation, and source-quality review.",0,404.9,FINAL_ACCEPTABLE,good,97233NW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,NEARBY_SECONDARY_REVIEW_CANDIDATE,RETAIN_FOR_SECONDARY_REVIEW,105,WITHIN_5KM,MOUNTAIN_OR_HILLSIDE_ELEVATION,False,"Station is near the activity and has hillside/mountain elevation evidence, but is not in the primary representative set."
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A870,五指山,新北市,汐止區,5850.4,7,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 7); observation presence alone is insufficient for mountain representativeness.,0,685.6,FINAL_ACCEPTABLE,good,97233NW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,NEARBY_SECONDARY_REVIEW_CANDIDATE,RETAIN_FOR_SECONDARY_REVIEW,107,WITHIN_10KM,MOUNTAIN_OR_HILLSIDE_ELEVATION,False,"Station is near the activity and has hillside/mountain elevation evidence, but is not in the primary representative set."
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A860,大坪,新北市,萬里區,6953.4,8,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 8); observation presence alone is insufficient for mountain representativeness.,0,439.9,FINAL_ACCEPTABLE,moderate,97233NW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,NEARBY_SECONDARY_REVIEW_CANDIDATE,RETAIN_FOR_SECONDARY_REVIEW,108,WITHIN_10KM,MOUNTAIN_OR_HILLSIDE_ELEVATION,False,"Station is near the activity and has hillside/mountain elevation evidence, but is not in the primary representative set."
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A9C0,天母,臺北市,士林區,5685.0,6,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 6); observation presence alone is insufficient for mountain representativeness.,0,123.8,FINAL_ACCEPTABLE,moderate,97233NW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,506,WITHIN_10KM,LOW_HILLS_OR_URBAN_EDGE,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0AI40,石牌,臺北市,北投區,7099.3,9,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 9); observation presence alone is insufficient for mountain representativeness.,0,50.8,FINAL_ACCEPTABLE,moderate,97233SW,ACCEPTABLE_ORIGINAL,KEEP_ORIGINAL_ACCEPTABLE,,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,509,WITHIN_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
qixing_lengshuikeng_xiaoyoukeng_20260410_gpx_v1,C0A770,科教館,臺北市,士林區,8698.1,10,,6,4,1,LOWER_PRIORITY_DISTANCE_OR_CONTEXT,Distance/rank evidence is lower priority (rank 10); observation presence alone is insufficient for mountain representativeness.,0,29.3,FINAL_LOW_CONFIDENCE_REVIEW_REQUIRED,low,97233SW,ACCEPTABLE_CONTEXT_REVIEWED_LOW_CONFIDENCE,ACCEPT_CONTEXT_LIMITATION_DO_NOT_EDIT_FINAL,FLAT_URBAN_BASIN_CONTOUR_SPARSE_REVIEW,JOINED_STATION_ELEVATION_REVIEW,ib3w_station_representativeness_policy_v1,LOWLAND_OR_URBAN_LOW_PRIORITY,OBSERVATION_ONLY_LOW_PRIORITY,510,WITHIN_10KM,LOWLAND_URBAN_ELEVATION,False,Station has observations but NLSC elevation suggests lowland or urban-edge context; do not treat as mountain-route representative.
