schema_version,summary_type,summary_key,station_count,eligible_count,zero_fallback_true_count
ib3w_station_representativeness_policy_v1,station_policy_class,PRIMARY_MOUNTAIN_REPRESENTATIVE_CANDIDATE,4,4,0
ib3w_station_representativeness_policy_v1,station_policy_class,NEARBY_SECONDARY_REVIEW_CANDIDATE,3,0,0
ib3w_station_representativeness_policy_v1,station_policy_class,LOWLAND_OR_URBAN_LOW_PRIORITY,37,0,0
ib3w_station_representativeness_policy_v1,station_policy_class,MISSING_STATION_ELEVATION_EVIDENCE,8,0,0
ib3w_station_representativeness_policy_v1,station_policy_class,COUNTEREXAMPLE_NOT_MOUNTAIN_REPRESENTATIVE,1,0,0
ib3w_station_representativeness_policy_v1,station_policy_class,ROAD_OR_HIGHWAY_STATION_EXCLUDED,3,0,0
ib3w_station_representativeness_policy_v1,selection_action,RETAIN_FOR_REPRESENTATIVE_SELECTION,4,4,0
ib3w_station_representativeness_policy_v1,selection_action,RETAIN_FOR_SECONDARY_REVIEW,3,0,0
ib3w_station_representativeness_policy_v1,selection_action,OBSERVATION_ONLY_LOW_PRIORITY,37,0,0
ib3w_station_representativeness_policy_v1,selection_action,REVIEW_REQUIRED_NOT_SELECTED,8,0,0
ib3w_station_representativeness_policy_v1,selection_action,EXCLUDE_FROM_MOUNTAIN_REPRESENTATIVE_SELECTION,4,0,0
ib3w_station_representativeness_policy_v1,overall,ALL_STATIONS,56,4,0
