schema_version,summary_type,summary_key,activity_count,score_allowed_count,zero_fallback_true_count
ib3w_surface_wetness_proxy_v1,surface_wetness_proxy_status,BLOCKED_BY_GATE,26,0,0
ib3w_surface_wetness_proxy_v1,surface_wetness_proxy_status,SURFACE_WETNESS_PROXY_WETNESS_POSSIBLE_LOW_TO_MODERATE,1,1,0
ib3w_surface_wetness_proxy_v1,surface_wetness_proxy_confidence,NOT_EVALUATED,26,0,0
ib3w_surface_wetness_proxy_v1,surface_wetness_proxy_confidence,PARTIAL,1,1,0
ib3w_surface_wetness_proxy_v1,surface_wetness_proxy_input_quality,WEATHER_CONTEXT_PARTIAL,26,0,0
ib3w_surface_wetness_proxy_v1,surface_wetness_proxy_input_quality,WEATHER_CONTEXT_TEMP_RH_WIND_AVAILABLE,1,1,0
ib3w_surface_wetness_proxy_v1,antecedent_precipitation_context_status,ANTECEDENT_PRECIPITATION_OBSERVED_RAIN,1,1,0
ib3w_surface_wetness_proxy_v1,antecedent_precipitation_context_status,BLOCKED_BY_GATE,26,0,0
ib3w_surface_wetness_proxy_v1,sunshine_context_status,SUNSHINE_NOT_AVAILABLE_IN_CURRENT_FEATURE_VECTOR_V1,27,1,0
ib3w_surface_wetness_proxy_v1,terrain_surface_context_status,NOT_JOINED_IN_V1,27,1,0
ib3w_surface_wetness_proxy_v1,soil_moisture_claim_status,NOT_CLAIMED_PROXY_ONLY,27,1,0
ib3w_surface_wetness_proxy_v1,overall,ALL_ACTIVITIES,27,1,0
