schema_version,summary_type,summary_key,activity_count,score_allowed_count,zero_fallback_true_count
ib3w_weather_sensitive_feature_vector_v1,weather_feature_vector_status,WEATHER_FEATURE_VECTOR_AVAILABLE_PARTIAL,1,1,0
ib3w_weather_sensitive_feature_vector_v1,weather_feature_vector_status,WEATHER_FEATURE_VECTOR_UNAVAILABLE,26,0,0
ib3w_weather_sensitive_feature_vector_v1,activity_time_rain_observation_status,BLOCKED_BY_GATE,26,0,0
ib3w_weather_sensitive_feature_vector_v1,activity_time_rain_observation_status,OBSERVED_NO_RAIN,1,1,0
ib3w_weather_sensitive_feature_vector_v1,activity_time_moisture_context_status,BLOCKED_BY_GATE,26,0,0
ib3w_weather_sensitive_feature_vector_v1,activity_time_moisture_context_status,MOISTURE_CONTEXT_AVAILABLE,1,1,0
ib3w_weather_sensitive_feature_vector_v1,activity_time_wind_context_status,BLOCKED_BY_GATE,26,0,0
ib3w_weather_sensitive_feature_vector_v1,activity_time_wind_context_status,WIND_CONTEXT_AVAILABLE,1,1,0
ib3w_weather_sensitive_feature_vector_v1,activity_time_pressure_context_status,BLOCKED_BY_GATE,26,0,0
ib3w_weather_sensitive_feature_vector_v1,activity_time_pressure_context_status,PRESSURE_CONTEXT_AVAILABLE_PARTIAL,1,1,0
ib3w_weather_sensitive_feature_vector_v1,antecedent_precipitation_context_status,NOT_EVALUATED_IN_V1,27,1,0
ib3w_weather_sensitive_feature_vector_v1,surface_wetness_proxy_status,NOT_EVALUATED_IN_V1,27,1,0
ib3w_weather_sensitive_feature_vector_v1,overall,ALL_ACTIVITIES,27,1,0
