profile_id,profile_scope,route_folder,activity_count,activity_id_short_list,windows_n,speed_mps_median_p25,speed_mps_median_median,speed_mps_median_p75,low_speed_ratio_avg,low_speed_ratio_median,stopped_ratio_avg,stopped_ratio_median,heart_rate_bpm_median_avg,heart_rate_bpm_median_median,heart_rate_bpm_p75_median,high_hr_window_ratio,low_speed_window_ratio,stopped_window_ratio,route_load_behavior_candidate_window_ratio,weather_context_available_ratio,data_quality_flags,behavior_response_flags_observed,route_phase_recovery_flags_observed,interpretation_boundary,activity_id_short,activity_windows_n,uphill_windows_n,downhill_windows_n,low_slope_or_mixed_windows_n,slope_missing_windows_n,slope_available_ratio,candidate_windows_n,max_route_load_context_index_0_100,median_route_load_context_index_0_100,high_or_very_high_load_ratio,candidate_window_ratio,hr_recovery_evidence_present,completion_time_context_available,readiness_review_available,readiness_review_flags,early_high_hr_evidence_present
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,1,13_1,80,0.466225,0.669343,0.864704,0.218352,0.170821,0.014726,0.0,153.01875,155.0,161.0,0.2625,0.3,0.0375,0.475,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD|STOP_RATIO_OBSERVED,RECOVERED_DOWNHILL_FROM_SIGNED_SLOPE|RECOVERED_LOW_SLOPE_OR_MIXED_FROM_SIGNED_SLOPE|RECOVERED_UPHILL_FROM_SIGNED_SLOPE|ROUTE_PHASE_RECOVERY_REVIEW_REQUIRED,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",13_1,80,15,10,4,51,0.3625,38,100.0,69.205,0.575,0.475,True,True,True,92.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONFIRMED_HR_RECOVERY_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_REVIEW_REQUIRED|HIGH_HR_PAUSE_WITHOUT_RECOVERY_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|PLANNING_REVIEW_WINDOWS_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED,True
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,1,14_1,84,0.60419,0.839099,1.059285,0.145467,0.093386,0.008795,0.0,140.875,140.0,157.5,0.25,0.178571,0.011905,0.333333,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD|STOP_RATIO_OBSERVED,RECOVERED_DOWNHILL_FROM_SIGNED_SLOPE|RECOVERED_LOW_SLOPE_OR_MIXED_FROM_SIGNED_SLOPE|RECOVERED_UPHILL_FROM_SIGNED_SLOPE|ROUTE_PHASE_RECOVERY_REVIEW_REQUIRED,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",14_1,84,15,18,3,48,0.428571,28,100.0,64.113,0.547619,0.333333,True,True,True,65.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONFIRMED_HR_RECOVERY_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|CONSERVATIVE_PLANNING_WINDOWS_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_REVIEW_REQUIRED|HIGH_HR_PAUSE_WITHOUT_RECOVERY_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|PLANNING_REVIEW_WINDOWS_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED,True
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,1,15_1,81,0.598192,0.905109,1.153158,0.079904,0.042857,0.0,0.0,161.111111,160.5,168.0,0.259259,0.049383,0.0,0.432099,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD,RECOVERED_DOWNHILL_FROM_SIGNED_SLOPE|RECOVERED_LOW_SLOPE_OR_MIXED_FROM_SIGNED_SLOPE|RECOVERED_UPHILL_FROM_SIGNED_SLOPE|ROUTE_PHASE_RECOVERY_REVIEW_REQUIRED,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",15_1,81,11,12,3,55,0.320988,35,100.0,68.812,0.580247,0.432099,False,True,True,53.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|CONSERVATIVE_PLANNING_WINDOWS_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|HR_RECOVERY_EVIDENCE_LIMITED|PLANNING_REVIEW_WINDOWS_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED,True
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,1,16_1,83,0.412983,0.60218,0.812531,0.212015,0.149425,0.076112,0.0,138.289157,136.5,153.25,0.253012,0.289157,0.240964,0.493976,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD|STOP_RATIO_OBSERVED,RECOVERED_DOWNHILL_FROM_SIGNED_SLOPE|RECOVERED_LOW_SLOPE_OR_MIXED_FROM_SIGNED_SLOPE|RECOVERED_UPHILL_FROM_SIGNED_SLOPE|ROUTE_PHASE_RECOVERY_REVIEW_REQUIRED,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",16_1,83,11,19,3,50,0.39759,41,100.0,65.48,0.542169,0.493976,True,True,True,117.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONFIRMED_HR_RECOVERY_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|HIGH_HR_PAUSE_WITHOUT_RECOVERY_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|PLANNING_REVIEW_WINDOWS_PRESENT|SLOW_GROUP_COMPLETION_CONTEXT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED,True
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,1,20_1,79,0.511039,0.619883,0.766083,0.10797,0.082353,0.0,0.0,153.196203,150.0,160.0,0.265823,0.063291,0.0,0.481013,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD,RECOVERED_DOWNHILL_FROM_SIGNED_SLOPE|RECOVERED_LOW_SLOPE_OR_MIXED_FROM_SIGNED_SLOPE|RECOVERED_UPHILL_FROM_SIGNED_SLOPE|ROUTE_PHASE_RECOVERY_REVIEW_REQUIRED,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",20_1,79,8,16,2,53,0.329114,38,100.0,68.044,0.544304,0.481013,False,True,True,78.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_REVIEW_REQUIRED|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|HR_RECOVERY_EVIDENCE_LIMITED|PLANNING_REVIEW_WINDOWS_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED,True
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,1,23_1,83,0.353965,0.494604,0.605227,0.117245,0.114754,0.0,0.0,134.481928,132.0,148.0,0.253012,0.0,0.0,0.53012,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,SPEED_BELOW_LOW_SPEED_THRESHOLD,RECOVERED_DOWNHILL_FROM_SIGNED_SLOPE|RECOVERED_LOW_SLOPE_OR_MIXED_FROM_SIGNED_SLOPE|RECOVERED_UPHILL_FROM_SIGNED_SLOPE|ROUTE_PHASE_RECOVERY_REVIEW_REQUIRED,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",23_1,83,18,15,6,44,0.46988,44,100.0,63.96,0.542169,0.53012,False,True,True,92.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_REVIEW_REQUIRED|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|HR_RECOVERY_EVIDENCE_LIMITED|PLANNING_REVIEW_WINDOWS_PRESENT|SLOW_GROUP_COMPLETION_CONTEXT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED,True
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,1,28_1,84,0.474987,0.598755,0.748428,0.260677,0.240623,0.009183,0.0,152.142857,152.0,159.0,0.27381,0.380952,0.035714,0.47619,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD|STOP_RATIO_OBSERVED,RECOVERED_DOWNHILL_FROM_SIGNED_SLOPE|RECOVERED_LOW_SLOPE_OR_MIXED_FROM_SIGNED_SLOPE|RECOVERED_UPHILL_FROM_SIGNED_SLOPE|ROUTE_PHASE_RECOVERY_REVIEW_REQUIRED,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",28_1,84,9,30,3,42,0.5,40,100.0,66.374,0.52381,0.47619,True,True,True,115.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONFIRMED_HR_RECOVERY_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|HIGH_HR_PAUSE_WITHOUT_RECOVERY_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|PLANNING_REVIEW_WINDOWS_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED,True
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,1,29_1,84,0.473572,0.72892,0.965982,0.082942,0.064691,0.0,0.0,148.333333,145.0,158.375,0.25,0.0,0.0,0.464286,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,SPEED_BELOW_LOW_SPEED_THRESHOLD,RECOVERED_DOWNHILL_FROM_SIGNED_SLOPE|RECOVERED_LOW_SLOPE_OR_MIXED_FROM_SIGNED_SLOPE|RECOVERED_UPHILL_FROM_SIGNED_SLOPE|ROUTE_PHASE_RECOVERY_REVIEW_REQUIRED,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",29_1,84,10,28,4,42,0.5,39,100.0,68.698,0.571429,0.464286,False,True,True,62.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|CONSERVATIVE_PLANNING_WINDOWS_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|HR_RECOVERY_EVIDENCE_LIMITED|PLANNING_REVIEW_WINDOWS_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED,True
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,1,30_1,82,0.53192,0.728279,1.033707,0.018863,0.010698,8.1e-05,0.0,143.207317,146.0,152.5,0.280488,0.0,0.0,0.47561,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,SPEED_BELOW_LOW_SPEED_THRESHOLD,RECOVERED_DOWNHILL_FROM_SIGNED_SLOPE|RECOVERED_LOW_SLOPE_OR_MIXED_FROM_SIGNED_SLOPE|RECOVERED_UPHILL_FROM_SIGNED_SLOPE,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",30_1,82,38,31,13,0,1.0,39,100.0,68.059,0.573171,0.47561,False,True,True,62.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|CONSERVATIVE_PLANNING_WINDOWS_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_REVIEW_REQUIRED|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|HR_RECOVERY_EVIDENCE_LIMITED|PLANNING_REVIEW_WINDOWS_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED,True
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,1,33_1,81,0.621403,0.900778,1.145091,0.125172,0.068182,0.014483,0.0,151.012346,152.0,157.0,0.283951,0.17284,0.024691,0.333333,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD|STOP_RATIO_OBSERVED,RECOVERED_DOWNHILL_FROM_SIGNED_SLOPE|RECOVERED_LOW_SLOPE_OR_MIXED_FROM_SIGNED_SLOPE|RECOVERED_UPHILL_FROM_SIGNED_SLOPE|ROUTE_PHASE_RECOVERY_REVIEW_REQUIRED,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",33_1,81,14,16,5,46,0.432099,27,100.0,68.812,0.567901,0.333333,False,True,True,65.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|CONSERVATIVE_PLANNING_WINDOWS_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_REVIEW_REQUIRED|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|PLANNING_REVIEW_WINDOWS_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED,True
