profile_id,profile_scope,route_folder,activity_count,activity_id_short_list,windows_n,speed_mps_median_p25,speed_mps_median_median,speed_mps_median_p75,low_speed_ratio_avg,low_speed_ratio_median,stopped_ratio_avg,stopped_ratio_median,heart_rate_bpm_median_avg,heart_rate_bpm_median_median,heart_rate_bpm_p75_median,high_hr_window_ratio,low_speed_window_ratio,stopped_window_ratio,route_load_behavior_candidate_window_ratio,weather_context_available_ratio,data_quality_flags,behavior_response_flags_observed,route_phase_recovery_flags_observed,interpretation_boundary,route_load_context_band,route_phase_for_profile,route_phase_original_values,route_phase_recovery_source_values,route_phase_for_profile_note
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,8,13_1|14_1|29_1|41_1|42_1|44_1|45_1|9_1,12,1.071781,1.169694,1.386773,0.05647,0.065341,0.0,0.0,140.625,140.0,148.125,0.083333,0.0,0.0,0.0,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,NONE,RECOVERED_UPHILL_FROM_SIGNED_SLOPE,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",LOWER_ROUTE_LOAD_CONTEXT,UPHILL_ROUTE_CONTEXT,UNKNOWN,CALIBRATED_SLOPE_PCT_MEDIAN,route_phase_for_profile is recovered from signed calibrated_slope_pct_median and is descriptive route context only. It must not be interpreted as strict uphill/downhill ability or causality.
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,14,15_1|29_1|30_1|33_1|37_1|38_1|3_1|41_1|42_1|43_1|44_1|45_1|8_1|9_1,17,0.76949,1.011081,1.328031,0.11175,0.033333,0.029864,0.0,149.588235,153.0,156.0,0.294118,0.117647,0.058824,0.0,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD|STOP_RATIO_OBSERVED,RECOVERED_DOWNHILL_FROM_SIGNED_SLOPE,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",LOWER_ROUTE_LOAD_CONTEXT,DOWNHILL_ROUTE_CONTEXT,UNKNOWN,CALIBRATED_SLOPE_PCT_MEDIAN,route_phase_for_profile is recovered from signed calibrated_slope_pct_median and is descriptive route context only. It must not be interpreted as strict uphill/downhill ability or causality.
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,7,28_1|30_1|38_1|40_1|44_1|45_1|46_1,17,0.962144,1.262235,1.848738,0.025209,0.0,0.0,0.0,148.058824,151.0,153.5,0.294118,0.0,0.0,0.0,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,SPEED_BELOW_LOW_SPEED_THRESHOLD,RECOVERED_LOW_SLOPE_OR_MIXED_FROM_SIGNED_SLOPE,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",LOWER_ROUTE_LOAD_CONTEXT,LOW_SLOPE_OR_MIXED_ROUTE_CONTEXT,UNKNOWN,CALIBRATED_SLOPE_PCT_MEDIAN,route_phase_for_profile is recovered from signed calibrated_slope_pct_median and is descriptive route context only. It must not be interpreted as strict uphill/downhill ability or causality.
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,24,13_1|14_1|15_1|16_1|20_1|23_1|28_1|29_1|33_1|35_1|36_1|37_1|38_1|3_1|40_1|41_1|42_1|43_1|44_1|45_1|46_1|48_1|8_1|9_1,374,0.720859,0.891976,1.097065,0.096961,0.042572,0.009396,0.0,142.863636,145.0,152.0,0.125668,0.09893,0.037433,0.0,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD|STOP_RATIO_OBSERVED,ROUTE_PHASE_RECOVERY_REVIEW_REQUIRED,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",LOWER_ROUTE_LOAD_CONTEXT,SLOPE_MISSING_REVIEW_REQUIRED,UNKNOWN,CALIBRATED_SLOPE_PCT_MEDIAN_MISSING,route_phase_for_profile is recovered from signed calibrated_slope_pct_median and is descriptive route context only. It must not be interpreted as strict uphill/downhill ability or causality.
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,22,14_1|16_1|20_1|23_1|28_1|29_1|30_1|33_1|35_1|36_1|37_1|38_1|3_1|40_1|41_1|42_1|43_1|45_1|46_1|48_1|8_1|9_1,62,0.472978,0.763325,1.002772,0.12572,0.093824,0.081889,0.0,138.225806,139.0,144.0,0.129032,0.096774,0.16129,0.177419,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD|STOP_RATIO_OBSERVED,RECOVERED_UPHILL_FROM_SIGNED_SLOPE,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",MODERATE_ROUTE_LOAD_CONTEXT,UPHILL_ROUTE_CONTEXT,UNKNOWN,CALIBRATED_SLOPE_PCT_MEDIAN,route_phase_for_profile is recovered from signed calibrated_slope_pct_median and is descriptive route context only. It must not be interpreted as strict uphill/downhill ability or causality.
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,24,14_1|15_1|16_1|20_1|23_1|28_1|29_1|30_1|33_1|35_1|36_1|37_1|38_1|3_1|40_1|41_1|42_1|43_1|44_1|45_1|46_1|48_1|8_1|9_1,95,0.58188,0.860257,1.07257,0.136762,0.083333,0.004116,0.0,142.531579,144.0,152.0,0.157895,0.147368,0.021053,0.178947,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD|STOP_RATIO_OBSERVED,RECOVERED_DOWNHILL_FROM_SIGNED_SLOPE,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",MODERATE_ROUTE_LOAD_CONTEXT,DOWNHILL_ROUTE_CONTEXT,UNKNOWN,CALIBRATED_SLOPE_PCT_MEDIAN,route_phase_for_profile is recovered from signed calibrated_slope_pct_median and is descriptive route context only. It must not be interpreted as strict uphill/downhill ability or causality.
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,23,13_1|14_1|15_1|16_1|20_1|23_1|28_1|29_1|30_1|33_1|35_1|36_1|37_1|38_1|3_1|40_1|41_1|42_1|43_1|44_1|45_1|46_1|48_1,61,0.48513,0.799946,0.984138,0.167203,0.125,0.077093,0.0,138.196721,136.5,143.5,0.163934,0.180328,0.147541,0.065574,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD|STOP_RATIO_OBSERVED,RECOVERED_LOW_SLOPE_OR_MIXED_FROM_SIGNED_SLOPE,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",MODERATE_ROUTE_LOAD_CONTEXT,LOW_SLOPE_OR_MIXED_ROUTE_CONTEXT,UNKNOWN,CALIBRATED_SLOPE_PCT_MEDIAN,route_phase_for_profile is recovered from signed calibrated_slope_pct_median and is descriptive route context only. It must not be interpreted as strict uphill/downhill ability or causality.
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,24,13_1|14_1|15_1|16_1|20_1|23_1|28_1|29_1|33_1|35_1|36_1|37_1|38_1|3_1|40_1|41_1|42_1|43_1|44_1|45_1|46_1|48_1|8_1|9_1,702,0.461421,0.602723,0.763115,0.201312,0.148546,0.009829,0.0,148.587607,151.75,160.0,0.299145,0.24359,0.048433,0.648148,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD|STOP_RATIO_OBSERVED,ROUTE_PHASE_RECOVERY_REVIEW_REQUIRED,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",MODERATE_ROUTE_LOAD_CONTEXT,SLOPE_MISSING_REVIEW_REQUIRED,UNKNOWN,CALIBRATED_SLOPE_PCT_MEDIAN_MISSING,route_phase_for_profile is recovered from signed calibrated_slope_pct_median and is descriptive route context only. It must not be interpreted as strict uphill/downhill ability or causality.
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,25,13_1|14_1|15_1|16_1|20_1|23_1|28_1|29_1|30_1|33_1|35_1|36_1|37_1|38_1|3_1|40_1|41_1|42_1|43_1|44_1|45_1|46_1|48_1|8_1|9_1,286,0.320205,0.502827,0.704335,0.244586,0.177111,0.021004,0.0,146.286713,149.75,156.5,0.353147,0.377622,0.06993,0.646853,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD|STOP_RATIO_OBSERVED,RECOVERED_UPHILL_FROM_SIGNED_SLOPE,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",HIGH_ROUTE_LOAD_CONTEXT,UPHILL_ROUTE_CONTEXT,UNKNOWN,CALIBRATED_SLOPE_PCT_MEDIAN,route_phase_for_profile is recovered from signed calibrated_slope_pct_median and is descriptive route context only. It must not be interpreted as strict uphill/downhill ability or causality.
qixing_lengshuikeng_activity_group_full25,ACTIVITY_GROUP,qixing_lengshuikeng,25,13_1|14_1|15_1|16_1|20_1|23_1|28_1|29_1|30_1|33_1|35_1|36_1|37_1|38_1|3_1|40_1|41_1|42_1|43_1|44_1|45_1|46_1|48_1|8_1|9_1,386,0.376708,0.56063,0.794962,0.221435,0.164245,0.007521,0.0,146.194301,149.0,157.0,0.331606,0.30829,0.025907,0.645078,1.0,MOVEMENT_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN|SLOPE_REVIEW_PRESENT,LOW_SPEED_RATIO_HIGH|SPEED_BELOW_LOW_SPEED_THRESHOLD|STOP_RATIO_OBSERVED,RECOVERED_DOWNHILL_FROM_SIGNED_SLOPE,"Descriptive CH6.5.1 personal/activity-group behavior profile only. This evidence summarizes historical route-window behavior under route-load context bands and recovered route-context phases. It is not an ability score, ability rank, ability class, THCI score, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality result. Weather context is descriptive only and missing weather is not zero-filled.",HIGH_ROUTE_LOAD_CONTEXT,DOWNHILL_ROUTE_CONTEXT,UNKNOWN,CALIBRATED_SLOPE_PCT_MEDIAN,route_phase_for_profile is recovered from signed calibrated_slope_pct_median and is descriptive route context only. It must not be interpreted as strict uphill/downhill ability or causality.
