profile_id,route_folder,activity_id_short,windows_n,weather_context_available_ratio,conservative_weather_review_required,behavior_weather_context_review_required,weather_context_classes_observed,weather_adjustment_flags_observed,conservative_planning_weather_flags_observed,planning_weather_review_flags,planning_weather_review_boundary
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,13_1,80,1.0,True,True,HEAT_HUMIDITY_REVIEW_CONTEXT,UV_HIGH_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID|UV_EXPOSURE_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,14_1,84,1.0,True,True,HEAT_HUMIDITY_REVIEW_CONTEXT,UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,BEHAVIOR_RESPONSE_UNDER_WEATHER_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,15_1,81,1.0,True,True,HEAT_HUMIDITY_REVIEW_CONTEXT,UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,BEHAVIOR_RESPONSE_UNDER_WEATHER_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,16_1,83,1.0,True,True,HEAT_HUMIDITY_REVIEW_CONTEXT,UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,BEHAVIOR_RESPONSE_UNDER_WEATHER_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,20_1,79,1.0,True,True,HEAT_HUMIDITY_REVIEW_CONTEXT,UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,BEHAVIOR_RESPONSE_UNDER_WEATHER_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,23_1,83,1.0,True,True,HEAT_HUMIDITY_REVIEW_CONTEXT,UV_HIGH_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID|UV_EXPOSURE_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,28_1,84,1.0,True,True,HEAT_HUMIDITY_REVIEW_CONTEXT,UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,BEHAVIOR_RESPONSE_UNDER_WEATHER_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,29_1,84,1.0,True,True,RAIN_WIND_EXPOSURE_REVIEW_CONTEXT,RAIN_OBSERVED_CONTEXT|UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID|RAIN_EXPOSURE_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,30_1,82,1.0,True,True,HEAT_HUMIDITY_REVIEW_CONTEXT,UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,BEHAVIOR_RESPONSE_UNDER_WEATHER_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,33_1,81,1.0,True,True,HEAT_HUMIDITY_REVIEW_CONTEXT,UV_HIGH_CONTEXT|VERY_HUMID_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|UV_EXPOSURE_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled."
