profile_id,route_folder,activity_id_short,readiness_review_gate_status,readiness_review_gate_flags,windows_n,route_load_context_bands_observed,route_phases_observed,weather_context_classes_observed,high_or_very_high_route_load_ratio,uphill_high_route_load_ratio,route_load_behavior_candidate_window_ratio,conservative_weather_review_required_ratio,behavior_weather_context_review_required_ratio,ch6_8_readiness_join_status,ch6_8_readiness_context_flags,weather_adjustment_flags_observed,conservative_planning_weather_flags_observed,method_note,interpretation_boundary
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,13_1,READINESS_REVIEW_GATE_WEATHER_BEHAVIOR_AND_CH6_8_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_CONTEXT_REVIEW_REQUIRED|CH6_8_READINESS_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED|HIGH_ROUTE_LOAD_CONTEXT_PRESENT|ROUTE_LOAD_BEHAVIOR_RESPONSE_WINDOWS_PRESENT|UPHILL_HIGH_ROUTE_LOAD_CONTEXT_PRESENT,80,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT,DOWNHILL_ROUTE_CONTEXT|LOW_SLOPE_OR_MIXED_ROUTE_CONTEXT|SLOPE_MISSING_REVIEW_REQUIRED|UPHILL_ROUTE_CONTEXT,HEAT_HUMIDITY_REVIEW_CONTEXT,0.325,0.175,0.475,1.0,0.475,READINESS_JOINED_BY_ACTIVITY,"0.5125|13_1 已有完成紀錄（138.3 min, middle group），但早期檢核區段存在較高 HR effort 或高負荷反應，建議採早期狀態檢核與保守配速。|41.0|92.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONFIRMED_HR_RECOVERY_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_REVIEW_REQUIRED|HIGH_HR_PAUSE_WITHOUT_RECOVERY_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|PLANNING_REVIEW_WINDOWS_PRESENT|ROUTE_CORE_RECOVERY_AND_HIGH_HR_NO_RECOVERY_BOTH_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED",UV_HIGH_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID|UV_EXPOSURE_REVIEW_REQUIRED,"The review gate is a descriptive evidence join across CH6.5.1 behavior profile, CH6.5.2 weather-context review, and CH6.8 readiness review. It creates review flags and grouped summaries only.","Descriptive CH6.5.3 route-load × personal-performance readiness review gate only. This layer fuses behavior, weather, and readiness review context, but it is not ability scoring, not ranking, not classing, not THCI, not radar, not final hiking risk scoring, not route suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,14_1,READINESS_REVIEW_GATE_WEATHER_BEHAVIOR_AND_CH6_8_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_CONTEXT_REVIEW_REQUIRED|CH6_8_READINESS_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED|HIGH_ROUTE_LOAD_CONTEXT_PRESENT|ROUTE_LOAD_BEHAVIOR_RESPONSE_WINDOWS_PRESENT|UPHILL_HIGH_ROUTE_LOAD_CONTEXT_PRESENT,84,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT,DOWNHILL_ROUTE_CONTEXT|LOW_SLOPE_OR_MIXED_ROUTE_CONTEXT|SLOPE_MISSING_REVIEW_REQUIRED|UPHILL_ROUTE_CONTEXT,HEAT_HUMIDITY_REVIEW_CONTEXT,0.27381,0.083333,0.333333,1.0,0.333333,READINESS_JOINED_BY_ACTIVITY,"0.5119047619047619|14_1 已有完成紀錄（119.7 min, fast group），但早期檢核區段存在較高 HR effort 或高負荷反應，建議採早期狀態檢核與保守配速。|43.0|65.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONFIRMED_HR_RECOVERY_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|CONSERVATIVE_PLANNING_WINDOWS_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_REVIEW_REQUIRED|HIGH_HR_PAUSE_WITHOUT_RECOVERY_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|PLANNING_REVIEW_WINDOWS_PRESENT|ROUTE_CORE_RECOVERY_AND_HIGH_HR_NO_RECOVERY_BOTH_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED",UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,"The review gate is a descriptive evidence join across CH6.5.1 behavior profile, CH6.5.2 weather-context review, and CH6.8 readiness review. It creates review flags and grouped summaries only.","Descriptive CH6.5.3 route-load × personal-performance readiness review gate only. This layer fuses behavior, weather, and readiness review context, but it is not ability scoring, not ranking, not classing, not THCI, not radar, not final hiking risk scoring, not route suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,15_1,READINESS_REVIEW_GATE_WEATHER_BEHAVIOR_AND_CH6_8_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_CONTEXT_REVIEW_REQUIRED|CH6_8_READINESS_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED|HIGH_ROUTE_LOAD_CONTEXT_PRESENT|ROUTE_LOAD_BEHAVIOR_RESPONSE_WINDOWS_PRESENT|UPHILL_HIGH_ROUTE_LOAD_CONTEXT_PRESENT,81,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT,DOWNHILL_ROUTE_CONTEXT|LOW_SLOPE_OR_MIXED_ROUTE_CONTEXT|SLOPE_MISSING_REVIEW_REQUIRED|UPHILL_ROUTE_CONTEXT,HEAT_HUMIDITY_REVIEW_CONTEXT,0.222222,0.135802,0.432099,1.0,0.432099,READINESS_JOINED_BY_ACTIVITY,"0.4691358024691358|15_1 已有完成紀錄（115.9 min, fast group），具完成可行性 evidence，但高負荷、HR effort、停留恢復或規劃 caution evidence 顯示仍建議保守配速。|38.0|53.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|CONSERVATIVE_PLANNING_WINDOWS_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|HR_RECOVERY_EVIDENCE_LIMITED|ONLY_OFF_ROUTE_OR_TERMINAL_EVENTS|PLANNING_REVIEW_WINDOWS_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED",UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,"The review gate is a descriptive evidence join across CH6.5.1 behavior profile, CH6.5.2 weather-context review, and CH6.8 readiness review. It creates review flags and grouped summaries only.","Descriptive CH6.5.3 route-load × personal-performance readiness review gate only. This layer fuses behavior, weather, and readiness review context, but it is not ability scoring, not ranking, not classing, not THCI, not radar, not final hiking risk scoring, not route suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,16_1,READINESS_REVIEW_GATE_WEATHER_BEHAVIOR_AND_CH6_8_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_CONTEXT_REVIEW_REQUIRED|CH6_8_READINESS_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED|HIGH_ROUTE_LOAD_CONTEXT_PRESENT|ROUTE_LOAD_BEHAVIOR_RESPONSE_WINDOWS_PRESENT|UPHILL_HIGH_ROUTE_LOAD_CONTEXT_PRESENT,83,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT,DOWNHILL_ROUTE_CONTEXT|LOW_SLOPE_OR_MIXED_ROUTE_CONTEXT|SLOPE_MISSING_REVIEW_REQUIRED|UPHILL_ROUTE_CONTEXT,HEAT_HUMIDITY_REVIEW_CONTEXT,0.289157,0.096386,0.493976,1.0,0.493976,READINESS_JOINED_BY_ACTIVITY,"0.5421686746987951|117.0|16_1 已有完成紀錄（169.8 min, slow group），具完成可行性 evidence，但高負荷、HR effort、停留恢復或規劃 caution evidence 顯示仍建議保守配速。|45.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONFIRMED_HR_RECOVERY_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|HIGH_HR_PAUSE_WITHOUT_RECOVERY_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|PLANNING_REVIEW_WINDOWS_PRESENT|ROUTE_CORE_RECOVERY_AND_HIGH_HR_NO_RECOVERY_BOTH_PRESENT|SLOW_GROUP_COMPLETION_CONTEXT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED",UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,"The review gate is a descriptive evidence join across CH6.5.1 behavior profile, CH6.5.2 weather-context review, and CH6.8 readiness review. It creates review flags and grouped summaries only.","Descriptive CH6.5.3 route-load × personal-performance readiness review gate only. This layer fuses behavior, weather, and readiness review context, but it is not ability scoring, not ranking, not classing, not THCI, not radar, not final hiking risk scoring, not route suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,20_1,READINESS_REVIEW_GATE_WEATHER_BEHAVIOR_AND_CH6_8_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_CONTEXT_REVIEW_REQUIRED|CH6_8_READINESS_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED|HIGH_ROUTE_LOAD_CONTEXT_PRESENT|ROUTE_LOAD_BEHAVIOR_RESPONSE_WINDOWS_PRESENT|UPHILL_HIGH_ROUTE_LOAD_CONTEXT_PRESENT,79,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT,DOWNHILL_ROUTE_CONTEXT|LOW_SLOPE_OR_MIXED_ROUTE_CONTEXT|SLOPE_MISSING_REVIEW_REQUIRED|UPHILL_ROUTE_CONTEXT,HEAT_HUMIDITY_REVIEW_CONTEXT,0.21519,0.063291,0.481013,1.0,0.481013,READINESS_JOINED_BY_ACTIVITY,"0.5569620253164557|20_1 已有完成紀錄（149.9 min, middle group），但早期檢核區段存在較高 HR effort 或高負荷反應，建議採早期狀態檢核與保守配速。|44.0|78.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_REVIEW_REQUIRED|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|HR_RECOVERY_EVIDENCE_LIMITED|ONLY_OFF_ROUTE_OR_TERMINAL_EVENTS|PLANNING_REVIEW_WINDOWS_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED",UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,"The review gate is a descriptive evidence join across CH6.5.1 behavior profile, CH6.5.2 weather-context review, and CH6.8 readiness review. It creates review flags and grouped summaries only.","Descriptive CH6.5.3 route-load × personal-performance readiness review gate only. This layer fuses behavior, weather, and readiness review context, but it is not ability scoring, not ranking, not classing, not THCI, not radar, not final hiking risk scoring, not route suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,23_1,READINESS_REVIEW_GATE_WEATHER_BEHAVIOR_AND_CH6_8_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_CONTEXT_REVIEW_REQUIRED|CH6_8_READINESS_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED|HIGH_ROUTE_LOAD_CONTEXT_PRESENT|ROUTE_LOAD_BEHAVIOR_RESPONSE_WINDOWS_PRESENT|UPHILL_HIGH_ROUTE_LOAD_CONTEXT_PRESENT,83,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT,DOWNHILL_ROUTE_CONTEXT|LOW_SLOPE_OR_MIXED_ROUTE_CONTEXT|SLOPE_MISSING_REVIEW_REQUIRED|UPHILL_ROUTE_CONTEXT,HEAT_HUMIDITY_REVIEW_CONTEXT,0.373494,0.192771,0.53012,1.0,0.53012,READINESS_JOINED_BY_ACTIVITY,"0.5783132530120482|23_1 已有完成紀錄（188.4 min, slow group），但早期檢核區段存在較高 HR effort 或高負荷反應，建議採早期狀態檢核與保守配速。|48.0|92.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_REVIEW_REQUIRED|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|HR_RECOVERY_EVIDENCE_LIMITED|ONLY_OFF_ROUTE_OR_TERMINAL_EVENTS|PLANNING_REVIEW_WINDOWS_PRESENT|SLOW_GROUP_COMPLETION_CONTEXT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED",UV_HIGH_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID|UV_EXPOSURE_REVIEW_REQUIRED,"The review gate is a descriptive evidence join across CH6.5.1 behavior profile, CH6.5.2 weather-context review, and CH6.8 readiness review. It creates review flags and grouped summaries only.","Descriptive CH6.5.3 route-load × personal-performance readiness review gate only. This layer fuses behavior, weather, and readiness review context, but it is not ability scoring, not ranking, not classing, not THCI, not radar, not final hiking risk scoring, not route suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,28_1,READINESS_REVIEW_GATE_WEATHER_BEHAVIOR_AND_CH6_8_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_CONTEXT_REVIEW_REQUIRED|CH6_8_READINESS_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED|HIGH_ROUTE_LOAD_CONTEXT_PRESENT|ROUTE_LOAD_BEHAVIOR_RESPONSE_WINDOWS_PRESENT|UPHILL_HIGH_ROUTE_LOAD_CONTEXT_PRESENT,84,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT,DOWNHILL_ROUTE_CONTEXT|LOW_SLOPE_OR_MIXED_ROUTE_CONTEXT|SLOPE_MISSING_REVIEW_REQUIRED|UPHILL_ROUTE_CONTEXT,HEAT_HUMIDITY_REVIEW_CONTEXT,0.404762,0.083333,0.47619,1.0,0.47619,READINESS_JOINED_BY_ACTIVITY,"0.5714285714285714|115.0|28_1 已有完成紀錄（143.7 min, middle group），具完成可行性 evidence，但高負荷、HR effort、停留恢復或規劃 caution evidence 顯示仍建議保守配速。|48.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONFIRMED_HR_RECOVERY_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|HIGH_HR_PAUSE_WITHOUT_RECOVERY_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|PLANNING_REVIEW_WINDOWS_PRESENT|ROUTE_CORE_RECOVERY_AND_HIGH_HR_NO_RECOVERY_BOTH_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED",UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,"The review gate is a descriptive evidence join across CH6.5.1 behavior profile, CH6.5.2 weather-context review, and CH6.8 readiness review. It creates review flags and grouped summaries only.","Descriptive CH6.5.3 route-load × personal-performance readiness review gate only. This layer fuses behavior, weather, and readiness review context, but it is not ability scoring, not ranking, not classing, not THCI, not radar, not final hiking risk scoring, not route suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,29_1,READINESS_REVIEW_GATE_WEATHER_BEHAVIOR_AND_CH6_8_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_CONTEXT_REVIEW_REQUIRED|CH6_8_READINESS_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED|HIGH_ROUTE_LOAD_CONTEXT_PRESENT|ROUTE_LOAD_BEHAVIOR_RESPONSE_WINDOWS_PRESENT|UPHILL_HIGH_ROUTE_LOAD_CONTEXT_PRESENT,84,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT,DOWNHILL_ROUTE_CONTEXT|LOW_SLOPE_OR_MIXED_ROUTE_CONTEXT|SLOPE_MISSING_REVIEW_REQUIRED|UPHILL_ROUTE_CONTEXT,RAIN_WIND_EXPOSURE_REVIEW_CONTEXT,0.392857,0.083333,0.464286,1.0,0.464286,READINESS_JOINED_BY_ACTIVITY,"0.5238095238095238|29_1 已有完成紀錄（126.8 min, fast group），具完成可行性 evidence，但高負荷、HR effort、停留恢復或規劃 caution evidence 顯示仍建議保守配速。|44.0|62.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|CONSERVATIVE_PLANNING_WINDOWS_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|HR_RECOVERY_EVIDENCE_LIMITED|ONLY_OFF_ROUTE_OR_TERMINAL_EVENTS|PLANNING_REVIEW_WINDOWS_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED",RAIN_OBSERVED_CONTEXT|UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID|RAIN_EXPOSURE_REVIEW_REQUIRED,"The review gate is a descriptive evidence join across CH6.5.1 behavior profile, CH6.5.2 weather-context review, and CH6.8 readiness review. It creates review flags and grouped summaries only.","Descriptive CH6.5.3 route-load × personal-performance readiness review gate only. This layer fuses behavior, weather, and readiness review context, but it is not ability scoring, not ranking, not classing, not THCI, not radar, not final hiking risk scoring, not route suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,30_1,READINESS_REVIEW_GATE_WEATHER_BEHAVIOR_AND_CH6_8_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_CONTEXT_REVIEW_REQUIRED|CH6_8_READINESS_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED|HIGH_ROUTE_LOAD_CONTEXT_PRESENT|ROUTE_LOAD_BEHAVIOR_RESPONSE_WINDOWS_PRESENT|UPHILL_HIGH_ROUTE_LOAD_CONTEXT_PRESENT,82,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT,DOWNHILL_ROUTE_CONTEXT|LOW_SLOPE_OR_MIXED_ROUTE_CONTEXT|UPHILL_ROUTE_CONTEXT,HEAT_HUMIDITY_REVIEW_CONTEXT,0.780488,0.414634,0.47561,1.0,0.47561,READINESS_JOINED_BY_ACTIVITY,"0.4878048780487805|30_1 已有完成紀錄（126.8 min, fast group），但早期檢核區段存在較高 HR effort 或高負荷反應，建議採早期狀態檢核與保守配速。|40.0|62.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|CONSERVATIVE_PLANNING_WINDOWS_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_REVIEW_REQUIRED|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|HR_RECOVERY_EVIDENCE_LIMITED|ONLY_OFF_ROUTE_OR_TERMINAL_EVENTS|PLANNING_REVIEW_WINDOWS_PRESENT|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED",UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,"The review gate is a descriptive evidence join across CH6.5.1 behavior profile, CH6.5.2 weather-context review, and CH6.8 readiness review. It creates review flags and grouped summaries only.","Descriptive CH6.5.3 route-load × personal-performance readiness review gate only. This layer fuses behavior, weather, and readiness review context, but it is not ability scoring, not ranking, not classing, not THCI, not radar, not final hiking risk scoring, not route suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,33_1,READINESS_REVIEW_GATE_WEATHER_BEHAVIOR_AND_CH6_8_REVIEW_REQUIRED,BEHAVIOR_RESPONSE_UNDER_WEATHER_CONTEXT_REVIEW_REQUIRED|CH6_8_READINESS_REVIEW_REQUIRED|CONSERVATIVE_WEATHER_PLANNING_REVIEW_REQUIRED|HIGH_ROUTE_LOAD_CONTEXT_PRESENT|ROUTE_LOAD_BEHAVIOR_RESPONSE_WINDOWS_PRESENT|UPHILL_HIGH_ROUTE_LOAD_CONTEXT_PRESENT,81,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT,DOWNHILL_ROUTE_CONTEXT|LOW_SLOPE_OR_MIXED_ROUTE_CONTEXT|SLOPE_MISSING_REVIEW_REQUIRED|UPHILL_ROUTE_CONTEXT,HEAT_HUMIDITY_REVIEW_CONTEXT,0.308642,0.148148,0.333333,1.0,0.333333,READINESS_JOINED_BY_ACTIVITY,"0.4320987654320987|33_1 已有完成紀錄（109.4 min, fast group），但早期檢核區段存在較高 HR effort 或高負荷反應，建議採早期狀態檢核與保守配速。|35.0|65.0|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|CONSERVATIVE_PACING_RECOMMENDED|CONSERVATIVE_PLANNING_WINDOWS_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_REVIEW_REQUIRED|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|HIGH_ROUTE_LOAD_EXPOSURE_PRESENT|HR_CONTEXT_AVAILABLE|PLANNING_REVIEW_WINDOWS_PRESENT|ROUTE_CORE_RECOVERY_OR_FACILITY_REST_REVIEW_EVENT_PRESENT_UNCLASSIFIED|SPEED_COLUMN_MISSING|WEATHER_CONTEXT_PRESENT|WEATHER_SENSITIVE_REVIEW_REQUIRED",UV_HIGH_CONTEXT|VERY_HUMID_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|UV_EXPOSURE_REVIEW_REQUIRED,"The review gate is a descriptive evidence join across CH6.5.1 behavior profile, CH6.5.2 weather-context review, and CH6.8 readiness review. It creates review flags and grouped summaries only.","Descriptive CH6.5.3 route-load × personal-performance readiness review gate only. This layer fuses behavior, weather, and readiness review context, but it is not ability scoring, not ranking, not classing, not THCI, not radar, not final hiking risk scoring, not route suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality evidence."
