profile_id,route_folder,dimension,dimension_flags,activity_count,activity_id_short_list,interpretation_boundary
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,heart_rate_context,NONE,18,13_1|14_1|16_1|23_1|28_1|29_1|30_1|33_1|35_1|38_1|3_1|40_1|41_1|42_1|43_1|46_1|48_1|9_1,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,heart_rate_context,RELATIVE_HIGH_HR_CONTEXT_MATCH_REVIEW,7,15_1|20_1|36_1|37_1|44_1|45_1|8_1,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,movement_behavior,NONE,13,13_1|14_1|15_1|20_1|29_1|30_1|33_1|35_1|36_1|3_1|40_1|41_1|45_1,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,movement_behavior,RELATIVE_HIGH_LOW_SPEED_RATIO_MATCH_REVIEW|RELATIVE_HIGH_STOPPED_RATIO_MATCH_REVIEW|RELATIVE_SLOWER_SPEED_MATCH_REVIEW,4,42_1|43_1|46_1|48_1,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,movement_behavior,RELATIVE_HIGH_STOPPED_RATIO_MATCH_REVIEW,3,16_1|37_1|44_1,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,movement_behavior,RELATIVE_HIGH_LOW_SPEED_RATIO_MATCH_REVIEW,2,28_1|8_1,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,movement_behavior,RELATIVE_SLOWER_SPEED_MATCH_REVIEW,2,23_1|38_1,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,movement_behavior,RELATIVE_HIGH_LOW_SPEED_RATIO_MATCH_REVIEW|RELATIVE_SLOWER_SPEED_MATCH_REVIEW,1,9_1,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,route_load_exposure,NONE,14,14_1|15_1|16_1|20_1|28_1|29_1|35_1|36_1|37_1|3_1|40_1|41_1|44_1|8_1,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,route_load_exposure,RELATIVE_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_MATCH_REVIEW,4,42_1|43_1|48_1|9_1,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
