activity_id_short,study_population_status,population_gate_pass,route_continuity_gate_pass,positive_delta_artifact_guard_pass,horizontal_descriptive_consumption_allowed,vertical_descriptive_consumption_allowed,hr_context_consumption_allowed,consumption_status,window_start_elapsed_sec,window_end_elapsed_sec,duration_sec,route_dist_delta_m,route_continuity_valid,positive_delta_artifact_suspect,horizontal_window_status,horizontal_300s_route_speed_mps,vertical_window_status,vertical_300s_gain_calibrated_m,vertical_300s_vam_mph,hr_window_status,hr_valid_ratio,hr_p90_bpm,interpretation_boundary
13_1,RADAR_BASELINE_ACTIVITY,True,False,True,False,False,False,BLOCKED_ROUTE_CONTINUITY_GATE,0.0,300.0,300.0,4004.0,False,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_ROUTE_CONTINUITY,,INSUFFICIENT_VERTICAL_EVIDENCE_ROUTE_CONTINUITY,1.922,,VALID_HR_WINDOW,1.0,141.0,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,RADAR_BASELINE_ACTIVITY,True,True,True,False,False,False,RETAIN_NONCONSUMABLE_DESCRIPTIVE_CONTEXT,30.0,330.0,300.0,192.0,True,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_LOW_HORIZONTAL_RATIO,,INSUFFICIENT_VERTICAL_EVIDENCE_GAIN_TOO_LOW,4.239,,VALID_HR_WINDOW,1.0,146.0,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,RADAR_BASELINE_ACTIVITY,True,True,True,False,False,False,RETAIN_NONCONSUMABLE_DESCRIPTIVE_CONTEXT,60.0,360.0,300.0,195.0,True,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_LOW_HORIZONTAL_RATIO,,INSUFFICIENT_VERTICAL_EVIDENCE_GAIN_TOO_LOW,4.239,,VALID_HR_WINDOW,1.0,147.0,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,RADAR_BASELINE_ACTIVITY,True,False,True,False,False,False,BLOCKED_ROUTE_CONTINUITY_GATE,90.0,390.0,300.0,-175.0,False,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_ROUTE_CONTINUITY,,INSUFFICIENT_VERTICAL_EVIDENCE_ROUTE_CONTINUITY,4.239,,VALID_HR_WINDOW,1.0,151.0,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,RADAR_BASELINE_ACTIVITY,True,False,True,False,False,False,BLOCKED_ROUTE_CONTINUITY_GATE,120.0,420.0,300.0,3864.0,False,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_ROUTE_CONTINUITY,,INSUFFICIENT_VERTICAL_EVIDENCE_ROUTE_CONTINUITY,4.239,,VALID_HR_WINDOW,1.0,153.0,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,RADAR_BASELINE_ACTIVITY,True,False,True,False,False,False,BLOCKED_ROUTE_CONTINUITY_GATE,150.0,450.0,300.0,-3831.0,False,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_ROUTE_CONTINUITY,,INSUFFICIENT_VERTICAL_EVIDENCE_ROUTE_CONTINUITY,4.239,,VALID_HR_WINDOW,1.0,156.0,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,RADAR_BASELINE_ACTIVITY,True,True,True,False,False,False,RETAIN_NONCONSUMABLE_DESCRIPTIVE_CONTEXT,180.0,480.0,300.0,148.0,True,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_LOW_HORIZONTAL_RATIO,,INSUFFICIENT_VERTICAL_EVIDENCE_GAIN_TOO_LOW,4.239,,VALID_HR_WINDOW,1.0,157.0,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,RADAR_BASELINE_ACTIVITY,True,False,True,False,False,False,BLOCKED_ROUTE_CONTINUITY_GATE,210.0,510.0,300.0,-3749.0,False,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_ROUTE_CONTINUITY,,INSUFFICIENT_VERTICAL_EVIDENCE_ROUTE_CONTINUITY,4.239,,VALID_HR_WINDOW,1.0,157.0,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,RADAR_BASELINE_ACTIVITY,True,True,True,False,False,False,RETAIN_NONCONSUMABLE_DESCRIPTIVE_CONTEXT,240.0,540.0,300.0,147.0,True,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_LOW_HORIZONTAL_RATIO,,INSUFFICIENT_VERTICAL_EVIDENCE_GAIN_TOO_LOW,4.239,,VALID_HR_WINDOW,1.0,158.0,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,RADAR_BASELINE_ACTIVITY,True,False,True,False,False,False,BLOCKED_ROUTE_CONTINUITY_GATE,270.0,570.0,300.0,-152.0,False,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_ROUTE_CONTINUITY,,INSUFFICIENT_VERTICAL_EVIDENCE_ROUTE_CONTINUITY,2.317,,VALID_HR_WINDOW,1.0,161.0,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
