route_folder,case_id,route_id,candidate_feature_count,heuristic_fork_like_candidate_count,heuristic_decision_point_like_candidate_count,governed_fork_candidate_count,governed_decision_point_candidate_count,fork_candidate_count,decision_point_candidate_count,wrong_branch_exposure_candidate_count,guidepost_context_count,facility_context_count,source_confidence,inventory_status,source_gap_reason
,ib0d_v1_3b_contract_qa_convergence_audit.csv,ib0d_v1_3b_contract_qa_convergence_audit.csv,3,0,0,0,0,0,0,0,0,0,SOURCE_GAP,NO_GOVERNED_FORK_DECISION_POINT_INVENTORY,candidate context lacks governed topology/node-degree route fork inventory
,ib0_route_match_v1_3b_stage_convergence_audit.csv,ib0_route_match_v1_3b_stage_convergence_audit.csv,1,0,0,0,0,0,0,0,0,1,SOURCE_GAP,NO_GOVERNED_FORK_DECISION_POINT_INVENTORY,candidate context lacks governed topology/node-degree route fork inventory
juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_qa.csv,juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_qa.csv,juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_qa.csv,1,0,0,0,0,0,0,0,1,0,SOURCE_GAP,NO_GOVERNED_FORK_DECISION_POINT_INVENTORY,candidate context lacks governed topology/node-degree route fork inventory
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_qa.csv,qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_qa.csv,qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_ib0a2_route_axis_anchor_component_qa.csv,6,6,6,0,0,6,6,0,0,0,SOURCE_GAP,NO_GOVERNED_FORK_DECISION_POINT_INVENTORY,candidate context lacks governed topology/node-degree route fork inventory
juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_control_points_projected_to_osm_topk.csv,juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_control_points_projected_to_osm_topk.csv,juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_control_points_projected_to_osm_topk.csv,5,0,0,0,0,0,0,0,5,0,SOURCE_GAP,NO_GOVERNED_FORK_DECISION_POINT_INVENTORY,candidate context lacks governed topology/node-degree route fork inventory
juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_control_points_used.csv,juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_control_points_used.csv,juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_control_points_used.csv,1,0,0,0,0,0,0,0,1,0,SOURCE_GAP,NO_GOVERNED_FORK_DECISION_POINT_INVENTORY,candidate context lacks governed topology/node-degree route fork inventory
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_control_points_projected_to_osm_topk.csv,qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_control_points_projected_to_osm_topk.csv,qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_control_points_projected_to_osm_topk.csv,35,35,35,0,0,35,35,0,0,0,SOURCE_GAP,NO_GOVERNED_FORK_DECISION_POINT_INVENTORY,candidate context lacks governed topology/node-degree route fork inventory
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_control_points_used.csv,qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_control_points_used.csv,qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_control_points_used.csv,7,7,7,0,0,7,7,0,0,0,SOURCE_GAP,NO_GOVERNED_FORK_DECISION_POINT_INVENTORY,candidate context lacks governed topology/node-degree route fork inventory
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_route_definition_control_points_used_ib0_candidates.csv,qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_route_definition_control_points_used_ib0_candidates.csv,qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_route_definition_control_points_used_ib0_candidates.csv,21,9,9,0,0,9,9,0,0,0,SOURCE_GAP,NO_GOVERNED_FORK_DECISION_POINT_INVENTORY,candidate context lacks governed topology/node-degree route fork inventory
juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_route_definition_control_points_used_ib0_candidates.csv,juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_route_definition_control_points_used_ib0_candidates.csv,juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_route_definition_control_points_used_ib0_candidates.csv,1,0,0,0,0,0,0,0,1,0,SOURCE_GAP,NO_GOVERNED_FORK_DECISION_POINT_INVENTORY,candidate context lacks governed topology/node-degree route fork inventory
juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_control_points_for_ib0b.csv,juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_control_points_for_ib0b.csv,juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_control_points_for_ib0b.csv,1,0,0,0,0,0,0,0,1,0,SOURCE_GAP,NO_GOVERNED_FORK_DECISION_POINT_INVENTORY,candidate context lacks governed topology/node-degree route fork inventory
