source_path,exists,row_count,candidate_columns,source_role,usable_for_fork_inventory,usable_for_decision_point_inventory,rejection_reason,notes
outputs\ib0_candidate_route_pool_v1_qixing_lengshuikeng_rc\_candidate_summary\qixing_lengshuikeng_candidate_route_pool_summary.csv,True,1,case_id|route_folder|contract_version|total_candidate_ways|selected_candidate_ways|candidate_route_points_rows|non_linestring_geometry_n|empty_coordinates_n|geometry_type_counts|selected_route_role_counts|selected_highway_norm_counts|top_10_selected_osm_way_ids_by_match_score|candidate_way_pool_csv|candidate_way_pool_geojson|candidate_route_points_csv|source_geojson|source_stage,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0_candidate_route_pool_v1_qixing_lengshuikeng_rc\qixing_lengshuikeng\candidate_route_points.csv,True,1402,case_id|route_folder|candidate_route_id|candidate_way_id|osm_way_id|route_point_index|route_dist_m|lat|lon|segment_len_m|bearing_deg|bearing_change_deg|name|highway|highway_norm|route_role|match_score|selected|source_geojson|source_stage,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0_candidate_route_pool_v1_qixing_lengshuikeng_rc\qixing_lengshuikeng\candidate_way_pool.csv,True,63,case_id|route_folder|candidate_way_id|osm_way_id|name|highway|highway_norm|route_role|segment_len_m|distance_to_gpx_m|overlap_len_m|overlap_ratio|semantic_score|distance_score|match_score|selected|geometry_type|coordinates_count|source_geojson|source_stage,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_gpx_osm_match_output\juansi_waterfall_fitcsv_20260503_gpx_osm_match_summary.csv,True,8,pipeline_stage|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|gpx_source|osm_source|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_gpx_osm_match_output\juansi_waterfall_fitcsv_20260503_gpx_osm_matched_pruned_summary.csv,True,7,pipeline_stage|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|gpx_source|osm_source|ib0a_input_source|trail_max_distance_m|trail_min_overlap_ratio|trail_min_match_score|approach_max_distance_m|approach_min_overlap_ratio|approach_min_match_score|other_max_distance_m|other_min_overlap_ratio|other_min_match_score|route_role|highway_norm|matched_n|kept_n|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_gpx_osm_match_output\qixing_xiaoyoukeng_roundtrip_joyhike_gpx_osm_match_summary.csv,True,4,pipeline_stage|route_id|ia1_version|ia1_dataset_id|gpx_source|osm_source|gpx_buffer_fetch_m|gpx_buffer_match_m|max_distance_m|min_overlap_ratio|match_score_threshold|route_role|highway_norm|candidate_n|selected_n|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_gpx_osm_match_output\qixing_xiaoyoukeng_roundtrip_joyhike_gpx_osm_matched_pruned_summary.csv,True,4,pipeline_stage|route_id|ia1_version|ia1_dataset_id|ia1_snapshot_tag|activity_type|activity_source|gpx_source|osm_source|ib0a_input_source|trail_max_distance_m|trail_min_overlap_ratio|trail_min_match_score|approach_max_distance_m|approach_min_overlap_ratio|approach_min_match_score|other_max_distance_m|other_min_overlap_ratio|other_min_match_score|route_role|highway_norm|matched_n|kept_n|mean_distance_to_gpx_m|mean_overlap_ratio|mean_match_score,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0_route_axis_v1_3b_convergence_audit\ib0_route_axis_v1_3b_case_convergence_audit.csv,True,4,case_id|ia1_status|ib0_status|ib0c_status|ib0a_status|ib0a2_status|ib0b_status|ib0d_status|overall_status|blocking_issue|warning_note|ib1_ready|official_ib1_input_root,other_context_not_fork_inventory,False,False,no_governed_fork_topology_fields_found,"No node-degree, edge adjacency, or parseable fork/decision-point inventory fields found."
outputs\ib0_route_axis_v1_3b_convergence_audit\ib0_route_axis_v1_3b_stage_convergence_audit.csv,True,8,stage|official_status|official_script|official_input_root_or_files|official_output_root|required_outputs_present|case_coverage_n|case_coverage_expected_n|qa_gate_exists|qa_result_summary|legacy_roots_do_not_use|next_stage_input|handoff_note,other_context_not_fork_inventory,False,False,no_governed_fork_topology_fields_found,"No node-degree, edge adjacency, or parseable fork/decision-point inventory fields found."
outputs\ib0_route_axis_v1_3b_convergence_audit\ib0a2_route_axis_anchor_component_qa_convergence_audit.csv,True,4,case_id|case_dir_exists|qa_csv_exists|pairs_csv_exists|summary_txt_exists|qa_row_count|component_ids|component_count|all_same_component|max_nearest_node_dist_m|route_role_values|control_roles|way_ids|case_status,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
