activity_id_short,participant_id,source_path,window_start_elapsed_sec,window_end_elapsed_sec,duration_sec,sample_count,route_dist_start_m,route_dist_end_m,route_dist_delta_m,route_continuity_valid,horizontal_speed_candidate_mps,vertical_distance_valid,vertical_gain_valid,positive_delta_artifact_suspect,calibrated_elevation_start_m,calibrated_elevation_end_m,vertical_gain_300s_calibrated_m,vertical_gain_300s_sum_positive_delta_m,calibrated_slope_pct_median,standard_slope_pct_median,horizontal_sample_ratio,ascent_sample_ratio,elevation_step_valid_ratio,elevation_artifact_flag,horizontal_300s_window_status,vertical_300s_window_status,horizontal_300s_route_speed_mps,vertical_300s_vam_mph,hr_sample_count,hr_valid_ratio,hr_min_bpm,hr_max_bpm,hr_range_bpm,hr_mean_bpm,hr_median_bpm,hr_p75_bpm,hr_p90_bpm,hr_window_status,hrmax_bpm,hrmax_source,hr_pct_sex_age_est_hrmax_median,hr_pct_sex_age_est_hrmax_p90,hr_zone_sex_age_est,profile_join_status,profile_join_reason,interpretation_boundary
13_1,13,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\13_1\activity_13_1_projected_joined_v2_3_2.csv,0.0,300.0,300.0,301,0.0,4004.0,4004.0,False,13.346666666666666,False,False,False,754.462,787.078,1.922,41.444,57.125,20.00002977324584,0.10299003322259136,0.0033222591362126247,0.0033222591362126247,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_ROUTE_CONTINUITY,INSUFFICIENT_VERTICAL_EVIDENCE_ROUTE_CONTINUITY,,,301,1.0,84.0,146.0,62.0,130.1063122923588,134.0,136.0,141.0,VALID_HR_WINDOW,171.9,FEMALE_209_MINUS_0_7_AGE,77.95229784758581,82.02443280977312,ZONE3_70_80_PCT_HRMAX,PROFILE_JOINED,PARTICIPANT_PROFILE_JOINED,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,13,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\13_1\activity_13_1_projected_joined_v2_3_2.csv,30.0,330.0,300.0,301,11.0,203.0,192.0,True,0.64,True,False,False,755.772,794.834,4.239,44.579,53.8895,23.90240925113858,0.10299003322259136,0.006644518272425249,0.006644518272425249,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_LOW_HORIZONTAL_RATIO,INSUFFICIENT_VERTICAL_EVIDENCE_GAIN_TOO_LOW,,,301,1.0,114.0,148.0,34.0,134.88039867109634,135.0,138.0,146.0,VALID_HR_WINDOW,171.9,FEMALE_209_MINUS_0_7_AGE,78.53403141361255,84.93310063990693,ZONE3_70_80_PCT_HRMAX,PROFILE_JOINED,PARTICIPANT_PROFILE_JOINED,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,13,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\13_1\activity_13_1_projected_joined_v2_3_2.csv,60.0,360.0,300.0,301,24.0,219.0,195.0,True,0.65,True,False,False,757.361,801.766,4.239,46.650000000000006,53.8895,28.29277224657289,0.10299003322259136,0.006644518272425249,0.006644518272425249,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_LOW_HORIZONTAL_RATIO,INSUFFICIENT_VERTICAL_EVIDENCE_GAIN_TOO_LOW,,,301,1.0,127.0,151.0,24.0,137.81727574750832,136.0,142.0,147.0,VALID_HR_WINDOW,171.9,FEMALE_209_MINUS_0_7_AGE,79.11576497963932,85.51483420593368,ZONE3_70_80_PCT_HRMAX,PROFILE_JOINED,PARTICIPANT_PROFILE_JOINED,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,13,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\13_1\activity_13_1_projected_joined_v2_3_2.csv,90.0,390.0,300.0,301,4134.0,3959.0,-175.0,False,-0.5833333333333334,False,False,False,759.356,805.727,4.239,47.889,53.8895,31.70731707316463,0.04983388704318937,0.006644518272425249,0.006644518272425249,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_ROUTE_CONTINUITY,INSUFFICIENT_VERTICAL_EVIDENCE_ROUTE_CONTINUITY,,,301,1.0,131.0,153.0,22.0,140.04651162790697,137.0,147.0,151.0,VALID_HR_WINDOW,171.9,FEMALE_209_MINUS_0_7_AGE,79.69749854566608,87.84176847004072,ZONE3_70_80_PCT_HRMAX,PROFILE_JOINED,PARTICIPANT_PROFILE_JOINED,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,13,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\13_1\activity_13_1_projected_joined_v2_3_2.csv,120.0,420.0,300.0,301,85.0,3949.0,3864.0,False,12.88,False,False,False,761.459,810.141,4.239,50.755,53.8895,36.585365853648,0.0,0.006644518272425249,0.006644518272425249,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_ROUTE_CONTINUITY,INSUFFICIENT_VERTICAL_EVIDENCE_ROUTE_CONTINUITY,,,301,1.0,132.0,157.0,25.0,142.35215946843854,141.0,151.0,153.0,VALID_HR_WINDOW,171.9,FEMALE_209_MINUS_0_7_AGE,82.02443280977312,89.00523560209423,ZONE4_80_90_PCT_HRMAX,PROFILE_JOINED,PARTICIPANT_PROFILE_JOINED,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,13,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\13_1\activity_13_1_projected_joined_v2_3_2.csv,150.0,450.0,300.0,301,4085.0,254.0,-3831.0,False,-12.77,False,False,False,764.337,816.268,4.239,54.704,50.654,37.073200504949,0.0,0.009966777408637873,0.009966777408637873,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_ROUTE_CONTINUITY,INSUFFICIENT_VERTICAL_EVIDENCE_ROUTE_CONTINUITY,,,301,1.0,132.0,158.0,26.0,144.65448504983388,146.0,152.0,156.0,VALID_HR_WINDOW,171.9,FEMALE_209_MINUS_0_7_AGE,84.93310063990693,90.75043630017451,ZONE4_80_90_PCT_HRMAX,PROFILE_JOINED,PARTICIPANT_PROFILE_JOINED,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,13,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\13_1\activity_13_1_projected_joined_v2_3_2.csv,180.0,480.0,300.0,301,131.0,279.0,148.0,True,0.49333333333333335,True,False,False,770.361,823.283,4.239,56.722,50.654,37.073200504949,0.0,0.009966777408637873,0.009966777408637873,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_LOW_HORIZONTAL_RATIO,INSUFFICIENT_VERTICAL_EVIDENCE_GAIN_TOO_LOW,,,301,1.0,132.0,159.0,27.0,146.73089700996678,147.0,155.0,157.0,VALID_HR_WINDOW,171.9,FEMALE_209_MINUS_0_7_AGE,85.51483420593368,91.33216986620127,ZONE4_80_90_PCT_HRMAX,PROFILE_JOINED,PARTICIPANT_PROFILE_JOINED,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,13,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\13_1\activity_13_1_projected_joined_v2_3_2.csv,210.0,510.0,300.0,301,4041.0,292.0,-3749.0,False,-12.496666666666666,False,False,False,774.639,827.273,4.239,56.474000000000004,50.654,37.073200504949,0.0,0.009966777408637873,0.009966777408637873,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_ROUTE_CONTINUITY,INSUFFICIENT_VERTICAL_EVIDENCE_ROUTE_CONTINUITY,,,301,1.0,132.0,159.0,27.0,148.90365448504983,151.0,157.0,157.0,VALID_HR_WINDOW,171.9,FEMALE_209_MINUS_0_7_AGE,87.84176847004072,91.33216986620127,ZONE4_80_90_PCT_HRMAX,PROFILE_JOINED,PARTICIPANT_PROFILE_JOINED,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,13,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\13_1\activity_13_1_projected_joined_v2_3_2.csv,240.0,540.0,300.0,301,160.0,307.0,147.0,True,0.49,True,False,False,778.702,831.898,4.239,56.82,50.654,37.073200504949,0.0,0.009966777408637873,0.009966777408637873,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_LOW_HORIZONTAL_RATIO,INSUFFICIENT_VERTICAL_EVIDENCE_GAIN_TOO_LOW,,,301,1.0,133.0,162.0,29.0,151.49501661129568,153.0,157.0,158.0,VALID_HR_WINDOW,171.9,FEMALE_209_MINUS_0_7_AGE,89.00523560209423,91.91390343222804,ZONE4_80_90_PCT_HRMAX,PROFILE_JOINED,PARTICIPANT_PROFILE_JOINED,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,13,D:\mountain_work\115_osm\outputs\report_figures\ch6_single_activity_mainline_profile_v2_3_2\13_1\activity_13_1_projected_joined_v2_3_2.csv,270.0,570.0,300.0,301,4011.0,3859.0,-152.0,False,-0.5066666666666667,False,False,False,784.576,835.854,2.317,54.952,34.7815,37.073200504949,0.0,0.006644518272425249,0.006644518272425249,False,INSUFFICIENT_HORIZONTAL_EVIDENCE_ROUTE_CONTINUITY,INSUFFICIENT_VERTICAL_EVIDENCE_ROUTE_CONTINUITY,,,301,1.0,141.0,164.0,23.0,153.9700996677741,156.0,158.0,161.0,VALID_HR_WINDOW,171.9,FEMALE_209_MINUS_0_7_AGE,90.75043630017451,93.65910413030831,ZONE5_90_100_PCT_HRMAX,PROFILE_JOINED,PARTICIPANT_PROFILE_JOINED,"CH6.5.5 movement 300s corrected-data study v1.1 is descriptive study evidence only. It uses corrected route-distance and calibrated elevation fields where available. No zero-fill is used for missing evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
