activity_id,route_case_id,activity_route_binding_method,navigation_challenge_context_status,governed_decision_point_exposure_count,governed_fork_exposure_count,decision_point_exposure_per_km,fork_exposure_per_km,route_length_m,not_personal_ability_axis,not_navigation_ability_score,not_radar_score,not_go_no_go_decision,interpretation_boundary
13_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
14_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
15_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
16_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
20_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
23_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
28_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
29_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
3_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
30_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
33_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
35_1,qixing_lengshuikeng,DEFAULT_QIXING_LENGSHUIKENG_ACTIVITY_SET,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
