activity_id,route_case_id,route_following_stability_proxy_value,route_following_source_status,navigation_challenge_context_status,governed_decision_point_exposure_count,governed_fork_exposure_count,decision_point_exposure_per_km,fork_exposure_per_km,route_following_interpretation_context,not_personal_ability_axis,not_navigation_ability_score,not_radar_score,not_go_no_go_decision,interpretation_boundary
13_1,qixing_lengshuikeng,83.17,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
14_1,qixing_lengshuikeng,28.00,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
15_1,qixing_lengshuikeng,100.00,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
16_1,qixing_lengshuikeng,21.10,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
20_1,qixing_lengshuikeng,100.00,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
23_1,qixing_lengshuikeng,100.00,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
28_1,qixing_lengshuikeng,34.20,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
29_1,qixing_lengshuikeng,100.00,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
3_1,qixing_lengshuikeng,51.50,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
30_1,qixing_lengshuikeng,100.00,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
33_1,qixing_lengshuikeng,90.35,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,ROUTE_FOLLOWING_PROXY_HAS_GOVERNED_NAVIGATION_CHALLENGE_CONTEXT,True,True,True,True,"Navigation-challenge exposure context consumption only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
