activity_id,study_population_status,baseline_population_gate,route_following_evidence_state,route_issue_event_count,candidate_proxy_route_following_stability_0_100,navigation_challenge_source_status,fork_exposure_count,decision_point_exposure_count,wrong_branch_exposure_count,exposure_confidence,interpretation_note
3_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,5,51.5,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
6_1,EXTRA_SOURCE_ACTIVITY_NOT_IN_RADAR_BASELINE,BLOCKED_EXTRA_SOURCE,EXTRA_SOURCE_BLOCKED,1,,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap. Extra source activity 6_1 is blocked from baseline admission.
8_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,6,35.35,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
9_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,8,44.3,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
13_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,2,83.17,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
14_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,7,28.0,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
15_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_NO_ROUTE_ISSUE,0,100.0,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
16_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,16,21.1,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
20_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_NO_ROUTE_ISSUE,0,100.0,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
23_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_NO_ROUTE_ISSUE,0,100.0,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
28_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,9,34.2,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
29_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_NO_ROUTE_ISSUE,0,100.0,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
30_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_NO_ROUTE_ISSUE,0,100.0,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
33_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,1,90.35,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
35_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_NO_ROUTE_ISSUE,0,100.0,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
36_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,2,65.47,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
37_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,6,13.0,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
38_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_NO_ROUTE_ISSUE,0,100.0,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
40_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,3,74.65,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
41_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,1,91.55,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
42_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,18,5.0,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
43_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,29,18.0,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
44_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,5,56.6,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
45_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,1,91.35,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
46_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,25,13.92,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
48_1,RADAR_BASELINE_ACTIVITY,PASS,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,36,11.0,INSUFFICIENT_FORK_SOURCE,,,,INSUFFICIENT_FORK_SOURCE,Fork / decision point source is insufficient. Do not zero-fill navigation challenge exposure; retain as source gap.
