activity_id_short,window_count,activity_has_min_windows,route_distance_min_m,route_distance_max_m,speed_mps_median_activity,speed_mps_iqr_activity,speed_cv_iqr_over_median,low_speed_ratio_median_activity,low_speed_high_window_count,low_speed_high_window_ratio,low_speed_high_cluster_max_run_windows,low_speed_high_cluster_max_run_fraction,stopped_ratio_median_activity,stopped_window_count,stopped_window_ratio,stopped_cluster_max_run_windows,stopped_cluster_max_run_fraction,early_speed_mps_median,late_speed_mps_median,late_stage_speed_degradation_ratio,high_route_load_window_count,high_route_load_window_ratio,route_load_context_index_median,high_route_load_speed_mps_median,reference_speed_mps_median_for_high_load,high_route_load_speed_maintenance_ratio,high_route_load_speed_maintenance_basis,route_load_context_bands_observed,weather_context_flags_observed,interpretation_boundary,axis_group_relative_index_0_100,axis_support_status,component_available_count,component_missing_ids
13_1,80,True,0,4200,0.669343,0.39847850000000007,0.5953278065207226,0.170821,25,0.3125,7,0.0875,0.0,1,0.0125,1,0.0125,0.7335545,0.831622,0.0,46,0.575,69.205,0.5031410000000001,0.9096065,0.5531413858630079,HIGH_VS_NON_HIGH_ROUTE_LOAD_SPEED_RATIO,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT|VERY_HIGH_ROUTE_LOAD_CONTEXT,HIGH_UV_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims.",36.667,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,
14_1,84,True,0,4200,0.8390995,0.4550954999999999,0.542361781886415,0.0933865,16,0.19047619047619047,3,0.03571428571428571,0.0,1,0.011904761904761904,1,0.011904761904761904,0.9767364999999999,0.953125,0.024173868796753206,46,0.5476190476190477,64.113,0.643741,1.064712,0.6046151447527593,HIGH_VS_NON_HIGH_ROUTE_LOAD_SPEED_RATIO,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT|VERY_HIGH_ROUTE_LOAD_CONTEXT,HIGH_UV_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims.",58.958,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,
15_1,81,True,0,4200,0.905109,0.554966,0.6131482506526837,0.042857,4,0.04938271604938271,1,0.012345679012345678,0.0,0,0.0,0,0.0,1.022059,1.038342,0.0,47,0.5802469135802469,68.812,0.672186,1.1561325,0.5814091377934623,HIGH_VS_NON_HIGH_ROUTE_LOAD_SPEED_RATIO,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT|VERY_HIGH_ROUTE_LOAD_CONTEXT,HIGH_HUMIDITY_CONTEXT|HIGH_UV_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims.",67.083,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,
16_1,83,True,0,4200,0.60218,0.39954750000000006,0.6635017768773457,0.149425,25,0.30120481927710846,6,0.07228915662650602,0.0,7,0.08433734939759036,1,0.012048192771084338,0.689243,0.691284,0.0,45,0.5421686746987951,65.48,0.501077,0.8159434999999999,0.61410747190216,HIGH_VS_NON_HIGH_ROUTE_LOAD_SPEED_RATIO,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT|VERY_HIGH_ROUTE_LOAD_CONTEXT,HIGH_UV_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims.",48.75,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,
20_1,79,True,0,4200,0.619883,0.2550435,0.41143812622704606,0.082353,6,0.0759493670886076,2,0.02531645569620253,0.0,0,0.0,0,0.0,0.6532705,0.662865,0.0,43,0.5443037974683544,68.044,0.573856,0.7522325,0.7628705220792774,HIGH_VS_NON_HIGH_ROUTE_LOAD_SPEED_RATIO,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT|VERY_HIGH_ROUTE_LOAD_CONTEXT,HIGH_UV_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims.",86.667,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,
23_1,83,True,0,4200,0.494604,0.25126249999999994,0.508007416033837,0.114754,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.56598,0.5661944999999999,0.0,45,0.5421686746987951,63.96,0.409933,0.601444,0.6815813276048975,HIGH_VS_NON_HIGH_ROUTE_LOAD_SPEED_RATIO,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT|VERY_HIGH_ROUTE_LOAD_CONTEXT,HIGH_UV_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims.",85.0,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,
28_1,84,True,0,4200,0.5987545000000001,0.27344050000000003,0.4566821627227854,0.2406235,34,0.40476190476190477,7,0.08333333333333333,0.0,1,0.011904761904761904,1,0.011904761904761904,0.6771745,0.6710045,0.009111388571188095,44,0.5238095238095238,66.3745,0.5063035,0.750389,0.6747213778453576,HIGH_VS_NON_HIGH_ROUTE_LOAD_SPEED_RATIO,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT|VERY_HIGH_ROUTE_LOAD_CONTEXT,HIGH_UV_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims.",60.417,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,
29_1,84,True,0,4200,0.72892,0.49240975,0.6755333232727871,0.06469050000000001,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.8557085,0.805826,0.05829379981617566,48,0.5714285714285714,68.698,0.531059,0.959256,0.5536155103538575,HIGH_VS_NON_HIGH_ROUTE_LOAD_SPEED_RATIO,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT|VERY_HIGH_ROUTE_LOAD_CONTEXT,HIGH_HUMIDITY_CONTEXT|HIGH_UV_CONTEXT|RAIN_OBSERVED_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims.",46.042,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,
30_1,82,True,0,4200,0.7282785,0.5017870000000001,0.6890042751502345,0.010698,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.925218,0.9376605,0.0,47,0.573170731707317,68.059,0.544555,1.037657,0.5247928747167898,HIGH_VS_NON_HIGH_ROUTE_LOAD_SPEED_RATIO,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT|VERY_HIGH_ROUTE_LOAD_CONTEXT,HIGH_HUMIDITY_CONTEXT|HIGH_UV_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims.",55.834,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,
33_1,81,True,0,4200,0.900778,0.523688,0.5813729909034191,0.068182,14,0.1728395061728395,4,0.04938271604938271,0.0,2,0.024691358024691357,1,0.012345679012345678,1.019207,1.112732,0.0,46,0.5679012345679012,68.812,0.65002,1.120688,0.5800187027968534,HIGH_VS_NON_HIGH_ROUTE_LOAD_SPEED_RATIO,HIGH_ROUTE_LOAD_CONTEXT|LOWER_ROUTE_LOAD_CONTEXT|MODERATE_ROUTE_LOAD_CONTEXT|VERY_HIGH_ROUTE_LOAD_CONTEXT,HIGH_HUMIDITY_CONTEXT|HIGH_UV_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims.",53.334,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,
