activity_id,participant_id,study_population_status,base_radar_plot_created,plot_created,plot_reason,plot_path,plotted_axis_count,route_following_adjusted_proxy_applied,adjusted_route_following_value,prior_route_following_value,adjusted_route_following_band,navigation_context_available,navigation_context_badge,navigation_exposure_level,navigation_context_caption,navigation_context_boundary
13_1,13,RADAR_BASELINE_ACTIVITY,True,True,PLOTTED_WITH_ROUTE_FOLLOWING_ADJUSTED_PROXY_AND_NAVIGATION_CONTEXT,outputs\report_figures\ch6_5_5_personal_ability_radar_navigation_context_v1_2_adjusted_proxy\plots\personal_ability_radar_navigation_context_adjusted_proxy_13_1_v1_2.png,3,True,88.5,83.17,HIGH_ROUTE_FOLLOWING_ADJUSTED,True,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,HIGH_NAVIGATION_EXPOSURE,Adjusted route-following remains high under high navigation-challenge exposure; this is descriptive evidence of stable mainline following under a more complex route context. Prior proxy=83.2; adjusted proxy=88.5; adjusted band=HIGH_ROUTE_FOLLOWING_ADJUSTED; navigation exposure=HIGH_NAVIGATION_EXPOSURE; confirmed off-route=0; confirmed wrong-branch=0; post-finish artifacts excluded=1.,"CH6.5.5 personal ability radar navigation-context v1.2 adjusted-proxy preview reuses the governed radar preview axes and replaces the route_following_stability proxy value with CH6.5.5 route-following adjusted proxy v1.2. Navigation challenge exposure is shown only as caption/annotation/review context. It is not a personal ability axis and does not create a navigation ability score. This output does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
14_1,14,RADAR_BASELINE_ACTIVITY,True,True,PLOTTED_WITH_ROUTE_FOLLOWING_ADJUSTED_PROXY_AND_NAVIGATION_CONTEXT,outputs\report_figures\ch6_5_5_personal_ability_radar_navigation_context_v1_2_adjusted_proxy\plots\personal_ability_radar_navigation_context_adjusted_proxy_14_1_v1_2.png,3,True,82.5,28.0,MID_ROUTE_FOLLOWING_ADJUSTED,True,ADJUSTED_ROUTE_FOLLOWING_CONTEXT_AVAILABLE,HIGH_NAVIGATION_EXPOSURE,Adjusted route-following context is available; interpretation remains descriptive and score-free. Prior proxy=28.0; adjusted proxy=82.5; adjusted band=MID_ROUTE_FOLLOWING_ADJUSTED; navigation exposure=HIGH_NAVIGATION_EXPOSURE; confirmed off-route=0; confirmed wrong-branch=0; post-finish artifacts excluded=1.,"CH6.5.5 personal ability radar navigation-context v1.2 adjusted-proxy preview reuses the governed radar preview axes and replaces the route_following_stability proxy value with CH6.5.5 route-following adjusted proxy v1.2. Navigation challenge exposure is shown only as caption/annotation/review context. It is not a personal ability axis and does not create a navigation ability score. This output does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
15_1,15,RADAR_BASELINE_ACTIVITY,True,True,PLOTTED_WITH_ROUTE_FOLLOWING_ADJUSTED_PROXY_AND_NAVIGATION_CONTEXT,outputs\report_figures\ch6_5_5_personal_ability_radar_navigation_context_v1_2_adjusted_proxy\plots\personal_ability_radar_navigation_context_adjusted_proxy_15_1_v1_2.png,3,True,100.0,100.0,HIGH_ROUTE_FOLLOWING_ADJUSTED,True,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,HIGH_NAVIGATION_EXPOSURE,Adjusted route-following remains high under high navigation-challenge exposure; this is descriptive evidence of stable mainline following under a more complex route context. Prior proxy=100.0; adjusted proxy=100.0; adjusted band=HIGH_ROUTE_FOLLOWING_ADJUSTED; navigation exposure=HIGH_NAVIGATION_EXPOSURE; confirmed off-route=0; confirmed wrong-branch=0; post-finish artifacts excluded=1.,"CH6.5.5 personal ability radar navigation-context v1.2 adjusted-proxy preview reuses the governed radar preview axes and replaces the route_following_stability proxy value with CH6.5.5 route-following adjusted proxy v1.2. Navigation challenge exposure is shown only as caption/annotation/review context. It is not a personal ability axis and does not create a navigation ability score. This output does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
16_1,16,RADAR_BASELINE_ACTIVITY,True,True,PLOTTED_WITH_ROUTE_FOLLOWING_ADJUSTED_PROXY_AND_NAVIGATION_CONTEXT,outputs\report_figures\ch6_5_5_personal_ability_radar_navigation_context_v1_2_adjusted_proxy\plots\personal_ability_radar_navigation_context_adjusted_proxy_16_1_v1_2.png,3,True,82.5,21.1,MID_ROUTE_FOLLOWING_ADJUSTED,True,ADJUSTED_ROUTE_FOLLOWING_CONTEXT_AVAILABLE,HIGH_NAVIGATION_EXPOSURE,Adjusted route-following context is available; interpretation remains descriptive and score-free. Prior proxy=21.1; adjusted proxy=82.5; adjusted band=MID_ROUTE_FOLLOWING_ADJUSTED; navigation exposure=HIGH_NAVIGATION_EXPOSURE; confirmed off-route=0; confirmed wrong-branch=0; post-finish artifacts excluded=1.,"CH6.5.5 personal ability radar navigation-context v1.2 adjusted-proxy preview reuses the governed radar preview axes and replaces the route_following_stability proxy value with CH6.5.5 route-following adjusted proxy v1.2. Navigation challenge exposure is shown only as caption/annotation/review context. It is not a personal ability axis and does not create a navigation ability score. This output does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
20_1,20,RADAR_BASELINE_ACTIVITY,True,True,PLOTTED_WITH_ROUTE_FOLLOWING_ADJUSTED_PROXY_AND_NAVIGATION_CONTEXT,outputs\report_figures\ch6_5_5_personal_ability_radar_navigation_context_v1_2_adjusted_proxy\plots\personal_ability_radar_navigation_context_adjusted_proxy_20_1_v1_2.png,3,True,100.0,100.0,HIGH_ROUTE_FOLLOWING_ADJUSTED,True,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,HIGH_NAVIGATION_EXPOSURE,Adjusted route-following remains high under high navigation-challenge exposure; this is descriptive evidence of stable mainline following under a more complex route context. Prior proxy=100.0; adjusted proxy=100.0; adjusted band=HIGH_ROUTE_FOLLOWING_ADJUSTED; navigation exposure=HIGH_NAVIGATION_EXPOSURE; confirmed off-route=0; confirmed wrong-branch=0; post-finish artifacts excluded=1.,"CH6.5.5 personal ability radar navigation-context v1.2 adjusted-proxy preview reuses the governed radar preview axes and replaces the route_following_stability proxy value with CH6.5.5 route-following adjusted proxy v1.2. Navigation challenge exposure is shown only as caption/annotation/review context. It is not a personal ability axis and does not create a navigation ability score. This output does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
23_1,23,RADAR_BASELINE_ACTIVITY,True,True,PLOTTED_WITH_ROUTE_FOLLOWING_ADJUSTED_PROXY_AND_NAVIGATION_CONTEXT,outputs\report_figures\ch6_5_5_personal_ability_radar_navigation_context_v1_2_adjusted_proxy\plots\personal_ability_radar_navigation_context_adjusted_proxy_23_1_v1_2.png,3,True,100.0,100.0,HIGH_ROUTE_FOLLOWING_ADJUSTED,True,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,HIGH_NAVIGATION_EXPOSURE,Adjusted route-following remains high under high navigation-challenge exposure; this is descriptive evidence of stable mainline following under a more complex route context. Prior proxy=100.0; adjusted proxy=100.0; adjusted band=HIGH_ROUTE_FOLLOWING_ADJUSTED; navigation exposure=HIGH_NAVIGATION_EXPOSURE; confirmed off-route=0; confirmed wrong-branch=0; post-finish artifacts excluded=1.,"CH6.5.5 personal ability radar navigation-context v1.2 adjusted-proxy preview reuses the governed radar preview axes and replaces the route_following_stability proxy value with CH6.5.5 route-following adjusted proxy v1.2. Navigation challenge exposure is shown only as caption/annotation/review context. It is not a personal ability axis and does not create a navigation ability score. This output does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
28_1,28,RADAR_BASELINE_ACTIVITY,True,True,PLOTTED_WITH_ROUTE_FOLLOWING_ADJUSTED_PROXY_AND_NAVIGATION_CONTEXT,outputs\report_figures\ch6_5_5_personal_ability_radar_navigation_context_v1_2_adjusted_proxy\plots\personal_ability_radar_navigation_context_adjusted_proxy_28_1_v1_2.png,3,True,82.5,34.2,MID_ROUTE_FOLLOWING_ADJUSTED,True,ADJUSTED_ROUTE_FOLLOWING_CONTEXT_AVAILABLE,HIGH_NAVIGATION_EXPOSURE,Adjusted route-following context is available; interpretation remains descriptive and score-free. Prior proxy=34.2; adjusted proxy=82.5; adjusted band=MID_ROUTE_FOLLOWING_ADJUSTED; navigation exposure=HIGH_NAVIGATION_EXPOSURE; confirmed off-route=0; confirmed wrong-branch=0; post-finish artifacts excluded=1.,"CH6.5.5 personal ability radar navigation-context v1.2 adjusted-proxy preview reuses the governed radar preview axes and replaces the route_following_stability proxy value with CH6.5.5 route-following adjusted proxy v1.2. Navigation challenge exposure is shown only as caption/annotation/review context. It is not a personal ability axis and does not create a navigation ability score. This output does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
29_1,29,RADAR_BASELINE_ACTIVITY,True,True,PLOTTED_WITH_ROUTE_FOLLOWING_ADJUSTED_PROXY_AND_NAVIGATION_CONTEXT,outputs\report_figures\ch6_5_5_personal_ability_radar_navigation_context_v1_2_adjusted_proxy\plots\personal_ability_radar_navigation_context_adjusted_proxy_29_1_v1_2.png,3,True,100.0,100.0,HIGH_ROUTE_FOLLOWING_ADJUSTED,True,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,HIGH_NAVIGATION_EXPOSURE,Adjusted route-following remains high under high navigation-challenge exposure; this is descriptive evidence of stable mainline following under a more complex route context. Prior proxy=100.0; adjusted proxy=100.0; adjusted band=HIGH_ROUTE_FOLLOWING_ADJUSTED; navigation exposure=HIGH_NAVIGATION_EXPOSURE; confirmed off-route=0; confirmed wrong-branch=0; post-finish artifacts excluded=1.,"CH6.5.5 personal ability radar navigation-context v1.2 adjusted-proxy preview reuses the governed radar preview axes and replaces the route_following_stability proxy value with CH6.5.5 route-following adjusted proxy v1.2. Navigation challenge exposure is shown only as caption/annotation/review context. It is not a personal ability axis and does not create a navigation ability score. This output does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
30_1,30,RADAR_BASELINE_ACTIVITY,True,True,PLOTTED_WITH_ROUTE_FOLLOWING_ADJUSTED_PROXY_AND_NAVIGATION_CONTEXT,outputs\report_figures\ch6_5_5_personal_ability_radar_navigation_context_v1_2_adjusted_proxy\plots\personal_ability_radar_navigation_context_adjusted_proxy_30_1_v1_2.png,3,True,100.0,100.0,HIGH_ROUTE_FOLLOWING_ADJUSTED,True,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,HIGH_NAVIGATION_EXPOSURE,Adjusted route-following remains high under high navigation-challenge exposure; this is descriptive evidence of stable mainline following under a more complex route context. Prior proxy=100.0; adjusted proxy=100.0; adjusted band=HIGH_ROUTE_FOLLOWING_ADJUSTED; navigation exposure=HIGH_NAVIGATION_EXPOSURE; confirmed off-route=0; confirmed wrong-branch=0; post-finish artifacts excluded=1.,"CH6.5.5 personal ability radar navigation-context v1.2 adjusted-proxy preview reuses the governed radar preview axes and replaces the route_following_stability proxy value with CH6.5.5 route-following adjusted proxy v1.2. Navigation challenge exposure is shown only as caption/annotation/review context. It is not a personal ability axis and does not create a navigation ability score. This output does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
33_1,33,RADAR_BASELINE_ACTIVITY,True,True,PLOTTED_WITH_ROUTE_FOLLOWING_ADJUSTED_PROXY_AND_NAVIGATION_CONTEXT,outputs\report_figures\ch6_5_5_personal_ability_radar_navigation_context_v1_2_adjusted_proxy\plots\personal_ability_radar_navigation_context_adjusted_proxy_33_1_v1_2.png,3,True,90.85,90.35,HIGH_ROUTE_FOLLOWING_ADJUSTED,True,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,HIGH_NAVIGATION_EXPOSURE,Adjusted route-following remains high under high navigation-challenge exposure; this is descriptive evidence of stable mainline following under a more complex route context. Prior proxy=90.3; adjusted proxy=90.8; adjusted band=HIGH_ROUTE_FOLLOWING_ADJUSTED; navigation exposure=HIGH_NAVIGATION_EXPOSURE; confirmed off-route=0; confirmed wrong-branch=0; post-finish artifacts excluded=1.,"CH6.5.5 personal ability radar navigation-context v1.2 adjusted-proxy preview reuses the governed radar preview axes and replaces the route_following_stability proxy value with CH6.5.5 route-following adjusted proxy v1.2. Navigation challenge exposure is shown only as caption/annotation/review context. It is not a personal ability axis and does not create a navigation ability score. This output does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
