participant_id,activity_id_short,study_population_status,plot_created,plot_path,plot_reason,plotted_axis_count,allowed_proxy_axis_count,blocked_limited_proxy_axis_count,descriptive_annotation_count,missing_evidence_annotation_count,interpretation_boundary
3,3_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_3_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
6_1,6_1,EXTRA_SOURCE_ACTIVITY_NOT_IN_RADAR_BASELINE,False,,BLOCKED_EXTRA_SOURCE_ACTIVITY_NOT_IN_RADAR_BASELINE,0,0,3,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
8,8_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_8_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
9,9_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_9_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
13,13_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_13_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
14,14_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_14_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
15,15_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_15_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
16,16_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_16_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
20,20_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_20_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
23,23_1,RADAR_BASELINE_ACTIVITY,True,outputs\report_figures\ch6_5_5_personal_ability_radar_plot_v1_1\plots\personal_ability_radar_preview_23_1_v1_1.png,PLOTTED_GOVERNED_LIMITED_PROXY_PREVIEW,3,3,0,5,3,"CH6.5.5 personal ability radar plot v1_1 is a governed limited proxy preview only. It plots only admitted limited proxy axes from data table v1_1. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
