activity_id_short,participant_id,radar_axis_count,supported_axis_count,limited_proxy_axis_count,insufficient_evidence_axis_count,mean_available_axis_index_0_100,min_available_axis_index_0_100,max_available_axis_index_0_100,lowest_available_axis_id,highest_available_axis_id,radar_readiness_label,activity_history_primary_label,activity_history_evidence_tier,numeric_attribution_label_v0_5,suggested_report_case_role,hr_median_zone_sex_age_est,tertiary_profile_context_signal,interpretation_boundary
13_1,13,7,2,3,2,39.333,33.333,52.0,hr_output_efficiency_proxy,weather_performance_maintenance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
14_1,14,7,2,3,2,75.4,66.667,90.0,sustained_progress,weather_performance_maintenance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
15_1,15,7,2,3,2,75.6,58.0,89.333,uphill_load_tolerance_proxy,sustained_progress,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
16_1,16,7,2,3,2,36.933,25.333,52.0,sustained_progress,uphill_load_tolerance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,PRIMARY_ACTIVITY_HISTORY_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_BEHAVIOR_NUMERIC_TRIGGER_CONFIRMED,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,ZONE3_70_80_PCT_HRMAX,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
20_1,20,7,2,3,2,59.733,40.0,68.0,weather_performance_maintenance_proxy,sustained_progress,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
23_1,23,7,2,3,2,40.933,14.0,57.333,uphill_load_tolerance_proxy,sustained_progress,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,ZONE3_70_80_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
28_1,28,7,2,3,2,41.067,32.0,64.0,sustained_progress,uphill_load_tolerance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,PRIMARY_ACTIVITY_HISTORY_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,ZONE4_80_90_PCT_HRMAX,SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
29_1,29,7,2,3,2,71.333,56.0,80.0,weather_performance_maintenance_proxy,sustained_progress,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,REFERENCE_OR_LIMITED_ACTIVITY_HISTORY_CONTEXT,REFERENCE_OR_LIMITED_ATTENTION_CONTEXT,,,ZONE3_70_80_PCT_HRMAX,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
30_1,30,7,2,3,2,59.733,24.0,78.667,uphill_load_tolerance_proxy,sustained_progress,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,SELF_REPORTED_HIGH_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
33_1,33,7,2,3,2,68.067,57.0,90.0,uphill_load_tolerance_proxy,weather_performance_maintenance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_HIGH_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
