activity_id,route_case_id,prior_route_following_proxy_value,prior_route_following_band,route_following_adjusted_proxy_value,route_following_adjusted_band,navigation_exposure_level,decision_point_exposure_per_km,fork_exposure_per_km,wrong_branch_evidence_count,off_route_evidence_count,post_finish_evidence_count,gps_drift_refit_evidence_count,anchor_miss_evidence_count,adjustment_reason,route_following_adjusted_review_flag,route_following_adjusted_interpretation_label,adjustment_boundary
13_1,qixing_lengshuikeng,83.17,HIGH_ROUTE_FOLLOWING,88.5,HIGH_ROUTE_FOLLOWING_ADJUSTED,HIGH_NAVIGATION_EXPOSURE,156.183095,156.183095,0.0,0.0,1.0,0.0,0.0,MAINLINE_ADHERENCE_REWEIGHTED_UPWARD,ADJUSTED_PROXY_CONTEXT_REWEIGHTED,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE_DESCRIPTIVE_EVIDENCE,"CH6.5.5 route-following adjusted proxy v1.2 is a limited descriptive proxy. It reinterprets route-following stability with mainline adherence as the primary evidence, wrong-branch evidence as stronger penalty, anchor-miss evidence as small review penalty, post-finish off-route movement excluded, and GPS drift ignored when route refit/map-matching is correct. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, navigation ability scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
14_1,qixing_lengshuikeng,28.0,LOW_ROUTE_FOLLOWING,82.5,MID_ROUTE_FOLLOWING_ADJUSTED,HIGH_NAVIGATION_EXPOSURE,156.183095,156.183095,0.0,0.0,1.0,0.0,0.0,MAINLINE_ADHERENCE_REWEIGHTED_UPWARD,ADJUSTED_PROXY_CONTEXT_REWEIGHTED,ROUTE_FOLLOWING_ADJUSTED_CONTEXT_AVAILABLE_NO_SCORE,"CH6.5.5 route-following adjusted proxy v1.2 is a limited descriptive proxy. It reinterprets route-following stability with mainline adherence as the primary evidence, wrong-branch evidence as stronger penalty, anchor-miss evidence as small review penalty, post-finish off-route movement excluded, and GPS drift ignored when route refit/map-matching is correct. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, navigation ability scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
15_1,qixing_lengshuikeng,100.0,HIGH_ROUTE_FOLLOWING,100.0,HIGH_ROUTE_FOLLOWING_ADJUSTED,HIGH_NAVIGATION_EXPOSURE,156.183095,156.183095,0.0,0.0,1.0,0.0,0.0,PRIOR_PROXY_RETAINED,ADJUSTED_PROXY_CONTEXT_AVAILABLE,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE_DESCRIPTIVE_EVIDENCE,"CH6.5.5 route-following adjusted proxy v1.2 is a limited descriptive proxy. It reinterprets route-following stability with mainline adherence as the primary evidence, wrong-branch evidence as stronger penalty, anchor-miss evidence as small review penalty, post-finish off-route movement excluded, and GPS drift ignored when route refit/map-matching is correct. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, navigation ability scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
16_1,qixing_lengshuikeng,21.1,LOW_ROUTE_FOLLOWING,82.5,MID_ROUTE_FOLLOWING_ADJUSTED,HIGH_NAVIGATION_EXPOSURE,156.183095,156.183095,0.0,0.0,1.0,0.0,0.0,MAINLINE_ADHERENCE_REWEIGHTED_UPWARD,ADJUSTED_PROXY_CONTEXT_REWEIGHTED,ROUTE_FOLLOWING_ADJUSTED_CONTEXT_AVAILABLE_NO_SCORE,"CH6.5.5 route-following adjusted proxy v1.2 is a limited descriptive proxy. It reinterprets route-following stability with mainline adherence as the primary evidence, wrong-branch evidence as stronger penalty, anchor-miss evidence as small review penalty, post-finish off-route movement excluded, and GPS drift ignored when route refit/map-matching is correct. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, navigation ability scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
20_1,qixing_lengshuikeng,100.0,HIGH_ROUTE_FOLLOWING,100.0,HIGH_ROUTE_FOLLOWING_ADJUSTED,HIGH_NAVIGATION_EXPOSURE,156.183095,156.183095,0.0,0.0,1.0,0.0,0.0,PRIOR_PROXY_RETAINED,ADJUSTED_PROXY_CONTEXT_AVAILABLE,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE_DESCRIPTIVE_EVIDENCE,"CH6.5.5 route-following adjusted proxy v1.2 is a limited descriptive proxy. It reinterprets route-following stability with mainline adherence as the primary evidence, wrong-branch evidence as stronger penalty, anchor-miss evidence as small review penalty, post-finish off-route movement excluded, and GPS drift ignored when route refit/map-matching is correct. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, navigation ability scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
23_1,qixing_lengshuikeng,100.0,HIGH_ROUTE_FOLLOWING,100.0,HIGH_ROUTE_FOLLOWING_ADJUSTED,HIGH_NAVIGATION_EXPOSURE,156.183095,156.183095,0.0,0.0,1.0,0.0,0.0,PRIOR_PROXY_RETAINED,ADJUSTED_PROXY_CONTEXT_AVAILABLE,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE_DESCRIPTIVE_EVIDENCE,"CH6.5.5 route-following adjusted proxy v1.2 is a limited descriptive proxy. It reinterprets route-following stability with mainline adherence as the primary evidence, wrong-branch evidence as stronger penalty, anchor-miss evidence as small review penalty, post-finish off-route movement excluded, and GPS drift ignored when route refit/map-matching is correct. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, navigation ability scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
28_1,qixing_lengshuikeng,34.2,LOW_ROUTE_FOLLOWING,82.5,MID_ROUTE_FOLLOWING_ADJUSTED,HIGH_NAVIGATION_EXPOSURE,156.183095,156.183095,0.0,0.0,1.0,0.0,0.0,MAINLINE_ADHERENCE_REWEIGHTED_UPWARD,ADJUSTED_PROXY_CONTEXT_REWEIGHTED,ROUTE_FOLLOWING_ADJUSTED_CONTEXT_AVAILABLE_NO_SCORE,"CH6.5.5 route-following adjusted proxy v1.2 is a limited descriptive proxy. It reinterprets route-following stability with mainline adherence as the primary evidence, wrong-branch evidence as stronger penalty, anchor-miss evidence as small review penalty, post-finish off-route movement excluded, and GPS drift ignored when route refit/map-matching is correct. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, navigation ability scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
29_1,qixing_lengshuikeng,100.0,HIGH_ROUTE_FOLLOWING,100.0,HIGH_ROUTE_FOLLOWING_ADJUSTED,HIGH_NAVIGATION_EXPOSURE,156.183095,156.183095,0.0,0.0,1.0,0.0,0.0,PRIOR_PROXY_RETAINED,ADJUSTED_PROXY_CONTEXT_AVAILABLE,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE_DESCRIPTIVE_EVIDENCE,"CH6.5.5 route-following adjusted proxy v1.2 is a limited descriptive proxy. It reinterprets route-following stability with mainline adherence as the primary evidence, wrong-branch evidence as stronger penalty, anchor-miss evidence as small review penalty, post-finish off-route movement excluded, and GPS drift ignored when route refit/map-matching is correct. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, navigation ability scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
30_1,qixing_lengshuikeng,100.0,HIGH_ROUTE_FOLLOWING,100.0,HIGH_ROUTE_FOLLOWING_ADJUSTED,HIGH_NAVIGATION_EXPOSURE,156.183095,156.183095,0.0,0.0,1.0,0.0,0.0,PRIOR_PROXY_RETAINED,ADJUSTED_PROXY_CONTEXT_AVAILABLE,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE_DESCRIPTIVE_EVIDENCE,"CH6.5.5 route-following adjusted proxy v1.2 is a limited descriptive proxy. It reinterprets route-following stability with mainline adherence as the primary evidence, wrong-branch evidence as stronger penalty, anchor-miss evidence as small review penalty, post-finish off-route movement excluded, and GPS drift ignored when route refit/map-matching is correct. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, navigation ability scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
33_1,qixing_lengshuikeng,90.35,HIGH_ROUTE_FOLLOWING,90.85,HIGH_ROUTE_FOLLOWING_ADJUSTED,HIGH_NAVIGATION_EXPOSURE,156.183095,156.183095,0.0,0.0,1.0,0.0,0.0,MAINLINE_ADHERENCE_REWEIGHTED_UPWARD,ADJUSTED_PROXY_CONTEXT_REWEIGHTED,STABLE_MAINLINE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE_DESCRIPTIVE_EVIDENCE,"CH6.5.5 route-following adjusted proxy v1.2 is a limited descriptive proxy. It reinterprets route-following stability with mainline adherence as the primary evidence, wrong-branch evidence as stronger penalty, anchor-miss evidence as small review penalty, post-finish off-route movement excluded, and GPS drift ignored when route refit/map-matching is correct. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, navigation ability scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causal claims."
