activity_id,route_case_id,route_following_stability_proxy_value,route_following_band,route_following_source_status,navigation_challenge_context_status,governed_decision_point_exposure_count,governed_fork_exposure_count,decision_point_exposure_per_km,fork_exposure_per_km,route_length_m,navigation_exposure_level,navigation_exposure_threshold_method,navigation_exposure_low_threshold_per_km,navigation_exposure_high_threshold_per_km,route_following_navigation_interpretation_label,route_following_navigation_review_flag,not_personal_ability_axis,not_navigation_ability_score,not_radar_score,not_go_no_go_decision,interpretation_boundary
13_1,qixing_lengshuikeng,83.17,HIGH_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,HIGH_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,NO_REVIEW_FLAG,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
14_1,qixing_lengshuikeng,28.00,LOW_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,LOW_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE_REVIEW,REVIEW_RECOMMENDED,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
15_1,qixing_lengshuikeng,100.00,HIGH_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,HIGH_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,NO_REVIEW_FLAG,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
16_1,qixing_lengshuikeng,21.10,LOW_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,LOW_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE_REVIEW,REVIEW_RECOMMENDED,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
20_1,qixing_lengshuikeng,100.00,HIGH_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,HIGH_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,NO_REVIEW_FLAG,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
23_1,qixing_lengshuikeng,100.00,HIGH_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,HIGH_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,NO_REVIEW_FLAG,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
28_1,qixing_lengshuikeng,34.20,LOW_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,LOW_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE_REVIEW,REVIEW_RECOMMENDED,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
29_1,qixing_lengshuikeng,100.00,HIGH_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,HIGH_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,NO_REVIEW_FLAG,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
30_1,qixing_lengshuikeng,100.00,HIGH_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,HIGH_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,NO_REVIEW_FLAG,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
33_1,qixing_lengshuikeng,90.35,HIGH_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,HIGH_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,NO_REVIEW_FLAG,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
35_1,qixing_lengshuikeng,100.00,HIGH_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,HIGH_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,NO_REVIEW_FLAG,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
36_1,qixing_lengshuikeng,65.47,MID_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,CONTEXT_AVAILABLE_NO_SCORE,NO_REVIEW_FLAG,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
37_1,qixing_lengshuikeng,13.00,LOW_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,LOW_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE_REVIEW,REVIEW_RECOMMENDED,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
38_1,qixing_lengshuikeng,100.00,HIGH_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,HIGH_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,NO_REVIEW_FLAG,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
3_1,qixing_lengshuikeng,51.50,MID_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,CONTEXT_AVAILABLE_NO_SCORE,NO_REVIEW_FLAG,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
40_1,qixing_lengshuikeng,74.65,MID_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,CONTEXT_AVAILABLE_NO_SCORE,NO_REVIEW_FLAG,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
41_1,qixing_lengshuikeng,91.55,HIGH_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,HIGH_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE,NO_REVIEW_FLAG,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
42_1,qixing_lengshuikeng,5.00,LOW_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,LOW_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE_REVIEW,REVIEW_RECOMMENDED,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
43_1,qixing_lengshuikeng,18.00,LOW_ROUTE_FOLLOWING,LIMITED_PROXY,GOVERNED_NAVIGATION_CHALLENGE_CONTEXT_AVAILABLE,654,654,156.183095,156.183095,4187.393,HIGH_NAVIGATION_EXPOSURE,ROUTE_CONTEXT_TERTILES_decision_point_exposure_per_km,23.173746,94.131433,LOW_ROUTE_FOLLOWING_UNDER_HIGH_NAVIGATION_EXPOSURE_REVIEW,REVIEW_RECOMMENDED,True,True,True,True,"Route-following ? navigation-challenge context interpretation only. Not a personal ability axis, ability score, rank, class, radar score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causal claim."
