activity_id,study_population_status,baseline_population_gate,detector_file_found,evidence_state,event_rows,terminal_event_rows,non_terminal_event_rows,route_issue_event_count,off_route_event_count,navigation_uncertainty_event_count,rejoin_candidate_event_count,high_confidence_route_issue_count,low_confidence_route_issue_count,route_issue_duration_sec,total_event_duration_sec,max_offset_m,mean_off_route_ratio,min_on_route_ratio,candidate_proxy_route_following_stability_0_100,candidate_proxy_note,admission_status,allowed_use,disallowed_use
13_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,10,1,9,2,0,2,0,0,2,33.0,2771.0,5.44,0.0,1.0,83.17,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
14_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,11,1,10,7,0,7,0,4,3,480.0,2668.0,11.301,0.0,1.0,28.0,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
15_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_NO_ROUTE_ISSUE,1,1,0,0,0,0,0,0,0,,2023.0,,,,100.0,Detector file exists; no non-terminal route-following issue detected. Terminal artifacts are excluded.,LIMITED_PROXY_CANDIDATE_NO_NON_TERMINAL_ROUTE_ISSUE_DETECTED,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
16_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,32,1,31,16,0,16,0,3,13,716.0,4254.0,10.251,0.0,1.0,21.1,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
20_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_NO_ROUTE_ISSUE,1,1,0,0,0,0,0,0,0,,1949.0,,,,100.0,Detector file exists; no non-terminal route-following issue detected. Terminal artifacts are excluded.,LIMITED_PROXY_CANDIDATE_NO_NON_TERMINAL_ROUTE_ISSUE_DETECTED,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
23_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_NO_ROUTE_ISSUE,1,1,0,0,0,0,0,0,0,,2041.0,,,,100.0,Detector file exists; no non-terminal route-following issue detected. Terminal artifacts are excluded.,LIMITED_PROXY_CANDIDATE_NO_NON_TERMINAL_ROUTE_ISSUE_DETECTED,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
28_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,14,1,13,9,0,9,0,1,8,432.0,2573.0,8.51,0.0045,0.9412,34.2,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
29_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_NO_ROUTE_ISSUE,1,1,0,0,0,0,0,0,0,,1989.0,,,,100.0,Detector file exists; no non-terminal route-following issue detected. Terminal artifacts are excluded.,LIMITED_PROXY_CANDIDATE_NO_NON_TERMINAL_ROUTE_ISSUE_DETECTED,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
30_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_NO_ROUTE_ISSUE,1,1,0,0,0,0,0,0,0,,1893.0,,,,100.0,Detector file exists; no non-terminal route-following issue detected. Terminal artifacts are excluded.,LIMITED_PROXY_CANDIDATE_NO_NON_TERMINAL_ROUTE_ISSUE_DETECTED,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
33_1,RADAR_BASELINE_ACTIVITY,PASS,True,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,3,1,2,1,0,1,0,0,0,66.0,2344.0,11.108,0.0,1.0,90.35,LIMITED_PROXY_CANDIDATE_EVENT_BURDEN_MODEL_NOT_FORMAL_SCORE,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,Descriptive governed limited proxy admission review for route_following_stability only.,"Do not use as ability score, rank, class, THCI score, final hiking risk score, route suitability score, or go/no-go decision."
