activity_id_short,window_count,available_window_count,high_terrain_or_surface_window_count,high_terrain_or_surface_window_ratio,terrain_movement_maintenance_index_mean_0_100,high_terrain_movement_maintenance_index_mean_0_100,terrain_surface_context_group_summary,terrain_movement_attention_flag_summary,axis_support_status,interpretation_boundary,terrain_movement_efficiency_axis_index_0_100,terrain_movement_context_label
13_1,80,80,62,0.775,40.93,39.648,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:24|HIGH_TERRAIN_OR_SURFACE_CONTEXT:62|LOW_SPEED_WINDOW_CONTEXT:44|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:16|STOPPED_WINDOW_CONTEXT:3,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",44.0,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
14_1,84,84,61,0.72619,51.282,49.737,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:15|HIGH_TERRAIN_OR_SURFACE_CONTEXT:61|LOW_SPEED_WINDOW_CONTEXT:28|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:2|STOPPED_WINDOW_CONTEXT:1,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",84.0,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
15_1,81,81,59,0.728395,55.9,53.617,LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:4|HIGH_TERRAIN_OR_SURFACE_CONTEXT:59|LOW_SPEED_WINDOW_CONTEXT:28|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:3,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",96.0,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
16_1,83,83,63,0.759036,33.047,32.772,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:24|HIGH_TERRAIN_OR_SURFACE_CONTEXT:63|LOW_SPEED_WINDOW_CONTEXT:52|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:20|STOPPED_WINDOW_CONTEXT:20,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",20.0,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW
20_1,79,79,61,0.772152,43.905,43.495,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:5|HIGH_TERRAIN_OR_SURFACE_CONTEXT:61|LOW_SPEED_WINDOW_CONTEXT:52|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:7,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",64.0,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
23_1,83,83,63,0.759036,35.837,36.636,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_TERRAIN_OR_SURFACE_CONTEXT:63|LOW_SPEED_WINDOW_CONTEXT:71|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:8,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",28.0,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW
28_1,84,84,59,0.702381,35.273,37.077,LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:32|HIGH_TERRAIN_OR_SURFACE_CONTEXT:59|LOW_SPEED_WINDOW_CONTEXT:57|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:14|STOPPED_WINDOW_CONTEXT:3,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",24.0,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW
29_1,84,84,63,0.75,44.434,43.475,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_TERRAIN_OR_SURFACE_CONTEXT:63|LOW_SPEED_WINDOW_CONTEXT:41|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:7,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",68.0,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
30_1,82,82,59,0.719512,59.565,58.962,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_TERRAIN_OR_SURFACE_CONTEXT:59|LOW_SPEED_WINDOW_CONTEXT:39|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:1,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",100.0,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
33_1,81,81,62,0.765432,55.766,54.053,HIGH_ROUTE_LOAD_OR_SLOPE_CONTEXT|LOW_INFORMATION_MIXED_CONTEXT|STEPS_CONTEXT,HIGH_LOW_SPEED_RATIO_CONTEXT:14|HIGH_TERRAIN_OR_SURFACE_CONTEXT:62|LOW_SPEED_WINDOW_CONTEXT:26|LOW_TERRAIN_MOVEMENT_MAINTENANCE_INDEX_CONTEXT:3|STOPPED_WINDOW_CONTEXT:2,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled.",92.0,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT
