activity_id_short,terrain_movement_efficiency_axis_index_0_100,terrain_movement_maintenance_index_mean_0_100,high_terrain_movement_maintenance_index_mean_0_100,axis_support_status,terrain_movement_context_label,available_window_count,high_terrain_or_surface_window_count,high_terrain_or_surface_window_ratio,axis_id,axis_label_zh,axis_support_status_for_radar,axis_description,interpretation_boundary
13_1,44.0,40.93,39.648,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,80,62,0.775,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
14_1,84.0,51.282,49.737,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,84,61,0.72619,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
15_1,96.0,55.9,53.617,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,81,59,0.728395,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
16_1,20.0,33.047,32.772,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW,83,63,0.759036,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
20_1,64.0,43.905,43.495,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,79,61,0.772152,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
23_1,28.0,35.837,36.636,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW,83,63,0.759036,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
28_1,24.0,35.273,37.077,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW,84,59,0.702381,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
29_1,68.0,44.434,43.475,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,84,63,0.75,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
30_1,100.0,59.565,58.962,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,82,59,0.719512,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
33_1,92.0,55.766,54.053,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,81,62,0.765432,terrain_movement_efficiency,地形移動效率,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,Descriptive terrain/surface-adjusted movement maintenance context. Use as radar evidence only after preserving interpretation boundary.,"Descriptive CH6.5.6 terrain/surface x movement-response evidence only. Indices are group-relative context evidence for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing evidence is not zero-filled."
