activity_id_short,ib3a2_csv,ib3c_csv,ib3a2_columns,ib3c_columns,route_distance_source_column,activity_rows,event_rows,mapped_event_rows,event_review_required_count,overlay_window_rows,overlay_csv,event_mapping_review_csv,event_overlay_status_distribution
3_1,D:\mountain_work\115_osm\outputs\ib3a2_on_route_activity_filter_v4b_after_forced_route\qixing_lengshuikeng\qixing_lengshuikeng_3_1_mapmatched_activity_labeled.csv,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_v1c_recovery_speed07_after_forced_route\qixing_lengshuikeng\3_1\qixing_lengshuikeng_3_1_ib3c_behavior_events.csv,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded,event_id|route_folder|activity_id|event_type|event_subtype|event_modifiers|start_elapsed_sec|end_elapsed_sec|duration_sec|duration_tier|start_row_index|end_row_index|start_route_dist_m|end_route_dist_m|route_dist_span_m|mean_speed_mps|min_speed_mps|max_speed_mps|median_offset_m|max_offset_m|on_route_ratio|off_route_ratio|mean_hr_bpm|max_hr_bpm|hr_start_bpm|hr_end_bpm|hr_delta_bpm|hr_recovery_slope_bpm_per_min|rest_duration_tier|recovery_level|hr_recovery_effect|estimated_recovery_score|recovery_interpretation|route_semantic_context|surface_context|facility_context|rest_context|support_context|hydrology_context|slope_context|terrain_risk_context|terrain_risk_score_mean|weather_mode|weather_scenario_name|weather_context|weather_event_modifier|activity_risk_context|excluded_reason_context|candidate_reason|confidence|points_n,reliable_route_dist_m,7873,8,7,0,84,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_3_1_ib3d_event_route_window_overlay.csv,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_3_1_ib3d_event_mapping_review.csv,NO_ACTIVITY_POINTS_IN_ROUTE_WINDOW:29 | ROUTE_WINDOW_OVERLAY_READY:55
8_1,D:\mountain_work\115_osm\outputs\ib3a2_on_route_activity_filter_v4b_after_forced_route\qixing_lengshuikeng\qixing_lengshuikeng_8_1_mapmatched_activity_labeled.csv,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_v1c_recovery_speed07_after_forced_route\qixing_lengshuikeng\8_1\qixing_lengshuikeng_8_1_ib3c_behavior_events.csv,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded,event_id|route_folder|activity_id|event_type|event_subtype|event_modifiers|start_elapsed_sec|end_elapsed_sec|duration_sec|duration_tier|start_row_index|end_row_index|start_route_dist_m|end_route_dist_m|route_dist_span_m|mean_speed_mps|min_speed_mps|max_speed_mps|median_offset_m|max_offset_m|on_route_ratio|off_route_ratio|mean_hr_bpm|max_hr_bpm|hr_start_bpm|hr_end_bpm|hr_delta_bpm|hr_recovery_slope_bpm_per_min|rest_duration_tier|recovery_level|hr_recovery_effect|estimated_recovery_score|recovery_interpretation|route_semantic_context|surface_context|facility_context|rest_context|support_context|hydrology_context|slope_context|terrain_risk_context|terrain_risk_score_mean|weather_mode|weather_scenario_name|weather_context|weather_event_modifier|activity_risk_context|excluded_reason_context|candidate_reason|confidence|points_n,reliable_route_dist_m,8433,16,13,0,84,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_8_1_ib3d_event_route_window_overlay.csv,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_8_1_ib3d_event_mapping_review.csv,NO_ACTIVITY_POINTS_IN_ROUTE_WINDOW:30 | ROUTE_WINDOW_OVERLAY_READY:54
9_1,D:\mountain_work\115_osm\outputs\ib3a2_on_route_activity_filter_v4b_after_forced_route\qixing_lengshuikeng\qixing_lengshuikeng_9_1_mapmatched_activity_labeled.csv,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_v1c_recovery_speed07_after_forced_route\qixing_lengshuikeng\9_1\qixing_lengshuikeng_9_1_ib3c_behavior_events.csv,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded,event_id|route_folder|activity_id|event_type|event_subtype|event_modifiers|start_elapsed_sec|end_elapsed_sec|duration_sec|duration_tier|start_row_index|end_row_index|start_route_dist_m|end_route_dist_m|route_dist_span_m|mean_speed_mps|min_speed_mps|max_speed_mps|median_offset_m|max_offset_m|on_route_ratio|off_route_ratio|mean_hr_bpm|max_hr_bpm|hr_start_bpm|hr_end_bpm|hr_delta_bpm|hr_recovery_slope_bpm_per_min|rest_duration_tier|recovery_level|hr_recovery_effect|estimated_recovery_score|recovery_interpretation|route_semantic_context|surface_context|facility_context|rest_context|support_context|hydrology_context|slope_context|terrain_risk_context|terrain_risk_score_mean|weather_mode|weather_scenario_name|weather_context|weather_event_modifier|activity_risk_context|excluded_reason_context|candidate_reason|confidence|points_n,reliable_route_dist_m,11399,13,13,1,84,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_9_1_ib3d_event_route_window_overlay.csv,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_9_1_ib3d_event_mapping_review.csv,NO_ACTIVITY_POINTS_IN_ROUTE_WINDOW:30 | ROUTE_WINDOW_OVERLAY_READY_WITH_EVENT_REVIEW:54
13_1,D:\mountain_work\115_osm\outputs\ib3a2_on_route_activity_filter_v4b_after_forced_route\qixing_lengshuikeng\qixing_lengshuikeng_13_1_mapmatched_activity_labeled.csv,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_v1c_recovery_speed07_after_forced_route\qixing_lengshuikeng\13_1\qixing_lengshuikeng_13_1_ib3c_behavior_events.csv,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded,event_id|route_folder|activity_id|event_type|event_subtype|event_modifiers|start_elapsed_sec|end_elapsed_sec|duration_sec|duration_tier|start_row_index|end_row_index|start_route_dist_m|end_route_dist_m|route_dist_span_m|mean_speed_mps|min_speed_mps|max_speed_mps|median_offset_m|max_offset_m|on_route_ratio|off_route_ratio|mean_hr_bpm|max_hr_bpm|hr_start_bpm|hr_end_bpm|hr_delta_bpm|hr_recovery_slope_bpm_per_min|rest_duration_tier|recovery_level|hr_recovery_effect|estimated_recovery_score|recovery_interpretation|route_semantic_context|surface_context|facility_context|rest_context|support_context|hydrology_context|slope_context|terrain_risk_context|terrain_risk_score_mean|weather_mode|weather_scenario_name|weather_context|weather_event_modifier|activity_risk_context|excluded_reason_context|candidate_reason|confidence|points_n,reliable_route_dist_m,8325,10,9,0,84,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_13_1_ib3d_event_route_window_overlay.csv,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_13_1_ib3d_event_mapping_review.csv,NO_ACTIVITY_POINTS_IN_ROUTE_WINDOW:29 | ROUTE_WINDOW_OVERLAY_READY:55
14_1,D:\mountain_work\115_osm\outputs\ib3a2_on_route_activity_filter_v4b_after_forced_route\qixing_lengshuikeng\qixing_lengshuikeng_14_1_mapmatched_activity_labeled.csv,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_v1c_recovery_speed07_after_forced_route\qixing_lengshuikeng\14_1\qixing_lengshuikeng_14_1_ib3c_behavior_events.csv,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded,event_id|route_folder|activity_id|event_type|event_subtype|event_modifiers|start_elapsed_sec|end_elapsed_sec|duration_sec|duration_tier|start_row_index|end_row_index|start_route_dist_m|end_route_dist_m|route_dist_span_m|mean_speed_mps|min_speed_mps|max_speed_mps|median_offset_m|max_offset_m|on_route_ratio|off_route_ratio|mean_hr_bpm|max_hr_bpm|hr_start_bpm|hr_end_bpm|hr_delta_bpm|hr_recovery_slope_bpm_per_min|rest_duration_tier|recovery_level|hr_recovery_effect|estimated_recovery_score|recovery_interpretation|route_semantic_context|surface_context|facility_context|rest_context|support_context|hydrology_context|slope_context|terrain_risk_context|terrain_risk_score_mean|weather_mode|weather_scenario_name|weather_context|weather_event_modifier|activity_risk_context|excluded_reason_context|candidate_reason|confidence|points_n,reliable_route_dist_m,7202,11,6,0,84,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_14_1_ib3d_event_route_window_overlay.csv,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_14_1_ib3d_event_mapping_review.csv,NO_ACTIVITY_POINTS_IN_ROUTE_WINDOW:41 | ROUTE_WINDOW_OVERLAY_READY:43
15_1,D:\mountain_work\115_osm\outputs\ib3a2_on_route_activity_filter_v4b_after_forced_route\qixing_lengshuikeng\qixing_lengshuikeng_15_1_mapmatched_activity_labeled.csv,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_v1c_recovery_speed07_after_forced_route\qixing_lengshuikeng\15_1\qixing_lengshuikeng_15_1_ib3c_behavior_events.csv,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded,event_id|route_folder|activity_id|event_type|event_subtype|event_modifiers|start_elapsed_sec|end_elapsed_sec|duration_sec|duration_tier|start_row_index|end_row_index|start_route_dist_m|end_route_dist_m|route_dist_span_m|mean_speed_mps|min_speed_mps|max_speed_mps|median_offset_m|max_offset_m|on_route_ratio|off_route_ratio|mean_hr_bpm|max_hr_bpm|hr_start_bpm|hr_end_bpm|hr_delta_bpm|hr_recovery_slope_bpm_per_min|rest_duration_tier|recovery_level|hr_recovery_effect|estimated_recovery_score|recovery_interpretation|route_semantic_context|surface_context|facility_context|rest_context|support_context|hydrology_context|slope_context|terrain_risk_context|terrain_risk_score_mean|weather_mode|weather_scenario_name|weather_context|weather_event_modifier|activity_risk_context|excluded_reason_context|candidate_reason|confidence|points_n,reliable_route_dist_m,17282,1,1,1,84,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_15_1_ib3d_event_route_window_overlay.csv,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_15_1_ib3d_event_mapping_review.csv,NO_ACTIVITY_POINTS_IN_ROUTE_WINDOW:33 | ROUTE_WINDOW_OVERLAY_READY_WITH_EVENT_REVIEW:51
16_1,D:\mountain_work\115_osm\outputs\ib3a2_on_route_activity_filter_v4b_after_forced_route\qixing_lengshuikeng\qixing_lengshuikeng_16_1_mapmatched_activity_labeled.csv,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_v1c_recovery_speed07_after_forced_route\qixing_lengshuikeng\16_1\qixing_lengshuikeng_16_1_ib3c_behavior_events.csv,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded,event_id|route_folder|activity_id|event_type|event_subtype|event_modifiers|start_elapsed_sec|end_elapsed_sec|duration_sec|duration_tier|start_row_index|end_row_index|start_route_dist_m|end_route_dist_m|route_dist_span_m|mean_speed_mps|min_speed_mps|max_speed_mps|median_offset_m|max_offset_m|on_route_ratio|off_route_ratio|mean_hr_bpm|max_hr_bpm|hr_start_bpm|hr_end_bpm|hr_delta_bpm|hr_recovery_slope_bpm_per_min|rest_duration_tier|recovery_level|hr_recovery_effect|estimated_recovery_score|recovery_interpretation|route_semantic_context|surface_context|facility_context|rest_context|support_context|hydrology_context|slope_context|terrain_risk_context|terrain_risk_score_mean|weather_mode|weather_scenario_name|weather_context|weather_event_modifier|activity_risk_context|excluded_reason_context|candidate_reason|confidence|points_n,reliable_route_dist_m,10200,32,27,0,84,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_16_1_ib3d_event_route_window_overlay.csv,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_16_1_ib3d_event_mapping_review.csv,NO_ACTIVITY_POINTS_IN_ROUTE_WINDOW:30 | ROUTE_WINDOW_OVERLAY_READY:54
20_1,D:\mountain_work\115_osm\outputs\ib3a2_on_route_activity_filter_v4b_after_forced_route\qixing_lengshuikeng\qixing_lengshuikeng_20_1_mapmatched_activity_labeled.csv,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_v1c_recovery_speed07_after_forced_route\qixing_lengshuikeng\20_1\qixing_lengshuikeng_20_1_ib3c_behavior_events.csv,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded,event_id|route_folder|activity_id|event_type|event_subtype|event_modifiers|start_elapsed_sec|end_elapsed_sec|duration_sec|duration_tier|start_row_index|end_row_index|start_route_dist_m|end_route_dist_m|route_dist_span_m|mean_speed_mps|min_speed_mps|max_speed_mps|median_offset_m|max_offset_m|on_route_ratio|off_route_ratio|mean_hr_bpm|max_hr_bpm|hr_start_bpm|hr_end_bpm|hr_delta_bpm|hr_recovery_slope_bpm_per_min|rest_duration_tier|recovery_level|hr_recovery_effect|estimated_recovery_score|recovery_interpretation|route_semantic_context|surface_context|facility_context|rest_context|support_context|hydrology_context|slope_context|terrain_risk_context|terrain_risk_score_mean|weather_mode|weather_scenario_name|weather_context|weather_event_modifier|activity_risk_context|excluded_reason_context|candidate_reason|confidence|points_n,reliable_route_dist_m,17452,1,1,1,84,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_20_1_ib3d_event_route_window_overlay.csv,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_20_1_ib3d_event_mapping_review.csv,NO_ACTIVITY_POINTS_IN_ROUTE_WINDOW:43 | ROUTE_WINDOW_OVERLAY_READY_WITH_EVENT_REVIEW:41
23_1,D:\mountain_work\115_osm\outputs\ib3a2_on_route_activity_filter_v4b_after_forced_route\qixing_lengshuikeng\qixing_lengshuikeng_23_1_mapmatched_activity_labeled.csv,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_v1c_recovery_speed07_after_forced_route\qixing_lengshuikeng\23_1\qixing_lengshuikeng_23_1_ib3c_behavior_events.csv,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded,event_id|route_folder|activity_id|event_type|event_subtype|event_modifiers|start_elapsed_sec|end_elapsed_sec|duration_sec|duration_tier|start_row_index|end_row_index|start_route_dist_m|end_route_dist_m|route_dist_span_m|mean_speed_mps|min_speed_mps|max_speed_mps|median_offset_m|max_offset_m|on_route_ratio|off_route_ratio|mean_hr_bpm|max_hr_bpm|hr_start_bpm|hr_end_bpm|hr_delta_bpm|hr_recovery_slope_bpm_per_min|rest_duration_tier|recovery_level|hr_recovery_effect|estimated_recovery_score|recovery_interpretation|route_semantic_context|surface_context|facility_context|rest_context|support_context|hydrology_context|slope_context|terrain_risk_context|terrain_risk_score_mean|weather_mode|weather_scenario_name|weather_context|weather_event_modifier|activity_risk_context|excluded_reason_context|candidate_reason|confidence|points_n,reliable_route_dist_m,34808,1,1,1,84,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_23_1_ib3d_event_route_window_overlay.csv,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_23_1_ib3d_event_mapping_review.csv,NO_ACTIVITY_POINTS_IN_ROUTE_WINDOW:30 | ROUTE_WINDOW_OVERLAY_READY_WITH_EVENT_REVIEW:54
28_1,D:\mountain_work\115_osm\outputs\ib3a2_on_route_activity_filter_v4b_after_forced_route\qixing_lengshuikeng\qixing_lengshuikeng_28_1_mapmatched_activity_labeled.csv,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_v1c_recovery_speed07_after_forced_route\qixing_lengshuikeng\28_1\qixing_lengshuikeng_28_1_ib3c_behavior_events.csv,route_folder|case_id|subject_id|trial_id|row_index|point_index|activity_id|timestamp_s|elapsed_sec|dt_sec|lat|lon|ele_m|distance_m|heart_rate_bpm|route_dist_m|projected_route_dist_m|nearest_route_dist_m|reliable_route_dist_m|route_progress_reliable|route_progress_state|route_projection_confidence|route_projection_note|offset_m|segment_id|direction_hint|match_quality|source_file|sequence_match_score|candidate_rank|route_dist_delta_m|reliable_route_dist_delta_m|implied_route_speed_mps|sequence_jump_guard_flag|sequence_branch_ambiguity_flag|summit_dist_m|summit_reached_flag|candidate_phase|summit_transition_lock_applied|summit_transition_release_flag|source_csv_row_index|usable_on_route|excluded_reason|excursion_id|manual_override_applied|manual_event_id|manual_label|manual_interpretation|segment_role|route_progress_excluded,event_id|route_folder|activity_id|event_type|event_subtype|event_modifiers|start_elapsed_sec|end_elapsed_sec|duration_sec|duration_tier|start_row_index|end_row_index|start_route_dist_m|end_route_dist_m|route_dist_span_m|mean_speed_mps|min_speed_mps|max_speed_mps|median_offset_m|max_offset_m|on_route_ratio|off_route_ratio|mean_hr_bpm|max_hr_bpm|hr_start_bpm|hr_end_bpm|hr_delta_bpm|hr_recovery_slope_bpm_per_min|rest_duration_tier|recovery_level|hr_recovery_effect|estimated_recovery_score|recovery_interpretation|route_semantic_context|surface_context|facility_context|rest_context|support_context|hydrology_context|slope_context|terrain_risk_context|terrain_risk_score_mean|weather_mode|weather_scenario_name|weather_context|weather_event_modifier|activity_risk_context|excluded_reason_context|candidate_reason|confidence|points_n,reliable_route_dist_m,8636,14,13,0,84,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_28_1_ib3d_event_route_window_overlay.csv,D:\mountain_work\115_osm\outputs\report_figures\ch6_5_ib3d_event_route_window_bridge_v1\activity_28_1_ib3d_event_mapping_review.csv,NO_ACTIVITY_POINTS_IN_ROUTE_WINDOW:42 | ROUTE_WINDOW_OVERLAY_READY:42
