schema_version,activity_id_short,activity_id_full,route_distance_window_start_m,route_distance_window_end_m,route_phase,point_count,route_profile_elevation_range_m,calibrated_slope_pct_p75_abs,slope_load_source,ib2_effort_evidence_median,ib2_terrain_evidence_median,near_steps_ratio,vertical_load_norm,slope_load_norm,ib2_effort_load_norm,terrain_load_norm,steps_surface_load_norm,route_load_context_index_0_100,route_load_context_band,route_load_context_reason_flags,weather_context_flags,weather_context_available,environment_context_flags,environment_context_available,temperature_c,relative_humidity_pct,precipitation_mm,wind_speed_ms,wind_gust_ms,uv_index,heart_rate_bpm_median,activity_heart_rate_bpm_median_p75,speed_mps_median,low_speed_ratio,stopped_ratio,behavior_response_flags,behavior_response_signal_flag_count,window_qa_flags,route_load_context_boundary,candidate_window_label,candidate_window_boundary
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,150,200,UNKNOWN,91,17.566,46.876,CALIBRATED_SLOPE_P75_ABS,0.45,0.7,1.0,0.8783,1.0,1.0,1.0,1.0,96.349,VERY_HIGH_ROUTE_LOAD_CONTEXT,VERTICAL_RANGE_HIGH|SLOPE_HIGH|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,113.0,129.0,0.536636,0.263736,0.0,SPEED_BELOW_LOW_SPEED_THRESHOLD,1,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated.",ROUTE_LOAD_BEHAVIOR_RESPONSE_CANDIDATE,"Candidate window means high/very-high route-load context plus an observed behavior response flag. It is not causality, not ability scoring, and not a final risk assessment."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,200,250,UNKNOWN,95,21.137,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,VERTICAL_RANGE_HIGH|SLOPE_HIGH|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,119.0,129.0,0.592183,0.105263,0.0,SPEED_BELOW_LOW_SPEED_THRESHOLD,1,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated.",ROUTE_LOAD_BEHAVIOR_RESPONSE_CANDIDATE,"Candidate window means high/very-high route-load context plus an observed behavior response flag. It is not causality, not ability scoring, and not a final risk assessment."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,250,300,UNKNOWN,74,14.537,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.7,1.0,0.72685,0.72685,1.0,1.0,1.0,86.342,VERY_HIGH_ROUTE_LOAD_CONTEXT,IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,111.0,129.0,0.567901,0.189189,0.0,SPEED_BELOW_LOW_SPEED_THRESHOLD,1,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated.",ROUTE_LOAD_BEHAVIOR_RESPONSE_CANDIDATE,"Candidate window means high/very-high route-load context plus an observed behavior response flag. It is not causality, not ability scoring, and not a final risk assessment."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,300,350,UNKNOWN,48,7.727,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.7,1.0,0.38635,0.38635,1.0,1.0,1.0,69.318,HIGH_ROUTE_LOAD_CONTEXT,IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,156.0,129.0,0.903194,0.020833,0.0,ACTIVITY_RELATIVE_HIGH_HR_WINDOW,1,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated.",ROUTE_LOAD_BEHAVIOR_RESPONSE_CANDIDATE,"Candidate window means high/very-high route-load context plus an observed behavior response flag. It is not causality, not ability scoring, and not a final risk assessment."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,350,400,UNKNOWN,57,15.668,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.7,1.0,0.7834,0.7834,1.0,1.0,1.0,89.17,VERY_HIGH_ROUTE_LOAD_CONTEXT,VERTICAL_RANGE_HIGH|SLOPE_HIGH|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,114.0,129.0,0.582554,0.087719,0.0,SPEED_BELOW_LOW_SPEED_THRESHOLD,1,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated.",ROUTE_LOAD_BEHAVIOR_RESPONSE_CANDIDATE,"Candidate window means high/very-high route-load context plus an observed behavior response flag. It is not causality, not ability scoring, and not a final risk assessment."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,500,550,UNKNOWN,67,14.258,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.5,1.0,0.7129,0.7129,1.0,0.7142857142857143,1.0,81.359,VERY_HIGH_ROUTE_LOAD_CONTEXT,IB2_EFFORT_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,138.0,129.0,0.699796,0.029851,0.0,ACTIVITY_RELATIVE_HIGH_HR_WINDOW|SPEED_BELOW_LOW_SPEED_THRESHOLD,2,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated.",ROUTE_LOAD_BEHAVIOR_RESPONSE_CANDIDATE,"Candidate window means high/very-high route-load context plus an observed behavior response flag. It is not causality, not ability scoring, and not a final risk assessment."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,1200,1250,UNKNOWN,68,10.669,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.5,1.0,0.53345,0.53345,1.0,0.7142857142857143,1.0,72.387,HIGH_ROUTE_LOAD_CONTEXT,IB2_EFFORT_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,112.5,129.0,0.629411,0.058824,0.0,SPEED_BELOW_LOW_SPEED_THRESHOLD,1,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated.",ROUTE_LOAD_BEHAVIOR_RESPONSE_CANDIDATE,"Candidate window means high/very-high route-load context plus an observed behavior response flag. It is not causality, not ability scoring, and not a final risk assessment."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,1350,1400,UNKNOWN,117,22.054,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,VERTICAL_RANGE_HIGH|SLOPE_HIGH|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,110.0,129.0,0.285087,0.589744,0.0,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH,2,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated.",ROUTE_LOAD_BEHAVIOR_RESPONSE_CANDIDATE,"Candidate window means high/very-high route-load context plus an observed behavior response flag. It is not causality, not ability scoring, and not a final risk assessment."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,1400,1450,UNKNOWN,114,21.898,79.464,CALIBRATED_SLOPE_P75_ABS,0.45,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,VERTICAL_RANGE_HIGH|SLOPE_HIGH|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,150.0,129.0,0.414047,0.412281,0.0,ACTIVITY_RELATIVE_HIGH_HR_WINDOW|SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH,3,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated.",ROUTE_LOAD_BEHAVIOR_RESPONSE_CANDIDATE,"Candidate window means high/very-high route-load context plus an observed behavior response flag. It is not causality, not ability scoring, and not a final risk assessment."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,1450,1500,UNKNOWN,95,18.483,50.32875,CALIBRATED_SLOPE_P75_ABS,0.45,0.7,1.0,0.92415,1.0,1.0,1.0,1.0,97.724,VERY_HIGH_ROUTE_LOAD_CONTEXT,VERTICAL_RANGE_HIGH|SLOPE_HIGH|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,158.0,129.0,0.413609,0.389474,0.0,ACTIVITY_RELATIVE_HIGH_HR_WINDOW|SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH,3,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated.",ROUTE_LOAD_BEHAVIOR_RESPONSE_CANDIDATE,"Candidate window means high/very-high route-load context plus an observed behavior response flag. It is not causality, not ability scoring, and not a final risk assessment."
