activity_id_short,completion_time_min,completion_group,temperature_c,relative_humidity_pct,precipitation_mm,wind_speed_ms,wind_gust_ms,uv_index,weather_context_flags,environment_context_flags,weather_attach_level,weather_context_available,weather_interpretation_flags
33_1,109.3667,fast,23.8,91.4,0.0,3.1,6.8,11.0,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
15_1,115.9167,fast,25.3,90.4,0.0,1.7,7.1,6.0,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
44_1,116.5333,fast,23.8,91.4,0.0,3.1,6.8,11.0,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
41_1,117.55,fast,23.8,91.4,0.0,3.1,6.8,11.0,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
14_1,119.6667,fast,24.8,88.8,0.0,1.4,7.6,6.0,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
45_1,120.1667,fast,23.8,91.4,0.0,3.1,6.8,11.0,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
35_1,125.8167,fast,25.3,90.4,0.0,1.7,7.1,6.0,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
29_1,126.8,fast,24.0,94.2,1.0,2.1,5.8,7.0,有觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
30_1,126.8333,fast,25.3,90.4,0.0,1.7,7.1,6.0,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
40_1,128.1833,middle,24.5,89.6,0.0,3.2,6.8,11.0,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
3_1,130.9667,middle,23.1,94.0,0.0,4.8,14.7,6.0,無觀測降雨、高濕 ≥90%、有陣風觀測、陣風 ≥10 m/s、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
36_1,133.3333,middle,25.3,90.4,0.0,1.7,7.1,6.0,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
13_1,138.35,middle,25.1,88.0,0.0,1.5,7.6,9.0,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
8_1,140.2167,middle,25.1,88.0,0.0,1.5,7.6,9.0,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
28_1,143.6833,middle,25.9,88.2,0.0,1.9,7.1,7.0,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
9_1,144.0333,middle,22.0,100.0,44.5,4.3,14.5,1.0,有觀測降雨、高濕 ≥90%、有陣風觀測、陣風 ≥10 m/s、累積降雨 ≥5 mm、無日照,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
20_1,149.95,middle,24.8,88.8,0.0,1.4,7.6,6.0,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
37_1,158.5167,slow,25.6,89.6,0.0,1.8,7.1,7.0,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
16_1,169.75,slow,24.8,88.8,0.0,1.4,7.6,6.0,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
38_1,169.7667,slow,24.1,90.8,0.0,3.2,6.8,11.0,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
42_1,171.1,slow,23.9,89.7,0.0,3.1,7.4,8.0,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
46_1,171.5,slow,23.9,89.7,0.0,3.1,7.4,8.0,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
23_1,188.4,slow,25.1,88.0,0.0,1.5,7.6,9.0,無觀測降雨、濕度 <90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
43_1,190.5333,slow,24.1,90.8,0.0,3.2,6.8,11.0,無觀測降雨、高濕 ≥90%、有陣風觀測、日照 ≥60 分、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
48_1,192.7833,slow,23.2,95.4,0.0,2.1,11.4,6.0,無觀測降雨、高濕 ≥90%、有陣風觀測、陣風 ≥10 m/s、UV ≥6,NONE,WEATHER_ACTIVITY_LEVEL_ONLY,True,WEATHER_ADVERSE_CONTEXT_PRESENT
