activity_id_short,completion_time_min,completion_group,heart_rate_available,heart_rate_window_count,heart_rate_bpm_median_all,heart_rate_bpm_p75_all,heart_rate_bpm_p90_all,activity_relative_high_hr_window_ratio,high_or_very_high_load_hr_median,high_or_very_high_load_high_hr_window_ratio,early_checkpoint_hr_median,early_checkpoint_high_hr_window_ratio,hr_effort_interpretation_flags
33_1,109.3667,fast,True,81,152.0,161.0,165.0,0.283951,157.75,0.369565,166.5,1.0,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
15_1,115.9167,fast,True,81,160.5,167.0,169.0,0.259259,163.5,0.340426,156.0,0.142857,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
44_1,116.5333,fast,True,80,166.0,170.125,173.05,0.25,166.0,0.191489,169.0,0.285714,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
41_1,117.55,fast,True,83,151.0,158.0,160.0,0.26506,153.0,0.297872,151.0,0.0,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT
14_1,119.6667,fast,True,84,140.0,157.625,164.0,0.25,147.5,0.326087,161.0,0.714286,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
45_1,120.1667,fast,True,81,159.0,162.5,166.0,0.259259,161.25,0.391304,165.0,0.857143,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
35_1,125.8167,fast,True,84,153.5,162.0,165.7,0.285714,161.0,0.4375,162.0,0.571429,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
29_1,126.8,fast,True,84,145.0,160.25,164.7,0.25,145.0,0.291667,156.0,0.428571,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
30_1,126.8333,fast,True,82,146.0,154.0,158.0,0.280488,152.0,0.425532,158.0,0.714286,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
40_1,128.1833,middle,True,81,146.5,150.0,153.0,0.296296,148.0,0.347826,145.0,0.285714,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
3_1,130.9667,middle,True,81,115.0,129.0,144.0,0.259259,115.0,0.304348,113.0,0.428571,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
36_1,133.3333,middle,True,81,179.0,182.5,187.0,0.259259,180.0,0.285714,186.0,0.714286,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
13_1,138.35,middle,True,80,155.0,165.0,168.0,0.2625,160.0,0.369565,167.0,0.857143,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
8_1,140.2167,middle,True,84,166.0,171.25,175.0,0.25,169.5,0.454545,174.0,0.714286,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
28_1,143.6833,middle,True,84,152.0,162.0,165.0,0.27381,158.5,0.431818,158.5,0.428571,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
9_1,144.0333,middle,True,81,146.5,159.0,168.0,0.259259,147.0,0.340426,169.0,0.714286,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
20_1,149.95,middle,True,79,150.0,163.0,166.2,0.265823,159.0,0.418605,165.0,0.571429,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
37_1,158.5167,slow,True,80,161.0,166.0,170.1,0.2875,162.5,0.333333,169.0,0.857143,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
16_1,169.75,slow,True,83,136.5,144.75,154.6,0.253012,139.0,0.266667,134.0,0.142857,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
38_1,169.7667,slow,True,81,121.0,128.0,132.0,0.259259,126.0,0.434783,121.0,0.428571,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
42_1,171.1,slow,True,84,138.25,152.0,158.0,0.285714,151.0,0.468085,151.0,0.428571,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
46_1,171.5,slow,True,84,127.5,148.25,155.0,0.25,142.5,0.369565,153.0,0.571429,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
23_1,188.4,slow,True,83,132.0,141.5,155.0,0.253012,138.0,0.355556,155.0,0.714286,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
43_1,190.5333,slow,True,84,128.0,133.0,138.0,0.27381,131.0,0.382979,134.5,0.714286,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
48_1,192.7833,slow,True,84,109.25,122.375,132.7,0.25,113.0,0.4,130.0,0.571429,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT
