activity_id_short,completion_group,completion_time_min,segment_start_m,segment_end_m,speed_mps_median,low_speed_ratio_median,stopped_ratio_median,heart_rate_bpm_median,relative_high_hr_window_ratio,dominant_planning_caution_level,dominant_route_load_context_band,candidate_windows_n,weather_interpretation_flags,hr_effort_interpretation_flags,early_checkpoint_effort_interpretation
14_1,fast,119.6667,1350,1700,0.505954,0.359551,0.0,161.0,0.714286,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
15_1,fast,115.9167,1350,1700,0.543218,0.156863,0.0,156.0,0.142857,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
29_1,fast,126.8,1350,1700,0.334509,0.17,0.0,156.0,0.428571,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
30_1,fast,126.8333,1350,1700,0.343144,0.052147,0.0,158.0,0.714286,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
33_1,fast,109.3667,1350,1700,0.494833,0.333333,0.0,166.5,1.0,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
35_1,fast,125.8167,1350,1700,0.371758,0.158683,0.0,162.0,0.571429,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
41_1,fast,117.55,1350,1700,0.32448,0.510638,0.0,151.0,0.0,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_BUT_NO_HIGH_HR_EVIDENCE
44_1,fast,116.5333,1350,1700,0.413291,0.419355,0.0,169.0,0.285714,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
45_1,fast,120.1667,1350,1700,0.374442,0.415385,0.0,165.0,0.857143,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
13_1,middle,138.35,1350,1700,0.290017,0.547945,0.0,167.0,0.857143,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,WEATHER_ADVERSE_CONTEXT_PRESENT,HR_CONTEXT_AVAILABLE|ACTIVITY_RELATIVE_HIGH_HR_EVIDENCE_PRESENT|HIGH_LOAD_HIGH_HR_EVIDENCE_PRESENT|EARLY_CHECKPOINT_HIGH_HR_EVIDENCE_PRESENT,PASSED_WITH_LOW_SPEED_AND_HIGH_HR_RESPONSE
