activity_id_short,completion_group,completion_time_min,segment_start_m,segment_end_m,window_count,dominant_planning_caution_level,max_route_load_context_index_0_100,dominant_route_load_context_band,candidate_windows_n,behavior_response_flags_merged,event_annotation_flags_merged,speed_mps_median,low_speed_ratio_median,stopped_ratio_median,heart_rate_bpm_median,segment_completion_interpretation
14_1,fast,119.6667,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|ACTIVITY_RELATIVE_HIGH_HR_WINDOW,NONE,0.505954,0.359551,0.0,161.0,PASSED_BUT_REVIEW_REQUIRED
15_1,fast,115.9167,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|ACTIVITY_RELATIVE_HIGH_HR_WINDOW,NONE,0.543218,0.156863,0.0,156.0,PASSED_BUT_REVIEW_REQUIRED
29_1,fast,126.8,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|ACTIVITY_RELATIVE_HIGH_HR_WINDOW,NONE,0.334509,0.17,0.0,156.0,PASSED_BUT_REVIEW_REQUIRED
30_1,fast,126.8333,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,ACTIVITY_RELATIVE_HIGH_HR_WINDOW|SPEED_BELOW_LOW_SPEED_THRESHOLD,NONE,0.343144,0.052147,0.0,158.0,PASSED_BUT_REVIEW_REQUIRED
33_1,fast,109.3667,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,ACTIVITY_RELATIVE_HIGH_HR_WINDOW|SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH,NONE,0.494833,0.333333,0.0,166.5,PASSED_BUT_REVIEW_REQUIRED
35_1,fast,125.8167,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,ACTIVITY_RELATIVE_HIGH_HR_WINDOW|SPEED_BELOW_LOW_SPEED_THRESHOLD,NONE,0.371758,0.158683,0.0,162.0,PASSED_BUT_REVIEW_REQUIRED
41_1,fast,117.55,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|STOP_RATIO_OBSERVED,NONE,0.32448,0.510638,0.0,151.0,PASSED_BUT_REVIEW_REQUIRED
44_1,fast,116.5333,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|ACTIVITY_RELATIVE_HIGH_HR_WINDOW|STOP_RATIO_OBSERVED,NONE,0.413291,0.419355,0.0,169.0,PASSED_BUT_REVIEW_REQUIRED
45_1,fast,120.1667,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH|ACTIVITY_RELATIVE_HIGH_HR_WINDOW,NONE,0.374442,0.415385,0.0,165.0,PASSED_BUT_REVIEW_REQUIRED
13_1,middle,138.35,1350,1700,7,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,6,ACTIVITY_RELATIVE_HIGH_HR_WINDOW|SPEED_BELOW_LOW_SPEED_THRESHOLD|LOW_SPEED_RATIO_HIGH,NONE,0.290017,0.547945,0.0,167.0,PASSED_BUT_REVIEW_REQUIRED
