activity_id_short,extreme_type,heart_rate_bpm,elapsed_sec,route_distance_m,speed_mps,elevation_m,route_load_context_band,planning_caution_level,boundary
37_1,hr_min,88.0,1.0,0.0,,,LOWER_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
37_1,hr_max,182.0,3652.0,2118.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
13_1,hr_min,75.0,8101.0,4165.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
13_1,hr_max,173.0,2012.0,2688.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
14_1,hr_min,72.0,7034.0,4165.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
14_1,hr_max,175.0,1761.0,2557.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
15_1,hr_min,87.0,6898.0,4163.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
15_1,hr_max,180.0,3236.0,2356.0,,,HIGH_ROUTE_LOAD_CONTEXT,CONSERVATIVE_PLANNING_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
16_1,hr_min,78.0,0.0,0.0,,,LOWER_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
16_1,hr_max,173.0,925.0,540.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
20_1,hr_min,66.0,8739.0,4161.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
20_1,hr_max,184.0,2198.0,2671.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
23_1,hr_min,63.0,0.0,0.0,,,LOWER_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
23_1,hr_max,179.0,2652.0,2581.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
28_1,hr_min,72.0,4.0,4186.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
28_1,hr_max,185.0,4271.0,2370.0,,,HIGH_ROUTE_LOAD_CONTEXT,CONSERVATIVE_PLANNING_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
29_1,hr_min,92.0,7252.0,4165.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
29_1,hr_max,172.0,1682.0,2572.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
30_1,hr_min,66.0,0.0,4178.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
30_1,hr_max,164.0,2075.0,2577.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
33_1,hr_min,69.0,6401.0,4165.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
33_1,hr_max,171.0,1746.0,2587.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
35_1,hr_min,75.0,7492.0,4164.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
35_1,hr_max,174.0,1623.0,2732.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
36_1,hr_min,93.0,0.0,4183.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
36_1,hr_max,194.0,2277.0,2569.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
38_1,hr_min,59.0,7769.0,3867.0,,,HIGH_ROUTE_LOAD_CONTEXT,CONSERVATIVE_PLANNING_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
38_1,hr_max,154.0,3616.0,2402.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
3_1,hr_min,65.0,7746.0,4165.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
3_1,hr_max,170.0,1613.0,2736.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
40_1,hr_min,82.0,7371.0,4164.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
40_1,hr_max,163.0,2185.0,2584.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
41_1,hr_min,73.0,4.0,2.0,,,LOWER_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
41_1,hr_max,165.0,1035.0,3106.0,,,MODERATE_ROUTE_LOAD_CONTEXT,ROUTINE_PLANNING_CONTEXT,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
42_1,hr_min,99.0,0.0,0.0,,,LOWER_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
42_1,hr_max,166.0,2761.0,1628.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
43_1,hr_min,63.0,6.0,4185.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
43_1,hr_max,194.0,11354.0,4166.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
44_1,hr_min,68.0,0.0,0.0,,,LOWER_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
44_1,hr_max,184.0,2005.0,2098.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
45_1,hr_min,83.0,6759.0,4163.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
45_1,hr_max,173.0,1838.0,2557.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
46_1,hr_min,83.0,9057.0,4165.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
46_1,hr_max,171.0,3042.0,2391.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
48_1,hr_min,69.0,10874.0,4164.0,,,MODERATE_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
48_1,hr_max,158.0,2915.0,2677.0,,,VERY_HIGH_ROUTE_LOAD_CONTEXT,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
6_1,hr_min,62.0,11104.0,4164.0,,,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
6_1,hr_max,162.0,1596.0,2729.0,,,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
8_1,hr_min,92.0,0.0,0.0,,,LOWER_ROUTE_LOAD_CONTEXT,REVIEW_FOR_CONSERVATIVE_PLANNING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
