activity_id_short,duration_sec,point_count,hr_available_count,hr_coverage_ratio,hr_min_bpm,hr_max_bpm,hr_median_bpm,hr_p75_bpm,hr_p90_bpm,hr_range_bpm,speed_mps_median,high_load_hr_median,high_load_speed_mps_median,early_hr_median,middle_hr_median,late_hr_median,early_speed_median,late_speed_median,hr_drift_late_minus_early_bpm,speed_drift_late_minus_early_mps,input_time_col,input_hr_col,input_speed_col,input_route_distance_col,data_quality_flags,boundary
13_1,8301.0,8302,8302,1.0,75.0,173.0,139.0,159.0,168.0,98.0,,153.0,,161.0,136.0,108.0,,,-53.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
14_1,7180.0,7181,7181,1.0,72.0,175.0,119.0,152.0,165.0,103.0,,148.0,,160.0,118.0,93.0,,,-67.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
15_1,6955.0,6956,6956,1.0,87.0,180.0,155.0,166.0,171.0,93.0,,163.0,,165.0,157.0,110.0,,,-55.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
16_1,10185.0,10186,10186,1.0,78.0,173.0,131.0,147.0,161.0,95.0,,138.0,,149.0,131.0,120.0,,,-29.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
20_1,8997.0,8998,8998,1.0,66.0,184.0,142.0,158.0,169.0,118.0,,157.0,,163.0,137.0,130.0,,,-33.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
23_1,11304.0,11305,11305,1.0,63.0,179.0,127.0,143.0,163.0,116.0,,137.0,,149.0,123.0,118.0,,,-31.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
28_1,8621.0,8622,8622,1.0,72.0,185.0,144.0,159.0,168.0,113.0,,155.0,,159.0,144.0,119.0,,,-40.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
29_1,7608.0,7600,7600,1.0,92.0,172.0,139.0,158.0,166.0,80.0,,145.0,,160.0,142.0,108.0,,,-52.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
30_1,7610.0,1873,1873,1.0,66.0,164.0,135.0,152.0,159.0,98.0,,146.0,,153.0,128.0,109.0,,,-44.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
33_1,6562.0,6563,6563,1.0,69.0,171.0,138.0,156.0,163.0,102.0,,152.0,,158.0,138.0,87.0,,,-71.0,,elapsed_sec,heart_rate_bpm,,route_dist_m,SPEED_COLUMN_MISSING,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
