activity_id_short,windows_n,candidate_windows_n,routine_planning_context_windows_n,review_for_conservative_planning_windows_n,conservative_planning_recommended_windows_n,turnaround_condition_review_windows_n,max_route_load_context_index_0_100,median_route_load_context_index_0_100,planning_caution_window_ratio,turnaround_condition_review_window_ratio,weather_attach_level,weather_context_available_for_planning,event_annotation_windows_n,summary_boundary
13_1,80,38,20,14,19,27,100.0,69.205,0.75,0.3375,WEATHER_ACTIVITY_LEVEL_ONLY,True,6,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
14_1,84,28,19,19,22,24,100.0,64.113,0.77381,0.285714,WEATHER_ACTIVITY_LEVEL_ONLY,True,5,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
15_1,81,35,19,15,24,23,100.0,68.812,0.765432,0.283951,WEATHER_ACTIVITY_LEVEL_ONLY,True,51,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
16_1,83,41,20,18,18,27,100.0,65.48,0.759036,0.325301,WEATHER_ACTIVITY_LEVEL_ONLY,True,17,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
20_1,79,38,20,16,15,28,100.0,68.044,0.746835,0.35443,WEATHER_ACTIVITY_LEVEL_ONLY,True,41,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
23_1,83,44,19,19,16,29,100.0,63.96,0.771084,0.349398,WEATHER_ACTIVITY_LEVEL_ONLY,True,54,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
28_1,84,40,20,20,16,28,100.0,66.3745,0.761905,0.333333,WEATHER_ACTIVITY_LEVEL_ONLY,True,6,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
29_1,84,39,19,17,21,27,100.0,68.698,0.77381,0.321429,WEATHER_ACTIVITY_LEVEL_ONLY,True,45,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
30_1,82,39,20,15,22,25,100.0,68.059,0.756098,0.304878,WEATHER_ACTIVITY_LEVEL_ONLY,True,42,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
33_1,81,27,21,14,25,21,100.0,68.812,0.740741,0.259259,WEATHER_ACTIVITY_LEVEL_ONLY,True,1,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
