route_distance_m,dist_m,lat,lon,osm_highway,osm_surface,surface_class,route_semantic_class,osm_is_steps,slope_pct,slope_window_nlsc,near_shelter,dist_shelter_m,near_guidepost,dist_guidepost_m,near_peak,dist_peak_m,near_trailhead,dist_trailhead_m,near_waterway,dist_waterway_m,near_bench,dist_bench_m,near_picnic_table,dist_picnic_table_m,source_route_distance_m,surface_type,surface_label,slope_pct_raw,slope_pct_plot,slope_source,slope_method,surface_method,activity_id_short_x,behavior_window_start_m,activity_id_short_y,behavior_window_end_m,source_window_row_count,point_count,route_phase,speed_mps_median,speed_mps_p25,speed_mps_p75,low_speed_ratio_mean,low_speed_ratio_median,stopped_ratio_mean,stopped_ratio_median,heart_rate_bpm_median,heart_rate_bpm_p25,heart_rate_bpm_p75,route_load_context_band,calibrated_slope_pct_median_behavior,ib2_terrain_evidence_median,ib2_effort_evidence_median,ib2_exposure_evidence_median,near_steps_ratio,near_guidepost_ratio,near_shelter_ratio,near_waterway_ratio,near_cliff_ratio,near_road_ratio,osm_exposure_types,window_qa_flags,interpretation_boundary,behavior_grain_note,activity_count,event_types_at_marker_m,event_labels_at_marker_m,shelter_context_zone_id,profile_interpretation_boundary
0,0.0,25.166172799999995,121.563309,footway,sett,paved_stone,footway,0,,0.2,0,128.2281496658014,0,47.61923648246749,0,360.039576967549,1,1.2042255267384578,1,7.464587850092706,0,44.68132703619487,0,403.6236310938853,0.0,footway,步道 footway,,13.355020630410763,slope_pct,11m centered rolling median of signed route slope for display readability,nearest canonical route row within 0.51m; priority=step>footway>path/trail>road>unknown/other,44_1,0,44_1,50.0,1.0,83.0,UNKNOWN,1.070731,1.070731,1.070731,0.277108,0.277108,0.0,0.0,159.0,159.0,159.0,MODERATE_ROUTE_LOAD_EVIDENCE,-1.9795,0.5,0.0,0.0,0.228916,0.084337,0.0,1.0,0.0,1.0,guidepost|road|steps|trailhead|waterway,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load, behavior, proximity exposure, and weather evidence only; no ability or risk scoring.",50m single-activity behavior window summary; not a 1m instantaneous value,1.0,,,,Surface and slope are route-axis evidence; behavior is a selected-activity window summary; event markers and shelter context zones are proximity/candidate evidence only.
1,1.0,25.166164080703027,121.56331157426868,steps,sett,paved_stone,steps,1,13.355020630410763,0.2,0,127.75087495585883,0,46.85463048106261,0,359.90326413591794,1,0.204225527307663,1,8.000372336132651,0,43.89181982556808,0,404.4962080334194,1.0,step,階梯 step,13.355020630410763,13.285837545021195,slope_pct,11m centered rolling median of signed route slope for display readability,nearest canonical route row within 0.51m; priority=step>footway>path/trail>road>unknown/other,44_1,0,44_1,50.0,1.0,83.0,UNKNOWN,1.070731,1.070731,1.070731,0.277108,0.277108,0.0,0.0,159.0,159.0,159.0,MODERATE_ROUTE_LOAD_EVIDENCE,-1.9795,0.5,0.0,0.0,0.228916,0.084337,0.0,1.0,0.0,1.0,guidepost|road|steps|trailhead|waterway,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load, behavior, proximity exposure, and weather evidence only; no ability or risk scoring.",50m single-activity behavior window summary; not a 1m instantaneous value,1.0,trailhead,登山口,,Surface and slope are route-axis evidence; behavior is a selected-activity window summary; event markers and shelter context zones are proximity/candidate evidence only.
2,2.0,25.16615546716807,121.56331454029764,steps,sett,paved_stone,steps,1,15.67192228415024,0.2,0,127.24378264237237,0,46.1270379613605,0,359.8106350709858,1,0.7957744732429594,1,8.649743420924938,0,43.137848819275376,0,404.76093074922943,2.0,step,階梯 step,15.67192228415024,13.216654459631629,slope_pct,11m centered rolling median of signed route slope for display readability,nearest canonical route row within 0.51m; priority=step>footway>path/trail>road>unknown/other,44_1,0,44_1,50.0,1.0,83.0,UNKNOWN,1.070731,1.070731,1.070731,0.277108,0.277108,0.0,0.0,159.0,159.0,159.0,MODERATE_ROUTE_LOAD_EVIDENCE,-1.9795,0.5,0.0,0.0,0.228916,0.084337,0.0,1.0,0.0,1.0,guidepost|road|steps|trailhead|waterway,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load, behavior, proximity exposure, and weather evidence only; no ability or risk scoring.",50m single-activity behavior window summary; not a 1m instantaneous value,1.0,,,,Surface and slope are route-axis evidence; behavior is a selected-activity window summary; event markers and shelter context zones are proximity/candidate evidence only.
3,3.0,25.16614688077553,121.5633176068666,steps,sett,paved_stone,steps,1,14.365928760480529,0.2,0,126.7333041795538,0,45.41710730404394,0,359.7312747764992,1,1.7957744728777565,1,9.367702627196522,0,42.40105326362024,0,404.7489276348223,3.0,step,階梯 step,14.365928760480529,12.708321595800953,slope_pct,11m centered rolling median of signed route slope for display readability,nearest canonical route row within 0.51m; priority=step>footway>path/trail>road>unknown/other,44_1,0,44_1,50.0,1.0,83.0,UNKNOWN,1.070731,1.070731,1.070731,0.277108,0.277108,0.0,0.0,159.0,159.0,159.0,MODERATE_ROUTE_LOAD_EVIDENCE,-1.9795,0.5,0.0,0.0,0.228916,0.084337,0.0,1.0,0.0,1.0,guidepost|road|steps|trailhead|waterway,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load, behavior, proximity exposure, and weather evidence only; no ability or risk scoring.",50m single-activity behavior window summary; not a 1m instantaneous value,1.0,,,,Surface and slope are route-axis evidence; behavior is a selected-activity window summary; event markers and shelter context zones are proximity/candidate evidence only.
4,4.0,25.1661382943829,121.56332067343511,steps,sett,paved_stone,steps,1,13.216654459631629,0.2,0,126.22868356796684,0,44.71826965052168,0,359.6546774256244,1,2.795774473863053,1,10.104436806450783,0,41.67522807220853,0,404.7393948972488,4.0,step,階梯 step,13.216654459631629,12.19998873197028,slope_pct,11m centered rolling median of signed route slope for display readability,nearest canonical route row within 0.51m; priority=step>footway>path/trail>road>unknown/other,44_1,0,44_1,50.0,1.0,83.0,UNKNOWN,1.070731,1.070731,1.070731,0.277108,0.277108,0.0,0.0,159.0,159.0,159.0,MODERATE_ROUTE_LOAD_EVIDENCE,-1.9795,0.5,0.0,0.0,0.228916,0.084337,0.0,1.0,0.0,1.0,guidepost|road|steps|trailhead|waterway,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load, behavior, proximity exposure, and weather evidence only; no ability or risk scoring.",50m single-activity behavior window summary; not a 1m instantaneous value,1.0,,,,Surface and slope are route-axis evidence; behavior is a selected-activity window summary; event markers and shelter context zones are proximity/candidate evidence only.
5,5.0,25.16612954364797,121.56332258405538,steps,sett,paved_stone,steps,1,12.19998873197028,0.2,0,125.84039747286126,0,43.958652216606446,0,359.4660676443148,1,3.778862759453137,1,10.748655286173356,0,40.8921209580919,0,404.61600474356334,5.0,step,階梯 step,12.19998873197028,11.748137297450967,slope_pct,11m centered rolling median of signed route slope for display readability,nearest canonical route row within 0.51m; priority=step>footway>path/trail>road>unknown/other,44_1,0,44_1,50.0,1.0,83.0,UNKNOWN,1.070731,1.070731,1.070731,0.277108,0.277108,0.0,0.0,159.0,159.0,159.0,MODERATE_ROUTE_LOAD_EVIDENCE,-1.9795,0.5,0.0,0.0,0.228916,0.084337,0.0,1.0,0.0,1.0,guidepost|road|steps|trailhead|waterway,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load, behavior, proximity exposure, and weather evidence only; no ability or risk scoring.",50m single-activity behavior window summary; not a 1m instantaneous value,1.0,,,,Surface and slope are route-axis evidence; behavior is a selected-activity window summary; event markers and shelter context zones are proximity/candidate evidence only.
6,6.0,25.1661205151805,121.56332254116484,steps,sett,paved_stone,steps,1,11.296285862931654,0.2,0,125.64580905470244,0,43.08406412859202,0,359.08598909728505,1,4.746237245638026,1,11.236525526273727,0,39.99980687467508,0,404.29832415452,6.0,step,階梯 step,11.296285862931654,11.296285862931654,slope_pct,11m centered rolling median of signed route slope for display readability,nearest canonical route row within 0.51m; priority=step>footway>path/trail>road>unknown/other,44_1,0,44_1,50.0,1.0,83.0,UNKNOWN,1.070731,1.070731,1.070731,0.277108,0.277108,0.0,0.0,159.0,159.0,159.0,MODERATE_ROUTE_LOAD_EVIDENCE,-1.9795,0.5,0.0,0.0,0.228916,0.084337,0.0,1.0,0.0,1.0,guidepost|road|steps|trailhead|waterway,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load, behavior, proximity exposure, and weather evidence only; no ability or risk scoring.",50m single-activity behavior window summary; not a 1m instantaneous value,1.0,,,,Surface and slope are route-axis evidence; behavior is a selected-activity window summary; event markers and shelter context zones are proximity/candidate evidence only.
7,7.0,25.166111486713017,121.56332249827427,steps,sett,paved_stone,steps,1,10.489408301305048,0.2,0,125.45888979983772,0,42.215045410229656,0,358.7082956170896,1,5.724834690155161,1,11.72439576667638,0,39.11270309738811,0,403.9828691094865,7.0,step,階梯 step,10.489408301305048,11.107479628697092,slope_pct,11m centered rolling median of signed route slope for display readability,nearest canonical route row within 0.51m; priority=step>footway>path/trail>road>unknown/other,44_1,0,44_1,50.0,1.0,83.0,UNKNOWN,1.070731,1.070731,1.070731,0.277108,0.277108,0.0,0.0,159.0,159.0,159.0,MODERATE_ROUTE_LOAD_EVIDENCE,-1.9795,0.5,0.0,0.0,0.228916,0.084337,0.0,1.0,0.0,1.0,guidepost|road|steps|trailhead|waterway,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load, behavior, proximity exposure, and weather evidence only; no ability or risk scoring.",50m single-activity behavior window summary; not a 1m instantaneous value,1.0,,,,Surface and slope are route-axis evidence; behavior is a selected-activity window summary; event markers and shelter context zones are proximity/candidate evidence only.
8,8.0,25.166102458245525,121.56332245538368,steps,sett,paved_stone,steps,1,9.766000832246393,0.2,0,125.2796740356647,0,41.35194718660285,0,358.3329947454061,1,6.709746379276449,1,12.212266007664928,0,38.231172322356734,0,403.6696448259563,8.0,step,階梯 step,9.766000832246393,10.489408301305048,slope_pct,11m centered rolling median of signed route slope for display readability,nearest canonical route row within 0.51m; priority=step>footway>path/trail>road>unknown/other,44_1,0,44_1,50.0,1.0,83.0,UNKNOWN,1.070731,1.070731,1.070731,0.277108,0.277108,0.0,0.0,159.0,159.0,159.0,MODERATE_ROUTE_LOAD_EVIDENCE,-1.9795,0.5,0.0,0.0,0.228916,0.084337,0.0,1.0,0.0,1.0,guidepost|road|steps|trailhead|waterway,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load, behavior, proximity exposure, and weather evidence only; no ability or risk scoring.",50m single-activity behavior window summary; not a 1m instantaneous value,1.0,,,,Surface and slope are route-axis evidence; behavior is a selected-activity window summary; event markers and shelter context zones are proximity/candidate evidence only.
9,9.0,25.166093429778027,121.56332241249304,steps,sett,paved_stone,steps,1,9.114934110084503,0.2,0,125.1081948704616,0,40.495148020835,0,357.9600940058357,1,7.698549259575188,1,12.700136246272578,0,37.35560909258556,0,403.3586564986725,9.0,step,階梯 step,9.114934110084503,10.413262151905656,slope_pct,11m centered rolling median of signed route slope for display readability,nearest canonical route row within 0.51m; priority=step>footway>path/trail>road>unknown/other,44_1,0,44_1,50.0,1.0,83.0,UNKNOWN,1.070731,1.070731,1.070731,0.277108,0.277108,0.0,0.0,159.0,159.0,159.0,MODERATE_ROUTE_LOAD_EVIDENCE,-1.9795,0.5,0.0,0.0,0.228916,0.084337,0.0,1.0,0.0,1.0,guidepost|road|steps|trailhead|waterway,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load, behavior, proximity exposure, and weather evidence only; no ability or risk scoring.",50m single-activity behavior window summary; not a 1m instantaneous value,1.0,,,,Surface and slope are route-axis evidence; behavior is a selected-activity window summary; event markers and shelter context zones are proximity/candidate evidence only.
