"activity_id","overlay_exists","high_hr_windows","short_pause_windows","off_route_rest_windows","terminal_artifact_windows","drawable_windows","diagnosis"
"3_1","True","2","4","0","1","6","HAS_DRAWABLE_IB3D_EVENTS"
"8_1","True","5","1","0","1","6","HAS_DRAWABLE_IB3D_EVENTS"
"9_1","True","3","7","0","0","10","HAS_DRAWABLE_IB3D_EVENTS"
"13_1","True","4","2","0","1","6","HAS_DRAWABLE_IB3D_EVENTS"
"14_1","True","2","2","0","1","4","HAS_DRAWABLE_IB3D_EVENTS"
"15_1","True","0","0","0","0","0","NO_DRAWABLE_EVENT_WINDOWS"
"16_1","True","10","8","0","1","18","HAS_DRAWABLE_IB3D_EVENTS"
"20_1","True","0","0","0","0","0","NO_DRAWABLE_EVENT_WINDOWS"
"23_1","True","0","0","0","0","0","NO_DRAWABLE_EVENT_WINDOWS"
"28_1","True","4","2","0","1","6","HAS_DRAWABLE_IB3D_EVENTS"
"29_1","True","0","0","0","0","0","NO_DRAWABLE_EVENT_WINDOWS"
"30_1","True","0","0","0","0","0","NO_DRAWABLE_EVENT_WINDOWS"
"33_1","True","0","0","0","1","0","ONLY_TERMINAL_ARTIFACT_OR_NON_DRAWABLE"
"35_1","True","0","0","0","0","0","NO_DRAWABLE_EVENT_WINDOWS"
"36_1","True","6","0","0","0","6","HAS_DRAWABLE_IB3D_EVENTS"
"37_1","True","10","3","1","1","14","HAS_DRAWABLE_IB3D_EVENTS"
"38_1","True","0","0","0","0","0","NO_DRAWABLE_EVENT_WINDOWS"
"40_1","True","3","3","0","1","6","HAS_DRAWABLE_IB3D_EVENTS"
"41_1","True","5","1","0","1","6","HAS_DRAWABLE_IB3D_EVENTS"
"42_1","True","7","5","0","1","12","HAS_DRAWABLE_IB3D_EVENTS"
"43_1","True","10","11","0","1","21","HAS_DRAWABLE_IB3D_EVENTS"
"44_1","True","3","4","0","1","7","HAS_DRAWABLE_IB3D_EVENTS"
"45_1","True","2","1","0","1","3","HAS_DRAWABLE_IB3D_EVENTS"
"46_1","True","7","8","0","1","15","HAS_DRAWABLE_IB3D_EVENTS"
"48_1","True","1","13","0","1","14","HAS_DRAWABLE_IB3D_EVENTS"
