source_path,exists,file_size_bytes,row_count,candidate_columns,source_role,usable_for_osm_graph_topology,usable_for_node_degree,usable_for_adjacent_edges,usable_for_side_branch,usable_for_route_dist_position,case_id,rejection_reason,notes
configs/risk_semantics/_archived_before_20260531_refresh/osm_semantic_risk_mapping_v1.csv,True,8309,53,semantic_group|source_field|source_value|derived_class|risk_domain|risk_meaning|risk_direction|base_score|weather_sensitive|needs_nlsc|needs_activity|implemented_in_ib1c|used_in_ib2|notes,route_semantic_context_not_fork_inventory,False,False,False,False,False,osm_semantic_risk_mapping_v1,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
configs/risk_semantics/_archived_before_20260531_refresh/osm_semantic_risk_mapping_v1_1.csv,True,11820,67,semantic_group|source_field|source_value|derived_class|risk_domain|risk_meaning|risk_direction|base_score|weather_sensitive|needs_nlsc|needs_activity|implemented_in_ib1c|used_in_ib2|notes,route_semantic_context_not_fork_inventory,False,False,False,False,False,osm_semantic_risk_mapping_v1_1,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
configs/risk_semantics/_archived_before_20260531_refresh/osm_semantic_risk_mapping_v1_backup_before_encoding_fix.csv,True,7810,51,semantic_group|source_field|source_value|derived_class|risk_domain|risk_meaning|risk_direction|base_score|weather_sensitive|needs_nlsc|needs_activity|implemented_in_ib1c|used_in_ib2|notes,route_semantic_context_not_fork_inventory,False,False,False,False,False,osm_semantic_risk_mapping_v1_backup_before_encoding_fix,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
configs/risk_semantics/osm_semantic_risk_mapping_v1_2_updated.csv,True,12760,70,semantic_group|source_field|source_value|derived_class|risk_domain|risk_meaning|risk_direction|base_score|weather_sensitive|needs_nlsc|needs_activity|implemented_in_ib1c|used_in_ib2|notes,route_semantic_context_not_fork_inventory,False,False,False,False,False,osm_semantic_risk_mapping_v1_2_updated,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
configs/risk_semantics/thci_axis_definition_v1_0.csv,True,3735,6,axis_id|display_name_zh|display_name_en|concept_definition|include_features|exclude_features|direction|score_range|status|note,route_semantic_context_not_fork_inventory,False,False,False,False,False,thci_axis_definition_v1_0,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
configs/risk_semantics/thci_axis_scoring_rule_v1_0.csv,True,3316,6,axis_id|display_name_zh|score_inputs|normalization_method|aggregation_method|formula_draft|threshold_policy|output_range|clip_policy|runtime_llm_allowed|status|note,route_semantic_context_not_fork_inventory,False,False,False,False,False,thci_axis_scoring_rule_v1_0,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
configs/risk_semantics/thci_feature_mapping_spec_v1_0.csv,True,2342,17,column_name|required|description|example|note,route_semantic_context_not_fork_inventory,False,False,False,False,False,thci_feature_mapping_spec_v1_0,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
configs/risk_semantics/thci_feature_mapping_v1_0.csv,True,6797,18,mapping_id|source_domain|source_layer|source_key|source_value|normalized_class|primary_axis|secondary_axis|effect_direction|base_weight|base_score|confidence|aggregation_hint|double_count_guard|review_status|version|note,route_semantic_context_not_fork_inventory,False,False,False,False,False,thci_feature_mapping_v1_0,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
configs/risk_semantics/thci_normalization_threshold_v1_0.csv,True,2650,10,threshold_id|axis_id|feature_name|source_key|unit|direction|score_0|score_0_25|score_0_50|score_0_75|score_1|normalization_method|clip_policy|status|note,route_semantic_context_not_fork_inventory,False,False,False,False,False,thci_normalization_threshold_v1_0,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
configs/route_control_points/qixing_lengshuikeng_main_peak_20260523_control_points.csv,True,215,2,control_id|control_role|name|lat|lon|required|order,route_anchor_control_context_not_fork_inventory,False,False,False,False,False,qixing_lengshuikeng,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
configs/route_definitions/route_control_points_v1_3b.csv,True,5758,20,case_id|control_id|control_role|phase|name|lat|lon|required|order|route_action|note,route_anchor_control_context_not_fork_inventory,False,False,False,False,False,route_control_points_v1_3b,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
configs/route_definitions/route_expected_time_segments_v1_3b.csv,True,1641,8,case_id|from_id|from_name|from_lat|from_lon|to_id|to_name|to_lat|to_lon|expected_time_min|source|direction,other_context_not_topology_source,False,False,False,False,False,route_expected_time_segments_v1_3b,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
outputs/_adhoc_control_points/qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b/qixing_lengshuikeng_xiaoyoukeng_gpx_osmrefresh_v1_3b_route_control_points_v1_3b_ad_hoc_from_gpx.csv,True,689,3,case_id|control_id|control_role|phase|name|lat|lon|required|order|route_action|note,route_anchor_control_context_not_fork_inventory,False,False,False,False,False,qixing_lengshuikeng_xiaoyoukeng,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
outputs/_backup_before_forced_required_way_20260529_002457/qixing_lengshuikeng_main_peak_20260523/ib0b_mainline__qixing_lengshuikeng_main_peak_20260523/qixing_lengshuikeng_main_peak_20260523_mainline_debug_segments_ib0_matched.csv,True,12170,28,route_id|case_id|case_name|activity_type|activity_name|activity_fp|ia1_version|ia1_dataset_id|ia1_snapshot_tag|input_stage|ab_mode|osm_way_id|name|highway_norm|route_role|mainline_role|distance_to_gpx_m|overlap_ratio|match_score,other_context_not_topology_source,False,False,False,False,False,qixing_lengshuikeng,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
outputs/_backup_before_forced_required_way_20260529_002457/qixing_lengshuikeng_main_peak_20260523/ib0b_mainline__qixing_lengshuikeng_main_peak_20260523/qixing_lengshuikeng_main_peak_20260523_mainline_ib0_matched.geojson,True,59340,,,usable_osm_graph_topology_source,True,True,True,True,False,qixing_lengshuikeng,,directly parsed as governed topology/route-position source
outputs/_backup_before_forced_required_way_20260529_002457/qixing_lengshuikeng_main_peak_20260523/ib0b_mainline__qixing_lengshuikeng_main_peak_20260523/qixing_lengshuikeng_main_peak_20260523_mainline_map_ib0_matched.html,True,365408,,,other_context_not_topology_source,False,False,False,False,False,qixing_lengshuikeng,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
outputs/_backup_before_forced_required_way_20260529_002457/qixing_lengshuikeng_main_peak_20260523/ib0b_mainline__qixing_lengshuikeng_main_peak_20260523/qixing_lengshuikeng_main_peak_20260523_mainline_ordered_path_ib0_matched.geojson,True,31486,,,usable_osm_graph_topology_source,True,True,True,True,False,qixing_lengshuikeng,,directly parsed as governed topology/route-position source
outputs/_backup_before_forced_required_way_20260529_002457/qixing_lengshuikeng_main_peak_20260523/ib0b_mainline__qixing_lengshuikeng_main_peak_20260523/qixing_lengshuikeng_main_peak_20260523_mainline_summary_ib0_matched.csv,True,1823,1,route_id|route_group|case_id|case_name|activity_type|activity_name|activity_fp|ia1_version|ia1_dataset_id|ia1_snapshot_tag|ab_mode|input_stage|input_fp|anchor_fp|anchor_source_mode|out_dir|input_segments_n|graph_nodes_n|graph_edges_n|ordered_anchors_n|anchor_nodes_n|path_node_n|mainline_segments_n|ordered_path_length_m|output_ordered_path_fp|output_mainline_fp|output_html_fp|mainline_role_trail_core_n|mainline_role_approach_n|highway_steps_n|highway_footway_n|highway_service_n|highway_path_n,report_context_not_topology_source,False,False,False,False,False,qixing_lengshuikeng,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
outputs/_backup_before_forced_required_way_20260529_002457/qixing_lengshuikeng_main_peak_20260523/ib0d_trimmed_mainline__qixing_lengshuikeng_main_peak_20260523/qixing_lengshuikeng_main_peak_20260523_mainline_self_near_pairs.csv,True,4091929,56753,idx_a|dist_a_m|idx_b|dist_b_m|spatial_distance_m|route_distance_gap_m|possible_issue_type,route_geometry_self_near_context_not_fork_inventory,False,False,False,False,False,qixing_lengshuikeng,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
outputs/_backup_before_forced_required_way_20260529_002457/qixing_lengshuikeng_main_peak_20260523/ib0d_trimmed_mainline__qixing_lengshuikeng_main_peak_20260523/qixing_lengshuikeng_main_peak_20260523_mainline_self_near_zones.csv,True,1183,3,zone_type|pair_count|dist_a_min_m|dist_a_max_m|dist_b_min_m|dist_b_max_m|spatial_distance_min_m|spatial_distance_avg_m|spatial_distance_max_m|route_gap_min_m|route_gap_avg_m|route_gap_max_m|min_spatial_idx_a|min_spatial_dist_a_m|min_spatial_idx_b|min_spatial_dist_b_m|min_spatial_distance_m|min_spatial_route_gap_m|max_gap_idx_a|max_gap_dist_a_m|max_gap_idx_b|max_gap_dist_b_m|max_gap_spatial_distance_m|max_gap_route_gap_m,route_geometry_self_near_context_not_fork_inventory,False,False,False,False,False,qixing_lengshuikeng,context_or_summary_only_not_governed_topology_source,not expanded into topology candidates
