schema_version,activity_id_short,activity_id_full,route_distance_window_start_m,route_distance_window_end_m,route_phase,point_count,route_profile_elevation_range_m,calibrated_slope_pct_p75_abs,slope_load_source,ib2_effort_evidence_median,ib2_terrain_evidence_median,near_steps_ratio,vertical_load_norm,slope_load_norm,ib2_effort_load_norm,terrain_load_norm,steps_surface_load_norm,route_load_context_index_0_100,route_load_context_band,route_load_context_reason_flags,weather_context_flags,weather_context_available,environment_context_flags,environment_context_available,temperature_c,relative_humidity_pct,precipitation_mm,wind_speed_ms,wind_gust_ms,uv_index,heart_rate_bpm_median,activity_heart_rate_bpm_median_p75,speed_mps_median,low_speed_ratio,stopped_ratio,behavior_response_flags,behavior_response_signal_flag_count,window_qa_flags,route_load_context_boundary
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,0,50,UNKNOWN,106,4.748,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.0,0.5,0.415094,0.2374,0.2374,0.0,0.7142857142857143,0.415094,26.735,LOWER_ROUTE_LOAD_CONTEXT,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,106.0,129.0,0.785026,0.141509,0.0,NONE,0,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,50,100,UNKNOWN,47,4.468,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.5,0.702128,0.2234,0.2234,1.0,0.7142857142857143,0.702128,53.906,MODERATE_ROUTE_LOAD_CONTEXT,IB2_EFFORT_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,109.0,129.0,0.889008,0.042553,0.0,NONE,0,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,100,150,UNKNOWN,52,11.015,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.5,1.0,0.5507500000000001,0.5507500000000001,1.0,0.7142857142857143,1.0,73.252,HIGH_ROUTE_LOAD_CONTEXT,IB2_EFFORT_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,110.5,129.0,0.903064,0.0,0.0,NONE,0,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,150,200,UNKNOWN,91,17.566,46.876,CALIBRATED_SLOPE_P75_ABS,0.45,0.7,1.0,0.8783,1.0,1.0,1.0,1.0,96.349,VERY_HIGH_ROUTE_LOAD_CONTEXT,VERTICAL_RANGE_HIGH|SLOPE_HIGH|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,113.0,129.0,0.536636,0.263736,0.0,SPEED_BELOW_LOW_SPEED_THRESHOLD,1,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,200,250,UNKNOWN,95,21.137,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,VERTICAL_RANGE_HIGH|SLOPE_HIGH|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,119.0,129.0,0.592183,0.105263,0.0,SPEED_BELOW_LOW_SPEED_THRESHOLD,1,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,250,300,UNKNOWN,74,14.537,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.7,1.0,0.72685,0.72685,1.0,1.0,1.0,86.342,VERY_HIGH_ROUTE_LOAD_CONTEXT,IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,111.0,129.0,0.567901,0.189189,0.0,SPEED_BELOW_LOW_SPEED_THRESHOLD,1,MOVEMENT_REVIEW_PRESENT|SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,300,350,UNKNOWN,48,7.727,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.7,1.0,0.38635,0.38635,1.0,1.0,1.0,69.318,HIGH_ROUTE_LOAD_CONTEXT,IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,156.0,129.0,0.903194,0.020833,0.0,ACTIVITY_RELATIVE_HIGH_HR_WINDOW,1,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,350,400,UNKNOWN,57,15.668,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.7,1.0,0.7834,0.7834,1.0,1.0,1.0,89.17,VERY_HIGH_ROUTE_LOAD_CONTEXT,VERTICAL_RANGE_HIGH|SLOPE_HIGH|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,114.0,129.0,0.582554,0.087719,0.0,SPEED_BELOW_LOW_SPEED_THRESHOLD,1,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,400,450,UNKNOWN,57,8.366,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.7,1.0,0.4183,0.4183,1.0,1.0,1.0,70.915,HIGH_ROUTE_LOAD_CONTEXT,IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,113.0,129.0,0.808929,0.070175,0.0,NONE,0,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
ib3_personal_hiking_features_route_load_comparison_full25_v1,3_1,qixing_lengshuikeng_3_1,450,500,UNKNOWN,54,11.971,,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,0.45,0.7,1.0,0.59855,0.59855,1.0,1.0,1.0,79.928,HIGH_ROUTE_LOAD_CONTEXT,IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,HIGH_HUMIDITY_CONTEXT|NO_RAIN_CONTEXT|WIND_GUST_OBSERVED_CONTEXT|STRONG_GUST_CONTEXT|HIGH_UV_CONTEXT,True,23.1,94.0,0.0,4.8,14.7,6,115.0,129.0,0.918201,0.0,0.0,NONE,0,SLOPE_REVIEW_PRESENT|ROUTE_PHASE_UNKNOWN,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
