way_id,version,changeset,timestamp,user,uid,highway,name,surface,trail_visibility,bridge,node_ids_str,error
720961392,4,153962274,2024-07-15T09:21:32Z,WWSS,5062752,footway,七星山步道冷水坑線,sett,excellent,,675814622;12054720946;12054720948;12054720947;4210120144;675814621;4210120142;675814620;11384865691;11384865690;11384865689;4210120141;675814619;4210120140;675814618;4210120225;2391869940,
1227691460,3,153958872,2024-07-15T07:41:38Z,WWSS,5062752,steps,七星山步道冷水坑線,sett,excellent,,4210082387;11384242802;4210082388;11384242768;11384242767;4210082389;12054591036;4210082391;4210082392;12054591035;11384242766;11384242801;11384242800;4210082396,
1227691462,3,153958872,2024-07-15T07:41:38Z,WWSS,5062752,steps,七星山步道冷水坑線,sett,excellent,,4210082375;12054591037;11384242771;4210082376;11384242804;274939494,
492257358,4,144609695,2023-11-30T02:55:42Z,Innertia,19415963,service,,concrete,excellent,,1491989087;675814607;675814604;4210120133;675814601;4210082132,
585374844,7,153962274,2024-07-15T09:21:32Z,WWSS,5062752,steps,七星山步道冷水坑線,sett,excellent,,4210120207;675814693;4210120206;675814691;4210120205;675814689;4210120204;675814688;4210120203;675814686;675814685;675814704;675814703;675814701;675814699;675814698;675814696;675814694,
1227691459,2,144609695,2023-11-30T02:55:42Z,Innertia,19415963,footway,七星山登山步道東峰線,,,,4210082396;11384637025;4210082397;11384637026;274940053,
492111550,11,153958872,2024-07-15T07:41:38Z,WWSS,5062752,steps,七星山步道主峰-東峰稜線,sett,excellent,,675814743;2391869977;12054591026;11383043792;4210082426;4210082424;4210082423;11383043791;274939989;4210082428;4210082429;675814745;11383043790;4210082431;4210082432;697170285;12054591025;11383043789;11383043787;11383043788;675814719;4210082437;274939933;675814740;675814738;4210082439;2391869979;2391869980;4210082442;274939950;4210082444;4210082445;12054591024;4210082446;4210082447;4210082448;697170286;11383043785;274939942,
1228094366,1,144675384,2023-12-01T21:18:07Z,Innertia,19415963,footway,,,,,11388501904;675814711;11384865721,
53472035,15,153958872,2024-07-15T07:41:38Z,WWSS,5062752,footway,七星山步道冷水坑線,sett,excellent,,11384500296;11384500295;11384500294;12054591055;4210082138;274939382;11384500293;11384500292;274939383;11384500291;2391869954;2391869951;2391869950;274939384;11384500289;2391869949;11384500287;11384500285;274939385;11384500286;675814499;4210082146;11384500284;12054591054;675814496;4210082151;11384500283;4210082150;274939743;4210082154;11384500281;11384701926;274939734;11384500280;274939725;4210082157;11384500279;4210082158;274939710;11384500278;2391869956;11384500277;11384500276;274939696;12054591053;4210082160,
1227691468,3,153958872,2024-07-15T07:41:38Z,WWSS,5062752,steps,七星山步道冷水坑線,sett,excellent,,4210082160;11384500275;274939682;11384500274;4210082163;4210082164;11384500273;4210082165;11384500272;11384500271;4210082166;4210082168;274939668;4210082170;11384500269;4210082171;4210082172;274939654;11384470368;4210082173;4210082174;4210082175;4210082176;4210082177;274939643;12054591052;12054591051;11384470367;4210082181;274939636;4210082183;11384470363,
