route_seq,way_id,source_type,bridge,highway,surface,from_node_id,to_node_id,distance_m,from_x,from_y,to_x,to_y,geometry
-1.0,"('way', 53472035)",named,no,footway,sett,"('way', 53472035)_start","('way', 53472035)_end",256.7710101945438,306296.9857898062,2784196.7869026246,306139.2181845822,2784272.620249921,"LINESTRING (121.55847079999998 25.1652406, 121.5584412 25.165227400000003, 121.5583857 25.1651865, 121.5583355 25.165180699999997, 121.55827999999998 25.165172799999997, 121.55808600000002 25.1651034, 121.55800660000001 25.1651482, 121.55796910000001 25.165194799999995, 121.55794599999999 25.165202199999992, 121.55789770000001 25.165197299999992, 121.55783829999999 25.1651735, 121.5577715 25.1651913, 121.55774170000001 25.1652051, 121.55771800000001 25.1652043, 121.5576857 25.165189700000003, 121.5576388 25.1651618, 121.55758740000002 25.165161999999995, 121.5575513 25.16517159999999, 121.55752569999999 25.1651919, 121.55749020000002 25.165217300000002, 121.5574933 25.165241099999996, 121.5575218 25.165304, 121.5575171 25.165315199999995, 121.5574567 25.165312699999998, 121.5574224 25.165319299999993, 121.5574166 25.165372999999995, 121.55738340000002 25.1654231, 121.55735220000001 25.165438699999992, 121.557347 25.165449899999995, 121.5574175 25.165513799999996, 121.5574313 25.165536999999997, 121.55743560000002 25.165561299999993, 121.5573607 25.1657069, 121.55735680000001 25.16573909999999, 121.5573631 25.165782500000002, 121.557364 25.1658187, 121.5573465 25.1659082, 121.55730840000001 25.1659393, 121.5572284 25.166002199999998, 121.55719810000001 25.166018199999996, 121.5571592 25.166016000000003, 121.5571147 25.166016100000004, 121.5570941 25.1660133, 121.5570691 25.1660002, 121.556977 25.1659827, 121.5569089 25.165931099999998)"
-1.0,"('way', 492257358)",nan,no,service,concrete,"('way', 720961391)_end","('way', 1227691470)_start",42.08418710179589,306350.5128181473,2784197.451951542,306317.3083309953,2784221.2515346026,"LINESTRING (121.5590018 25.165244599999998, 121.55885930000001 25.165301499999998, 121.55879470000002 25.165332899999992, 121.55875009999998 25.165363200000005, 121.5587141 25.1654228, 121.5586734 25.1654607)"
-1.0,"('way', 230730601)",nan,no,footway,,"('way', 720961391)_start","('way', 720961392)_start",81.6730803270865,306382.06579641683,2784165.969260513,306451.59217479185,2784168.8832906624,"LINESTRING (121.55931350000002 25.164959199999995, 121.5593713 25.16499629999999, 121.5594153 25.165017199999994, 121.559467 25.165025399999998, 121.5595213 25.165039099999998, 121.55961680000001 25.165061999999995, 121.5596548 25.1650742, 121.5596801 25.165088199999996, 121.5597118 25.165104899999996, 121.5597702 25.165094199999995, 121.55976239999998 25.165056300000003, 121.5597802 25.1650226, 121.5598114 25.165007099999997, 121.5598471 25.165000099999997, 121.55988650000002 25.165008499999995, 121.5600033 25.164982899999995)"
-1.0,"('way', 1301449842)",named,no,footway,sett,"('way', 421201235)_end","('way', 1227684066)_start",14.072537384165836,305905.8262242085,2784686.3454201985,305894.40136349114,2784694.561798112,"LINESTRING (121.55461059999999 25.169674799999992, 121.5544976 25.169749399999997)"
-1.0,"('way', 1227705222)",named,no,steps,sett,"('way', 1227705222)_start","('way', 689317162)_start",25.27622009432805,306784.2818074569,2784302.0749233114,306779.34060449875,2784278.3384801014,"LINESTRING (121.563309 25.1661728, 121.5633121 25.166162299999996, 121.56332260000002 25.166132899999994, 121.56332240000002 25.166090799999996, 121.56329930000001 25.166038999999994, 121.56328280000001 25.166000599999993, 121.563259 25.165958700000004)"
-1.0,"('way', 1227705221)",named,no,footway,sett,"('way', 689317162)_end","('way', 585374844)_start",19.773755885966526,306766.0354442922,2784261.0692585036,306747.91897367965,2784254.092602278,"LINESTRING (121.56312629999998 25.165803299999997, 121.56306980000001 25.165770700000003, 121.5630336 25.1657556, 121.56296990000001 25.1657495, 121.56294629999998 25.165740999999993)"
-1.0,"('way', 1227705219)",named,no,steps,paving_stones,"('way', 585374844)_end","('way', 1227705218)_start",91.61785813425523,306698.8404826337,2784305.916133879,306623.5132016388,2784318.739153762,"LINESTRING (121.56246160000002 25.1662107, 121.562408 25.166226599999998, 121.5623295 25.1662286, 121.56224780000001 25.1662586, 121.56222979999998 25.166259899999996, 121.5622187 25.1662256, 121.5622086 25.166214199999995, 121.5621959 25.166210000000003, 121.5621789 25.166214399999998, 121.5621686 25.1662319, 121.56215980000002 25.166250199999997, 121.5621264 25.16627859999999, 121.5621015 25.166307899999996, 121.5620696 25.166346399999995, 121.5620354 25.166365099999997, 121.5619914 25.166358899999995, 121.5619455 25.166354800000004, 121.5619221 25.166346799999996, 121.56188530000001 25.166317699999993, 121.56180490000001 25.166293000000003, 121.56175479999999 25.1662956, 121.5617324 25.1663012, 121.56171490000001 25.166329299999994)"
-1.0,"('way', 1227705218)",named,no,steps,sett,"('way', 1227705218)_start","('way', 1227705217)_start",80.11613594466397,306623.5132016388,2784318.739153762,306598.57876723236,2784298.043146195,"LINESTRING (121.56171490000001 25.166329299999994, 121.5616709 25.1663977, 121.56167110000001 25.166415399999998, 121.56167980000001 25.166458599999995, 121.56167670000002 25.1664869, 121.5616695 25.166505700000002, 121.5616439 25.166533899999994, 121.56162610000001 25.16653609999999, 121.56160449999999 25.1665394, 121.56159190000001 25.166530499999997, 121.56156879999999 25.166511299999996, 121.561566 25.166497999999994, 121.5615695 25.1664634, 121.5615722 25.1664467, 121.5615536 25.166423199999997, 121.5615458 25.1663898, 121.5615306 25.166372099999993, 121.5614961 25.166339, 121.5614639 25.1663224, 121.56145320000002 25.1663024, 121.56143890000001 25.166271999999996, 121.5614349 25.1662516, 121.56144760000001 25.1662169, 121.56146170000001 25.1661661, 121.5614667 25.166143399999996)"
-1.0,"('way', 1227705217)",named,no,steps,paving_stones,"('way', 1227705217)_start","('way', 1227705216)_start",214.76935127957285,306598.57876723236,2784298.043146195,306462.711830054,2784173.6482957774,"LINESTRING (121.5614667 25.166143399999996, 121.56146260000001 25.1661223, 121.56145899999999 25.166098199999997, 121.561443 25.166071600000002, 121.56139599999999 25.1660383, 121.56138370000001 25.166025599999998, 121.5613732 25.166002099999996, 121.56136989999999 25.165983899999997, 121.56138330000002 25.165961199999998, 121.56139170000002 25.165941299999997, 121.5614029 25.165899100000004, 121.56142800000002 25.165880299999998, 121.56143910000002 25.165863099999996, 121.56143739999999 25.1658438, 121.56141969999999 25.165812400000004, 121.5614007 25.165779099999995, 121.5614052 25.1657488, 121.56140190000002 25.1657096, 121.5613853 25.165672899999997, 121.5613473 25.165647699999997, 121.5612881 25.165617800000007, 121.5612497 25.165595, 121.5612441 25.165558099999995, 121.56122850000001 25.165523699999998, 121.56117009999998 25.165495, 121.5611324 25.1654565, 121.5610525 25.165399699999995, 121.5609632 25.165344199999996, 121.560872 25.1652529, 121.5608051 25.165201100000004, 121.560741 25.1651647, 121.560658 25.165099399999992, 121.5605377 25.1650554, 121.5603985 25.1650173, 121.56035930000002 25.1650168, 121.56024059999999 25.1650156, 121.5601441 25.165029899999997, 121.5601138 25.1650255)"
-1.0,"('way', 1227705216)",named,no,steps,sett,"('way', 1227705216)_start","('way', 720961392)_start",12.15438797722549,306462.711830054,2784173.6482957774,306451.59217479185,2784168.8832906624,"LINESTRING (121.5601138 25.1650255, 121.5600784 25.1650064, 121.5600033 25.164982899999995)"
