min_elev,hit_count
710.0,126
740.0,124
630.0,122
680.0,122
670.0,115
640.0,113
690.0,113
600.0,110
560.0,106
750.0,106
540.0,105
730.0,105
660.0,105
720.0,104
620.0,102
700.0,99
650.0,96
550.0,94
530.0,93
610.0,92
450.0,91
570.0,89
460.0,89
420.0,85
580.0,85
520.0,85
770.0,84
430.0,83
590.0,81
470.0,79
440.0,76
480.0,75
500.0,75
490.0,73
780.0,72
510.0,72
410.0,61
800.0,59
830.0,59
370.0,55
410.0,54
400.0,54
450.0,53
250.0,53
390.0,53
810.0,53
380.0,52
820.0,51
790.0,50
480.0,50
760.0,50
270.0,50
400.0,49
340.0,47
420.0,46
360.0,44
180.0,44
440.0,44
400.0,43
350.0,42
470.0,42
190.0,42
260.0,41
510.0,41
530.0,40
490.0,40
300.0,39
280.0,39
360.0,38
460.0,38
290.0,38
410.0,37
220.0,37
240.0,37
590.0,36
350.0,36
330.0,35
160.0,35
310.0,34
340.0,34
330.0,34
200.0,34
210.0,34
430.0,34
560.0,33
860.0,33
320.0,33
850.0,33
550.0,32
840.0,31
180.0,31
570.0,31
500.0,30
580.0,30
500.0,30
130.0,30
220.0,28
380.0,28
150.0,28
140.0,28
320.0,28
540.0,27
240.0,27
200.0,26
200.0,26
280.0,26
170.0,26
90.0,26
230.0,25
520.0,25
300.0,25
310.0,24
370.0,24
140.0,23
170.0,23
270.0,23
210.0,23
190.0,22
360.0,22
260.0,22
100.0,22
480.0,22
390.0,21
250.0,21
80.0,21
370.0,21
390.0,21
510.0,21
230.0,21
370.0,21
380.0,20
120.0,20
490.0,20
70.0,20
300.0,20
160.0,19
350.0,19
760.0,19
150.0,19
310.0,19
170.0,19
340.0,19
190.0,18
370.0,18
50.0,18
880.0,18
290.0,18
330.0,17
290.0,17
240.0,17
110.0,17
390.0,17
880.0,16
600.0,16
270.0,16
140.0,16
60.0,16
970.0,16
260.0,16
130.0,15
330.0,15
440.0,15
420.0,15
280.0,15
380.0,15
320.0,15
450.0,15
930.0,14
900.0,14
960.0,14
120.0,14
390.0,14
220.0,13
360.0,13
230.0,13
890.0,13
400.0,13
350.0,13
470.0,13
290.0,13
930.0,13
950.0,13
460.0,13
180.0,13
410.0,13
920.0,13
360.0,12
910.0,12
870.0,12
430.0,12
330.0,12
610.0,12
980.0,12
920.0,12
830.0,12
160.0,12
850.0,12
750.0,12
890.0,12
840.0,12
350.0,12
250.0,12
950.0,11
760.0,11
380.0,11
900.0,11
940.0,11
210.0,11
340.0,11
340.0,11
30.0,11
80.0,11
90.0,10
150.0,10
940.0,10
310.0,10
860.0,10
930.0,10
770.0,10
100.0,10
640.0,10
620.0,10
960.0,10
1000.0,10
470.0,10
320.0,9
1020.0,9
630.0,9
250.0,9
970.0,9
280.0,9
120.0,9
280.0,9
990.0,9
200.0,9
110.0,9
230.0,9
310.0,9
380.0,9
800.0,9
870.0,9
380.0,9
360.0,9
790.0,9
320.0,9
20.0,9
310.0,8
820.0,8
810.0,8
240.0,8
390.0,8
1010.0,8
760.0,8
260.0,8
320.0,8
90.0,8
870.0,8
770.0,8
340.0,8
800.0,8
300.0,8
1050.0,8
460.0,8
870.0,8
800.0,7
280.0,7
30.0,7
780.0,7
320.0,7
40.0,7
130.0,7
370.0,7
350.0,7
810.0,7
70.0,7
110.0,7
100.0,7
990.0,7
420.0,7
220.0,7
920.0,7
190.0,7
850.0,7
170.0,7
240.0,7
830.0,7
910.0,7
910.0,7
1010.0,7
1020.0,7
880.0,7
340.0,7
870.0,7
980.0,7
300.0,6
920.0,6
1030.0,6
60.0,6
300.0,6
910.0,6
180.0,6
880.0,6
10.0,6
270.0,6
600.0,6
520.0,6
890.0,6
770.0,6
820.0,6
120.0,6
1000.0,6
330.0,6
350.0,6
1050.0,6
990.0,6
240.0,6
840.0,6
260.0,6
840.0,6
450.0,6
800.0,6
850.0,6
780.0,6
370.0,6
650.0,5
350.0,5
790.0,5
310.0,5
690.0,5
360.0,5
840.0,5
860.0,5
220.0,5
220.0,5
210.0,5
880.0,5
890.0,5
890.0,5
900.0,5
190.0,5
940.0,5
950.0,5
970.0,5
510.0,5
990.0,5
500.0,5
1040.0,5
480.0,5
480.0,5
40.0,5
840.0,5
200.0,5
610.0,5
370.0,5
830.0,5
250.0,5
590.0,5
270.0,5
360.0,5
180.0,4
900.0,4
530.0,4
910.0,4
790.0,4
190.0,4
840.0,4
300.0,4
1000.0,4
360.0,4
810.0,4
670.0,4
440.0,4
970.0,4
360.0,4
1020.0,4
980.0,4
410.0,4
330.0,4
390.0,4
310.0,4
830.0,4
790.0,4
850.0,4
230.0,4
830.0,4
860.0,4
860.0,4
250.0,4
780.0,4
900.0,4
60.0,4
290.0,4
70.0,4
380.0,4
760.0,4
890.0,4
500.0,3
460.0,3
450.0,3
450.0,3
490.0,3
470.0,3
500.0,3
320.0,3
570.0,3
610.0,3
400.0,3
380.0,3
570.0,3
580.0,3
340.0,3
550.0,3
550.0,3
580.0,3
370.0,3
440.0,3
540.0,3
590.0,3
530.0,3
420.0,3
430.0,3
520.0,3
510.0,3
560.0,3
480.0,3
260.0,3
290.0,3
770.0,3
1040.0,3
100.0,3
820.0,3
980.0,3
200.0,3
1000.0,3
210.0,3
960.0,3
240.0,3
780.0,3
210.0,3
780.0,3
950.0,3
290.0,3
80.0,3
850.0,3
880.0,3
220.0,3
110.0,3
1010.0,3
770.0,3
160.0,3
190.0,3
800.0,3
700.0,3
910.0,3
20.0,3
920.0,3
140.0,3
180.0,3
710.0,3
770.0,3
