"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","938.3","1006.0","24.5","24.0","97","2.1","60","8.8","80","0.5","X","--","0.00","--","0","--","8.0","--","--","--","--","--","--","--"
"02","938.1","1005.9","24.1","23.9","99","1.7","30","8.7","60","0.5","X","--","0.00","--","0","--","8.0","--","--","--","--","--","--","--"
"03","938.7","1006.5","24.3","24.0","98","1.9","90","10.9","80","0.5","X","--","0.00","--","0","--","7.0","--","--","--","--","--","--","--"
"04","939.0","1007.1","23.2","22.4","95","2.2","70","7.5","70","0.5","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"05","939.4","1007.5","23.2","21.8","92","1.7","70","7.4","60","0.0","X","--","0.00","--","0","--","3.0","24.2","25.1","24.7","24.6","25.0","24.8","24.7"
"06","939.7","1007.8","23.5","21.8","90","1.3","V","7.3","140","0.0","X","0.0","0.01","--","0","--","6.0","--","--","--","--","--","--","--"
"07","940.2","1008.3","23.6","22.2","92","0.7","V","6.3","100","0.0","0.0","0.0","0.11","--","0","--","0.0","--","--","--","--","--","--","--"
"08","940.2","1007.9","25.1","22.6","86","1.4","130","4.9","160","0.0","0.0","1.0","0.94","30.0","1","0.0","0.0","--","--","--","--","--","--","--"
"09","940.3","1007.8","26.3","23.4","84","2.0","130","7.8","60","0.0","0.0","0.9","1.88","30.0","4","1.0","1.0","23.8","24.8","24.6","24.6","25.0","24.8","24.7"
"10","940.4","1007.6","27.7","23.3","77","1.6","130","6.7","170","0.0","0.0","0.7","2.33","--","6","--","2.0","--","--","--","--","--","--","--"
"11","940.5","1007.6","28.0","24.0","79","1.8","120","7.0","210","0.0","0.0","0.9","3.31","30.0","9","4.0","3.0","--","--","--","--","--","--","--"
"12","939.9","1006.9","28.2","23.6","76","1.5","90","7.0","210","0.0","0.0","0.7","3.11","--","10","--","2.0","--","--","--","--","--","--","--"
"13","939.6","1006.7","27.8","23.4","77","2.1","120","8.6","80","0.0","0.0","0.8","3.20","--","10","--","2.0","--","--","--","--","--","--","--"
"14","939.1","1006.1","27.9","23.9","79","2.1","110","8.5","170","0.0","0.0","0.9","3.07","14.0","8","2.0","1.0","25.1","25.2","24.6","24.6","25.0","24.8","24.7"
"15","938.9","1006.1","27.0","23.7","82","1.6","80","7.3","190","0.0","0.0","0.8","2.57","--","5","--","0.0","--","--","--","--","--","--","--"
"16","938.6","1005.9","26.6","23.1","81","1.7","60","7.0","70","0.0","0.0","0.8","1.90","--","2","--","0.0","--","--","--","--","--","--","--"
"17","938.6","1006.2","25.1","22.4","85","2.2","70","9.2","60","0.0","0.0","0.4","0.77","22.0","1","4.0","0.0","--","--","--","--","--","--","--"
"18","938.8","1006.5","24.7","22.0","85","1.7","80","7.7","80","0.0","0.0","0.4","0.22","--","0","--","4.0","--","--","--","--","--","--","--"
"19","939.6","1007.5","24.3","22.0","87","1.9","70","7.9","170","0.0","0.0","0.0","0.00","--","0","--","5.0","--","--","--","--","--","--","--"
"20","940.1","1008.1","24.1","22.0","88","1.5","80","8.0","40","0.0","0.0","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"21","940.4","1008.6","23.3","21.9","92","2.4","50","8.2","180","1.0","0.5","--","0.00","--","0","--","7.0","24.9","25.7","25.2","24.8","25.0","24.8","24.7"
"22","940.4","1008.5","23.6","21.9","90","2.2","60","8.7","50","0.0","X","--","0.00","--","0","--","8.0","--","--","--","--","--","--","--"
"23","940.2","1008.3","23.7","21.4","87","2.0","40","7.6","60","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"24","939.9","1008.1","23.2","21.8","92","1.6","60","7.3","360","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
