"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度_自動(km)","紫外線指數","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","VisbMean Auto","UVI","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","942.6","1011.8","19.7","17.5","87","0.7","59","2.1","343","0.0","X","0.0","0.00","/","0","2.0","20.3","20.9","20.9","20.5","19.6","18.5","17.1"
"02","942.3","1011.5","19.6","17.4","87","0.8","47","2.5","88","0.0","X","0.0","0.00","/","0","4.0","20.2","20.8","20.8","20.5","19.6","18.5","17.1"
"03","942.3","1011.5","19.6","17.4","87","0.7","44","2.3","65","0.0","X","0.0","0.00","/","0","6.0","20.0","20.7","20.8","20.5","19.6","18.5","17.1"
"04","942.5","1011.7","19.8","17.9","89","0.6","41","1.9","29","0.0","X","0.0","0.00","/","0","5.0","20.0","20.6","20.7","20.5","19.7","18.6","17.1"
"05","943.0","1012.3","19.4","18.1","92","0.5","47","1.7","47","0.0","X","0.0","0.00","/","0","3.0","19.9","20.5","20.6","20.4","19.7","18.6","17.1"
"06","943.2","1012.5","19.5","18.3","93","0.4","62","1.2","89","0.0","X","0.0","0.02","/","0","3.0","19.8","20.5","20.5","20.4","19.7","18.6","17.1"
"07","943.5","1012.6","20.3","19.1","93","0.4","82","2.4","46","0.0","X","0.0","0.26","/","0","2.0","19.9","20.4","20.5","20.3","19.7","18.6","17.1"
"08","943.7","1012.6","21.4","19.7","90","0.8","156","3.0","168","0.0","X","0.9","1.02","/","1","2.0","20.0","20.3","20.4","20.3","19.7","18.6","17.1"
"09","943.9","1012.4","23.1","20.1","83","1.2","203","3.9","163","0.0","X","1.0","1.86","/","3","0.0","20.4","20.3","20.4","20.2","19.7","18.6","17.1"
"10","943.6","1011.8","24.4","19.9","76","1.6","209","4.2","200","0.0","X","0.9","2.38","/","6","0.0","21.3","20.3","20.4","20.2","19.6","18.6","17.0"
"11","943.4","1011.3","25.5","18.7","66","0.8","264","3.6","209","0.0","X","1.0","3.09","/","9","1.0","23.6","20.4","20.4","20.1","19.6","18.5","17.0"
"12","943.1","1010.8","26.1","18.3","62","1.5","221","4.3","219","0.0","X","1.0","3.26","/","10","3.0","25.3","20.7","20.5","20.0","19.5","18.5","16.9"
"13","942.5","1010.1","26.6","20.0","67","2.2","206","4.9","212","0.0","X","1.0","3.26","/","10","4.0","26.5","21.2","20.7","20.0","19.5","18.5","16.9"
"14","942.1","1010.2","24.2","18.6","71","1.6","232","5.5","204","0.0","X","0.7","2.58","/","7","6.0","26.9","21.9","21.0","20.0","19.5","18.5","16.9"
"15","941.9","1010.0","24.0","19.7","77","1.5","232","5.7","226","0.0","X","0.5","1.88","/","5","9.0","25.9","22.4","21.4","20.2","19.5","18.6","16.9"
"16","941.5","1009.8","23.2","20.4","84","1.0","224","5.5","264","0.0","X","0.0","0.92","/","2","10.0","25.2","22.6","21.7","20.4","19.6","18.6","17.0"
"17","941.5","1010.0","22.3","20.4","89","0.7","238","4.3","210","0.0","X","0.0","0.40","/","1","10.0","24.7","22.7","21.9","20.6","19.6","18.6","17.0"
"18","942.1","1010.7","22.2","20.5","90","0.6","271","2.7","300","0.0","X","0.0","0.05","/","0","3.0","24.0","22.7","22.0","20.8","19.7","18.7","17.0"
"19","942.7","1011.4","21.7","20.3","92","0.9","283","3.0","286","0.0","X","0.0","0.00","/","0","3.0","23.5","22.6","22.0","20.9","19.8","18.7","17.1"
"20","943.0","1011.8","21.5","20.1","92","0.6","260","3.6","269","0.0","X","0.0","0.00","/","0","3.0","23.1","22.5","22.1","21.0","19.8","18.7","17.1"
"21","943.5","1012.4","21.4","20.4","94","0.4","303","3.0","198","0.0","X","0.0","0.00","/","0","3.0","22.8","22.4","22.0","21.1","19.9","18.7","17.1"
"22","943.7","1012.6","21.2","20.4","95","0.4","264","2.8","303","0.0","X","0.0","0.00","/","0","2.0","22.6","22.3","22.0","21.1","19.9","18.7","17.1"
"23","943.3","1012.2","21.2","20.5","96","0.1","0","1.6","251","0.0","X","0.0","0.00","/","0","1.0","22.5","22.2","22.0","21.2","20.0","18.8","17.1"
"24","943.0","1011.9","21.0","20.5","97","0.1","0","1.5","19","0.0","X","0.0","0.00","/","0","1.0","22.3","22.2","21.9","21.2","20.0","18.8","17.1"
