"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","887.1","22.3","95","5.7","60","20.4","109","1.0"
"02","886.5","22.2","95","5.3","40","19.8","99","0.5"
"03","887.5","22.2","96","4.7","20","20.9","303","0.5"
"04","887.5","20.8","94","5.5","66","18.7","353","0.5"
"05","887.8","19.7","95","6.5","87","21.5","351","0.0"
"06","888.6","19.8","95","8.9","104","20.4","120","0.0"
"07","890.0","21.1","95","10.8","117","18.7","127","0.0"
"08","889.9","21.9","95","6.5","101","16.5","109","0.0"
"09","890.0","22.7","94","4.2","77","18.2","117","0.0"
"10","890.1","23.6","91","6.7","96","17.1","112","0.0"
"11","890.2","23.7","92","8.4","347","20.4","355","0.0"
"12","889.8","23.7","94","5.3","53","17.6","152","0.0"
"13","889.0","23.1","94","5.8","44","18.7","167","0.0"
"14","888.8","23.2","92","4.9","39","18.7","351","0.0"
"15","888.8","22.2","94","4.0","357","16.0","354","0.0"
"16","888.0","21.6","94","3.9","7","16.0","354","0.0"
"17","887.9","21.1","95","4.1","12","15.4","125","0.0"
"18","888.5","21.1","95","3.3","346","17.1","353","0.0"
"19","889.2","20.8","95","3.9","10","12.6","355","0.0"
"20","889.6","20.7","95","5.1","360","17.1","103","0.0"
"21","889.7","21.0","95","3.1","350","13.2","104","0.5"
"22","890.0","20.6","95","3.5","358","13.2","353","0.0"
"23","889.7","19.9","95","3.6","1","17.1","32","0.0"
"24","889.4","20.0","95","4.1","3","16.0","355","0.5"
