"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","961.0","25.7","89","0.7","348","1.5","16","0.0"
"02","960.5","25.5","86","1.4","13","1.9","15","0.0"
"03","960.5","25.3","86","1.7","16","1.9","8","0.0"
"04","960.8","25.1","88","0.8","2","1.9","30","0.0"
"05","960.9","25.0","91","1.2","4","3.1","340","0.0"
"06","961.4","26.2","92","1.5","356","4.3","325","0.0"
"07","961.6","26.8","83","1.4","333","5.4","342","0.0"
"08","961.7","27.9","77","1.5","330","5.3","280","0.0"
"09","961.7","29.2","72","1.6","300","4.9","336","0.0"
"10","961.7","30.1","69","1.3","266","3.7","281","0.0"
"11","961.2","31.2","64","2.1","258","4.8","281","&"
"12","960.6","32.5","59","2.7","234","5.0","252","0.0"
"13","960.2","32.2","64","1.1","161","3.6","230","0.0"
"14","959.8","31.4","71","2.3","60","5.1","68","0.0"
"15","959.5","29.5","77","2.5","60","5.9","59","0.0"
"16","959.0","29.4","79","1.9","68","6.0","65","0.0"
"17","958.7","28.4","82","2.1","98","6.1","52","0.0"
"18","958.7","28.4","81","1.9","321","5.4","45","0.0"
"19","959.3","27.8","80","1.7","19","6.2","30","0.0"
"20","960.2","27.4","79","1.3","96","3.7","37","0.0"
"21","960.5","26.1","83","1.1","10","3.9","124","0.0"
"22","960.8","25.4","85","1.5","4","2.3","32","0.0"
"23","960.7","25.2","87","1.0","350","2.2","13","0.0"
"24","960.5","25.3","89","0.9","15","1.8","28","0.0"
